 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	27.595	4.627	89.236	0.188	0.735	0.326	0.405	15
2	20.380	8.931	48.376	0.372	1.049	0.451	0.644	14
3	18.666	10.552	45.775	0.544	1.660	0.417	1.270	13
4	17.917	11.193	130.269	0.024	0.179	0.171	0.029	12
5	15.211	13.289	38.901	0.512	1.567	0.416	1.280	9
6	13.072	14.151	16.521	0.639	1.467	0.554	1.005	7
7	18.139	14.706	12.879	0.853	2.451	0.443	3.160	11
8	13.251	14.577	7.605	0.037	0.401	0.117	0.276	8
9	15.754	15.000	154.935	0.029	0.304	0.122	0.200	10
10	11.355	15.065	16.463	0.015	0.195	0.101	0.100	6
11	10.631	15.248	12.688	0.155	0.965	0.205	0.917	5
12	6.141	15.594	10.272	0.513	1.848	0.354	1.562	4
13	4.706	17.604	34.434	0.428	1.323	0.411	0.944	3
14	1.302	19.660	20.217	0.556	1.839	0.385	1.588	1
15	1.372	20.243	12.746	0.186	0.736	0.322	0.459	2
