 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	9.736	0.836	112.763	0.790	2.091	0.481	1.639	10
2	16.240	1.043	141.147	0.875	1.761	0.632	2.132	25
3	10.890	6.074	111.018	2.411	4.258	0.721	5.942	12
4	15.787	3.850	139.900	0.244	0.594	0.524	0.073	24
5	14.479	6.303	129.105	8.068	4.371	2.350	16.317	16
6	11.293	4.471	57.620	0.158	0.500	0.401	0.085	14
7	21.559	6.112	158.709	0.284	0.678	0.534	0.073	39
8	12.805	6.153	53.301	0.240	0.621	0.492	0.085	20
9	18.355	7.331	16.300	2.071	3.100	0.850	5.825	29
10	16.147	6.587	15.172	0.015	0.157	0.125	0.000	0
11	27.451	7.192	173.550	0.648	1.913	0.431	1.466	42
12	14.677	7.089	63.841	0.037	0.228	0.208	0.030	22
13	14.222	7.209	116.713	0.034	0.209	0.204	0.030	22
14	20.701	7.330	13.331	0.360	1.288	0.356	0.827	37
15	12.814	8.714	142.518	1.835	2.414	0.968	2.115	17
16	30.409	7.978	143.621	0.035	0.219	0.206	0.030	48
17	14.154	11.916	113.467	3.864	4.643	1.060	6.927	21
18	12.481	10.778	178.017	0.034	0.283	0.151	0.150	18
19	16.479	15.895	95.732	7.431	7.412	1.276	16.979	26
20	12.563	11.843	118.785	0.487	1.025	0.605	0.533	19
21	11.082	13.424	79.063	0.551	1.280	0.549	0.646	13
22	10.970	15.461	61.747	1.722	3.146	0.697	5.409	11
23	11.627	17.649	83.565	0.303	1.403	0.275	0.983	15
24	8.139	18.834	81.922	1.039	2.957	0.447	2.444	8
25	8.261	22.808	84.370	2.149	5.212	0.525	5.888	9
26	7.554	20.486	76.450	0.225	0.705	0.405	0.163	7
27	17.853	20.370	92.850	0.067	0.368	0.232	0.000	0
28	20.427	21.558	15.334	0.896	1.940	0.588	2.099	36
29	17.679	21.422	60.413	0.064	0.307	0.266	0.043	31
30	19.516	21.541	83.315	0.038	0.291	0.167	0.030	35
31	23.271	21.748	178.708	0.603	1.402	0.548	0.747	40
32	29.728	22.418	5.731	0.754	2.411	0.398	2.171	45
33	1.146	22.907	24.296	0.890	2.586	0.438	2.335	1
34	17.663	22.603	164.070	0.240	0.605	0.505	0.043	32
35	17.335	22.948	111.856	0.014	0.163	0.106	0.073	30
36	7.186	23.363	99.454	0.235	0.745	0.401	0.236	5
37	18.355	23.967	63.435	0.029	0.229	0.161	0.000	0
38	12.542	28.384	177.226	48.556	13.638	4.533	95.580	2
39	16.064	24.239	82.537	0.022	0.222	0.125	0.060	27
40	21.320	24.495	60.174	0.243	0.721	0.429	0.260	38
41	7.396	24.979	74.264	0.182	0.574	0.404	0.073	6
42	24.350	25.929	9.938	0.845	2.878	0.374	2.371	41
43	0.700	28.661	165.548	1.400	1.718	1.038	1.438	3
44	28.022	29.809	152.816	0.075	0.469	0.204	0.291	44
45	27.300	30.170	63.297	0.241	0.641	0.478	0.073	43
46	6.115	30.448	78.875	0.304	0.858	0.452	0.356	4
47	29.278	30.316	154.209	0.043	0.260	0.213	0.043	46
48	29.879	30.748	175.937	0.062	0.516	0.154	0.416	47
