 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	11.837	2.123	91.884	0.112	0.462	0.308	0.086	6
2	12.523	3.888	103.294	0.600	2.288	0.334	2.084	7
3	13.135	3.898	100.870	0.016	0.153	0.133	2.084	7
4	13.352	6.011	94.331	1.045	2.368	0.562	2.479	11
5	13.197	10.181	80.145	1.152	4.145	0.354	4.277	9
6	12.383	13.101	72.299	0.222	0.872	0.324	0.529	8
7	11.347	17.207	77.740	0.098	0.606	0.205	0.422	5
8	10.173	20.030	64.993	0.969	3.509	0.352	3.220	4
9	9.346	22.093	66.756	0.201	0.619	0.413	0.097	3
10	9.123	23.072	134.494	0.105	0.514	0.260	0.215	2
11	6.444	24.642	48.507	0.425	1.755	0.309	1.391	1
