 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.029	0.000	0.000	9.409	16.492	0.000	0.000	8.442	0.000	0.000	0.000	0.000	2.130	0.000	18.300
2	0.059	0.000	0.000	8.403	15.398	0.000	0.000	8.968	0.000	0.000	0.000	0.000	5.861	0.000	17.100
3	0.088	0.000	0.000	7.304	13.304	0.000	0.000	9.268	0.000	0.732	0.000	0.000	7.562	0.000	15.800
4	0.117	0.079	0.000	6.354	10.400	0.000	0.000	10.063	0.000	2.883	0.079	0.000	8.510	0.000	13.900
5	0.146	0.863	0.000	6.469	7.210	0.000	0.000	10.893	0.000	5.380	1.352	0.022	9.105	0.000	13.600
6	0.176	2.464	0.691	4.921	1.238	0.000	0.000	10.005	0.133	7.708	3.132	0.324	9.254	0.000	14.700
7	0.205	4.353	3.558	4.223	0.000	0.000	0.000	8.778	0.890	10.742	4.069	0.890	9.261	0.000	14.000
8	0.234	6.483	4.842	4.804	0.000	0.344	0.000	7.337	2.097	13.502	5.286	1.409	9.888	0.000	12.300
9	0.264	7.732	5.223	5.321	0.003	2.140	0.000	8.558	3.817	14.958	6.400	1.869	10.243	0.000	11.300
10	0.293	9.001	5.691	5.510	2.396	6.024	0.000	8.471	6.222	14.638	7.199	2.122	9.781	0.191	11.300
11	0.322	9.061	5.222	5.145	7.053	9.960	0.000	8.063	8.207	14.229	7.824	2.669	8.908	0.637	11.800
12	0.352	7.366	4.774	4.561	10.511	12.420	0.379	8.004	9.814	13.401	7.987	3.032	9.326	1.079	12.900
13	0.381	5.323	4.754	2.995	13.382	12.412	2.500	7.773	10.434	12.660	7.318	3.248	10.171	2.114	17.900
14	0.410	2.941	3.624	1.879	15.210	11.540	5.743	7.618	10.480	11.610	6.226	2.906	11.041	2.210	17.900
15	0.439	1.481	2.541	0.863	16.828	11.696	9.308	7.698	10.186	11.353	4.506	2.026	12.762	1.825	0.000
16	0.469	0.219	1.456	0.199	17.724	11.452	13.828	8.039	10.057	9.629	3.310	1.195	13.243	1.608	0.000
17	0.498	0.014	0.713	0.000	16.101	6.788	15.941	8.054	6.711	6.747	2.344	0.502	12.601	0.990	0.000
18	0.527	0.000	0.196	0.000	12.793	1.752	15.835	6.628	4.571	2.894	0.744	0.035	13.575	0.626	0.000
19	0.557	0.000	0.000	0.000	8.187	0.124	16.648	4.492	2.337	0.662	0.090	0.000	13.193	0.572	0.000
20	0.586	0.000	0.000	0.000	3.858	0.168	17.591	2.289	0.108	0.053	0.000	0.000	11.606	0.141	0.000
21	0.615	0.000	0.000	0.000	1.170	1.080	17.987	0.582	0.000	0.000	0.000	0.000	11.229	0.000	0.000
22	0.645	0.000	0.000	0.000	0.002	3.012	16.629	0.000	0.000	0.000	0.000	0.000	10.967	0.000	0.000
23	0.674	0.000	0.000	0.000	0.000	4.428	13.631	0.000	0.000	0.000	0.000	0.000	9.283	0.000	0.000
24	0.703	0.000	0.000	0.000	0.000	6.120	11.165	0.000	0.000	0.000	0.000	0.000	6.185	0.000	0.000
25	0.732	0.000	0.000	0.000	0.000	8.688	9.847	0.000	0.000	0.000	0.000	0.000	3.882	0.000	0.000
26	0.762	0.000	0.000	0.000	0.000	11.004	0.000	0.000	0.000	0.000	0.000	0.000	1.530	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
