 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.029	0.000	0.000	0.000	8.814	0.000	2.435	0.714	0.000	0.000	0.000	0.000	0.677	0.000	13.100
2	0.059	0.000	0.000	0.000	5.282	0.000	5.751	2.887	0.000	0.000	0.000	0.000	3.933	0.000	12.000
3	0.088	0.000	0.000	0.000	1.013	0.000	8.553	5.447	0.000	0.000	0.000	0.000	7.414	0.000	11.100
4	0.117	0.000	0.000	0.000	0.016	0.000	11.859	6.889	0.000	0.000	0.000	0.000	11.985	0.000	9.000
5	0.146	0.000	0.374	0.000	2.339	0.000	16.091	8.920	0.000	0.000	0.000	0.000	16.394	0.000	8.500
6	0.176	0.000	2.437	0.061	4.331	0.008	17.972	11.183	0.079	0.000	0.000	0.030	19.663	0.000	7.800
7	0.205	0.000	6.246	1.456	5.822	0.836	17.895	12.360	3.006	0.078	0.000	1.313	20.964	0.004	7.900
8	0.234	0.000	9.260	2.558	8.146	2.692	17.416	11.894	7.432	2.232	0.000	2.450	20.453	1.131	7.000
9	0.264	0.017	10.751	4.391	10.119	4.456	17.731	11.296	12.182	3.926	0.000	3.564	19.148	2.301	4.900
10	0.293	0.549	12.130	8.197	10.224	7.204	18.060	10.967	16.960	5.993	0.312	5.587	16.421	4.990	10.100
11	0.322	1.564	15.236	12.179	10.124	10.132	16.734	11.796	18.879	9.645	1.331	8.278	13.487	8.422	9.800
12	0.352	4.298	19.641	13.492	10.183	11.656	15.924	13.291	19.546	12.639	4.470	10.054	10.801	10.198	9.800
13	0.381	7.910	21.520	12.617	9.480	12.368	17.186	14.732	20.271	13.663	8.741	10.202	7.548	11.161	15.500
14	0.410	9.847	21.298	12.044	7.442	12.380	18.043	14.140	20.438	13.752	9.887	10.052	2.405	10.437	20.000
15	0.439	10.171	20.404	11.369	4.559	12.268	16.124	12.221	18.953	13.782	11.186	10.045	7.209	8.832	0.000
16	0.469	9.994	19.463	9.987	2.536	11.400	13.305	10.893	16.363	13.150	13.482	9.752	10.582	6.261	0.000
17	0.498	9.293	17.141	7.040	1.943	8.952	12.477	11.074	14.132	10.965	15.284	8.607	12.854	4.307	0.000
18	0.527	6.729	14.975	4.169	0.436	6.208	12.428	10.766	11.724	7.596	16.043	6.586	12.501	1.612	0.000
19	0.557	4.090	12.257	2.344	0.000	3.924	11.241	10.294	7.907	4.846	16.762	3.947	11.352	0.255	0.000
20	0.586	2.352	9.599	0.666	0.000	1.908	7.689	8.904	4.228	2.262	18.050	2.122	10.658	0.005	0.000
21	0.615	0.892	8.781	0.008	0.000	2.172	4.116	7.681	0.905	0.722	17.951	0.655	10.291	0.000	0.000
22	0.645	0.025	4.687	0.000	0.000	3.044	1.757	6.385	0.000	0.008	17.928	0.000	10.077	0.000	0.000
23	0.674	0.000	1.240	0.000	0.000	5.080	0.183	3.540	0.000	0.000	16.948	0.000	9.941	0.000	0.000
24	0.703	0.000	6.105	0.000	0.000	7.688	0.000	1.354	0.000	0.000	14.158	0.000	9.993	0.000	0.000
25	0.732	0.000	7.375	0.000	0.000	10.060	0.000	0.084	0.000	0.000	10.428	0.000	10.731	0.000	0.000
26	0.762	0.000	7.621	0.000	0.000	10.916	0.000	0.000	0.000	0.000	7.630	0.000	11.225	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
