 	X	Y	Angle	Area	LenEll	WidEll	LenSke
1	1.223	1.554	120.125	0.432	1.994	0.276	2.388
2	14.013	3.283	74.419	0.536	2.105	0.324	1.947
3	15.048	3.195	30.304	0.335	1.593	0.268	1.368
4	4.447	5.943	139.170	1.069	4.335	0.314	5.494
5	3.901	6.103	126.664	0.053	0.303	0.223	0.041
6	7.884	9.259	144.691	3.831	7.618	0.640	11.916
7	11.678	11.379	24.199	0.234	0.582	0.511	0.342
8	13.323	15.513	102.692	0.090	0.414	0.277	0.059
9	14.692	16.333	134.999	0.075	0.400	0.238	0.124
10	16.654	20.068	116.021	2.866	6.021	0.606	9.512
11	0.361	23.985	103.698	0.479	2.149	0.284	1.781
12	18.855	26.918	76.611	3.896	4.098	1.210	11.757
13	1.059	28.076	93.450	0.378	2.215	0.217	1.907
14	18.195	29.959	0.000	0.015	0.198	0.099	0.146
