 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.371	0.000	10.087	0.000	7.100
2	0.059	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.440	0.000	9.648	0.000	4.200
3	0.088	0.670	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.860	0.000	8.887	0.000	4.100
4	0.117	2.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.842	0.000	6.626	0.000	2.400
5	0.146	4.182	0.094	0.000	0.000	0.000	0.000	0.083	0.000	0.000	17.863	0.000	4.510	0.000	2.400
6	0.176	6.129	0.336	0.000	0.000	0.000	0.000	0.528	0.000	0.000	19.412	0.000	2.970	0.000	0.900
7	0.205	7.411	0.620	0.000	0.000	0.000	0.000	1.432	0.039	0.061	19.573	0.000	1.765	0.000	1.000
8	0.234	8.667	0.968	0.000	0.000	0.300	0.100	2.414	0.862	0.337	19.639	0.000	0.647	0.000	1.100
9	0.264	9.608	1.504	0.600	0.000	1.276	1.276	3.358	4.086	1.667	17.083	0.000	0.227	0.016	0.000
10	0.293	10.040	2.543	1.859	0.000	3.076	2.864	4.707	8.097	3.731	12.028	0.055	0.000	0.175	5.700
11	0.322	9.379	3.709	3.472	0.000	5.880	5.076	6.012	9.727	5.433	7.503	0.549	0.000	0.316	4.800
12	0.352	7.117	4.186	5.129	0.191	7.348	7.756	6.668	11.221	7.400	5.061	0.883	0.000	1.012	4.200
13	0.381	4.421	3.527	5.796	1.477	7.216	9.380	6.868	12.586	8.250	1.283	0.522	0.000	1.403	8.000
14	0.410	2.776	3.007	5.506	3.087	6.984	9.516	7.468	11.890	8.186	0.000	0.171	0.000	1.701	13.100
15	0.439	1.794	2.575	3.991	3.916	5.984	9.720	7.002	10.449	8.106	0.000	0.077	0.000	1.579	0.000
16	0.469	0.860	1.504	1.922	5.378	4.352	9.720	5.548	9.626	6.647	0.000	0.000	0.000	1.207	0.000
17	0.498	0.042	0.666	0.924	6.538	3.216	9.160	3.517	7.196	3.738	0.000	0.000	0.000	1.000	0.000
18	0.527	0.000	0.040	0.526	7.255	1.896	8.000	1.936	3.289	1.806	0.000	0.000	0.000	0.666	0.000
19	0.557	0.000	0.000	0.063	7.384	0.776	6.688	0.766	0.954	0.731	0.000	0.000	0.000	0.412	0.000
20	0.586	0.000	0.000	0.000	7.329	0.552	4.700	0.111	0.079	0.188	0.000	0.000	0.000	0.004	0.000
21	0.615	0.000	0.000	0.000	6.638	1.136	2.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0.645	0.000	0.000	0.000	4.272	2.108	2.356	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0.674	0.000	0.000	0.000	2.490	4.256	1.756	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0.703	0.000	0.000	0.000	1.571	8.332	0.952	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0.732	0.000	0.000	0.000	0.458	11.140	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.762	0.000	0.000	0.000	0.000	11.728	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
