 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.163	0.000	0.000	0.000	12.700	0.000	0.000	0.000	0.000	0.832	0.000	18.060	0.000	4.302	0.000	0.000	0.000	10.755	0.000	18.500	0.000	0.464	0.000	0.000	0.000	0.000	17.789	0.000	8.635	19.100	2.793	0.000	8.369	0.276	9.865	0.000	1.322	2.892	0.295	0.000	3.171	0.000	2.333	0.961	2.299	0.000	12.100	0.000	13.300	2.600	0.000	2.704	10.700	0.282	8.563	0.000	8.136	0.400	0.000	0.000	8.054	8.772	9.964	0.000	0.000	10.200	11.383	10.330	10.634	0.000	12.756	10.888	0.000	0.432	8.662	0.000	0.000	2.742	0.591	0.000	3.300	0.000	2.165	1.139	2.800	0.000	0.000	0.000	2.916	22.187	3.100	25.794	2.496	0.000	0.000	0.000	0.000	16.627	0.000	0.000	11.111	1.328	12.757	6.318	14.161	4.418	0.000	13.093	0.000	0.000	4.640	1.337	8.800	16.300	0.000	0.000	0.000	1.815	2.003	0.936	7.126	11.998	0.000	0.000	20.166	0.000	2.387E-5	20.000	0.000	0.000	3.032	1.900	0.096	0.000	0.000	10.615	5.904	0.000	0.000	0.000	10.272	4.294	10.072	7.946	10.356	0.000	13.140	2.019	3.405	0.000	0.000	0.000	22.412	0.010	1.215	1.093	0.000	22.200	7.359E-4	0.000	9.800	3.046	6.818	0.000	0.000	4.900	9.060	21.320	10.714	12.556	0.000	11.081	0.000	11.562	0.000	25.130	0.000	0.000	11.926	0.000	9.379	0.000	6.400	2.700	2.843	0.000	0.000	0.000	9.531	0.000	0.000	0.000	0.000	13.585	0.000	0.000	11.300	0.000	4.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.416	0.000	0.000	0.000	14.900	0.000	0.000	0.000	0.000	0.276	0.000	19.290	0.000	5.637	0.000	0.000	0.000	11.643	0.000	16.900	0.000	0.000	0.000	0.000	0.000	0.000	14.877	0.000	8.993	19.800	5.424	0.000	7.810	0.036	10.086	0.000	2.087	2.098	0.000	0.000	6.575	1.700	0.103	2.034	1.615	0.000	10.900	0.000	13.300	2.700	0.000	1.987	8.200	0.435	7.927	0.522	6.705	0.300	0.000	0.000	7.263	8.987	9.512	0.000	0.707	9.000	10.780	10.486	10.254	0.000	11.291	8.337	0.000	2.264	11.084	0.000	0.000	2.565	0.000	0.000	3.600	0.000	0.817	0.756	2.900	0.000	0.000	0.000	2.466	21.114	3.000	24.309	1.977	0.000	0.000	0.000	0.000	16.706	0.000	0.000	10.931	1.788	11.021	6.678	12.582	5.623	0.000	11.574	0.000	1.656	5.220	4.260	2.900	17.800	0.000	0.000	0.000	2.575	2.446	1.629	7.627	8.769	0.000	0.000	17.168	0.000	0.720	20.200	0.000	0.000	3.704	0.600	0.000	0.000	0.000	10.266	5.431	0.000	0.100	0.000	9.441	2.318	9.781	5.810	11.093	0.000	11.278	1.819	5.979	0.000	0.000	0.000	21.806	0.000	0.733	0.027	0.000	20.100	0.000	0.000	10.500	1.878	9.727	0.000	0.000	4.900	9.367	21.925	12.268	14.197	0.000	10.298	0.000	9.736	0.000	20.574	0.000	0.000	9.469	0.000	10.564	0.000	6.100	2.200	3.803	0.000	0.000	0.000	9.885	0.000	0.000	0.000	0.000	11.913	0.100	0.000	12.700	0.000	2.700
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.269	0.000	0.000	0.000	15.000	0.000	0.000	0.000	0.000	0.000	0.000	19.262	0.000	7.162	0.000	0.000	0.000	11.335	0.000	15.600	0.000	0.000	0.000	0.000	0.000	0.000	12.457	0.000	8.949	19.700	6.908	0.000	7.016	0.000	10.287	0.000	2.833	1.781	0.000	0.000	9.789	1.700	0.000	3.747	0.580	0.000	10.200	0.000	13.200	3.300	0.000	1.480	5.700	0.741	7.726	1.534	5.349	0.200	0.000	0.336	7.082	9.670	8.608	0.000	1.023	6.900	8.378	9.624	9.279	0.829	5.198	7.917	0.000	3.705	12.906	0.000	0.000	2.564	0.000	0.052	5.600	0.000	0.552	0.600	3.000	0.000	0.000	0.000	2.278	21.559	2.800	21.292	1.000	0.000	0.000	0.000	0.000	14.451	0.000	0.000	9.701	2.180	8.746	6.856	12.136	6.560	0.000	9.015	0.000	5.849	5.074	8.136	0.500	17.500	0.000	0.000	0.000	3.250	2.694	2.258	7.693	5.979	0.000	0.000	13.605	0.000	1.836	19.800	0.000	0.000	3.740	0.600	0.000	0.000	0.000	9.756	5.498	0.000	0.300	0.000	7.446	0.716	10.239	3.825	10.176	0.000	8.115	1.980	9.519	0.000	0.000	0.000	22.538	0.000	0.360	0.000	0.000	14.400	0.000	0.022	9.300	0.476	11.061	0.000	0.000	4.800	8.642	21.602	11.282	15.501	0.000	6.486	0.000	8.452	0.000	16.036	0.000	0.000	6.371	0.000	10.470	0.000	5.900	1.900	4.721	0.000	0.000	0.000	10.617	0.000	0.000	0.000	0.000	10.145	0.100	0.000	13.400	0.000	2.800
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	14.400	0.000	0.000	0.000	0.000	0.200	0.000	18.880	0.000	8.631	0.000	0.000	0.000	9.259	0.000	13.800	0.000	0.000	0.000	0.000	0.000	0.000	8.694	0.000	8.770	21.000	9.302	0.000	1.786	0.000	10.817	0.000	3.862	1.059	0.000	0.000	11.479	2.100	0.000	3.481	0.000	0.000	8.900	0.034	13.600	4.400	0.000	0.108	3.800	0.000	6.998	2.536	3.690	0.000	0.000	0.959	7.649	9.447	7.364	0.000	1.415	4.800	5.068	8.651	8.638	2.666	1.540	6.465	0.000	6.260	13.845	0.000	0.000	2.948	0.000	0.218	5.000	0.000	0.007	0.130	3.500	0.000	0.000	0.000	2.224	23.264	2.900	19.434	0.560	0.000	0.000	0.000	0.000	11.919	0.000	0.000	9.763	2.772	6.573	6.312	11.508	5.763	0.000	1.208	0.000	7.152	4.451	11.796	0.000	17.400	0.000	0.000	0.000	3.561	2.945	2.482	7.114	0.769	0.000	0.000	11.762	0.000	3.232	20.500	0.000	0.455	4.097	0.000	0.000	0.000	0.000	9.502	5.111	0.000	0.600	0.000	4.822	0.000	9.442	2.257	8.931	0.000	5.294	2.000	11.520	0.023	0.000	0.000	21.628	0.000	0.022	0.000	0.000	10.500	0.000	0.861	5.900	0.000	10.785	0.123	0.000	3.700	7.721	20.079	7.579	15.539	0.000	3.793	0.000	5.455	0.000	13.219	0.000	0.000	1.025	0.000	9.685	0.000	5.400	1.900	5.036	0.000	0.000	0.000	12.009	0.000	0.000	0.000	0.000	7.031	0.100	0.000	13.300	0.000	3.000
5	0.146	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.230	0.000	0.037	0.000	0.000	13.800	0.000	0.000	0.000	0.000	0.894	0.000	16.572	0.000	9.358	0.000	0.000	0.000	6.039	0.000	11.600	0.000	0.000	0.000	0.000	0.000	0.000	1.432	0.000	8.175	21.400	9.712	0.000	0.000	0.000	12.548	0.350	4.992	0.120	0.000	0.764	12.017	2.900	0.727	2.701	0.000	0.000	7.000	1.017	14.200	3.400	0.000	0.000	2.200	0.000	2.917	2.623	1.891	0.000	0.103	2.437	4.632	9.907	7.260	0.000	1.745	2.300	2.444	8.119	7.304	3.146	0.000	3.850	0.090	8.752	11.204	0.000	0.000	3.107	0.000	0.275	6.100	0.000	0.216	1.166	3.800	0.000	0.000	0.728	0.896	24.882	2.900	17.406	0.428	0.000	0.000	0.000	0.000	10.208	0.000	0.000	10.814	3.156	6.014	6.300	9.767	5.343	0.000	0.000	0.504	6.603	4.286	14.890	0.000	18.300	0.000	0.000	0.000	3.105	2.920	2.719	6.317	0.000	0.000	0.088	9.996	0.000	4.108	20.900	0.022	1.694	4.722	0.000	0.000	0.000	0.000	8.809	4.583	0.000	0.600	0.000	2.718	0.000	6.174	0.910	5.711	0.000	2.685	2.000	10.907	1.259	0.000	0.000	18.502	0.000	0.000	0.000	0.000	7.500	0.000	2.211	3.600	0.000	11.099	1.722	0.000	2.600	6.183	19.134	5.371	15.003	0.000	3.227	0.000	2.081	0.000	10.181	0.000	0.000	0.000	0.000	8.234	0.000	5.000	2.300	4.198	0.000	0.000	0.000	12.655	0.000	0.000	0.000	0.000	5.061	0.100	0.000	14.200	0.000	2.700
6	0.176	0.576	0.000	0.000	0.000	0.288	0.091	0.000	0.000	0.000	0.000	0.000	0.640	0.014	0.139	0.000	0.000	0.000	0.000	0.026	0.000	0.000	1.332	0.000	12.585	0.000	10.220	0.000	0.000	0.472	3.491	0.000	8.200	0.000	0.406	0.000	0.071	0.000	0.000	0.000	0.272	9.129	21.100	10.729	0.000	0.000	0.100	13.050	0.571	5.264	0.334	0.000	2.193	12.253	3.900	1.927	2.264	0.000	0.079	5.600	3.069	13.200	3.200	0.009	0.000	0.000	0.000	0.254	2.668	0.883	0.000	0.287	3.314	4.126	9.657	6.992	0.000	2.087	0.200	1.418	5.573	4.508	4.072	0.000	1.516	2.847	10.757	7.199	0.000	0.000	1.130	0.000	0.196	6.200	0.000	0.217	2.523	3.500	0.000	0.000	2.520	0.825	24.430	2.200	10.882	0.000	0.698	0.000	0.000	0.017	1.795	0.000	0.000	10.020	3.060	6.575	6.742	6.708	5.216	0.000	0.000	1.649	6.202	9.439	15.747	0.000	18.800	0.000	0.000	0.000	3.176	3.030	2.456	2.922	0.000	0.000	0.547	7.853	0.000	5.436	20.900	0.210	3.892	5.260	0.000	0.000	0.000	0.012	7.728	4.508	0.000	0.700	0.000	1.284	0.000	3.363	0.042	2.908	0.000	0.863	2.000	10.855	2.647	0.000	0.000	12.278	0.000	0.000	0.023	0.000	0.000	0.000	3.178	2.500	0.000	11.059	4.155	0.000	1.800	3.967	18.832	4.566	14.544	0.000	3.465	0.000	0.584	0.019	6.113	0.000	0.009	1.059	0.086	6.471	0.000	4.900	2.000	2.521	0.000	0.799	0.000	13.617	0.000	0.000	0.000	0.000	0.453	0.100	0.000	13.500	0.000	2.700
7	0.205	1.918	0.000	0.359	0.268	1.740	0.470	0.028	0.000	0.172	0.786	0.133	1.070	1.028	0.715	0.000	0.000	0.000	0.000	0.562	0.000	0.000	2.227	0.000	10.865	0.000	10.511	0.004	0.000	1.928	2.205	0.000	7.800	0.000	0.970	0.000	0.830	0.000	0.000	0.000	1.056	10.902	20.300	11.142	0.000	0.000	0.700	12.501	0.816	4.715	2.145	0.372	2.851	12.211	4.200	3.931	2.179	0.000	0.404	0.000	5.062	11.400	3.700	0.685	0.070	0.000	0.056	0.000	2.425	0.226	0.000	0.885	4.692	5.115	9.193	6.552	0.000	2.460	0.900	0.059	3.251	2.483	5.479	0.583	0.895	6.094	12.858	8.499	0.001	0.000	0.035	0.000	0.118	6.100	0.000	0.238	2.590	3.400	0.138	0.000	3.916	0.406	22.947	2.600	8.423	0.319	1.584	5.221E-4	0.000	0.461	1.255	0.000	0.113	8.438	2.580	1.999	6.516	5.268	5.517	0.221	0.000	2.615	5.604	9.845	15.143	0.000	17.100	0.000	0.000	0.524	3.861	3.170	2.592	0.000	0.000	0.000	1.086	2.690	0.384	5.748	19.800	0.508	7.382	4.780	0.000	0.000	0.002	0.497	7.095	4.730	0.087	0.900	0.000	0.211	0.000	1.348	0.012	1.391	0.316	0.000	2.000	12.581	4.019	0.000	0.039	6.925	0.000	0.021	1.387	0.000	0.000	0.157	3.641	0.200	0.000	10.835	7.714	0.139	1.500	1.979	17.281	2.858	14.609	0.000	4.149	0.000	0.190	0.156	0.814	0.000	0.499	5.167	0.823	3.522	0.000	5.600	1.500	2.332	0.000	3.272	0.000	13.675	0.000	0.000	0.060	0.000	0.115	0.200	0.000	5.400	0.000	0.000
8	0.234	4.062	0.314	1.114	1.850	4.064	1.061	0.713	0.252	1.177	1.791	0.703	1.810	3.659	2.547	0.000	0.000	0.000	0.451	1.714	0.000	0.000	3.768	0.136	10.351	0.101	10.490	1.595	0.028	3.533	2.846	0.000	6.700	0.260	0.770	0.000	2.025	0.000	0.000	0.252	1.457	10.294	18.400	11.697	0.000	0.872	1.644	12.750	1.631	3.900	3.348	1.791	2.900	11.678	4.100	5.583	1.815	0.000	1.218	0.000	9.665	8.200	0.000	1.377	2.841	0.200	1.168	0.112	2.674	0.465	0.000	1.171	6.029	5.110	9.559	8.728	0.000	3.059	1.600	0.117	2.497	2.133	7.510	3.884	1.757	8.626	12.853	13.684	0.033	0.000	1.484	0.226	0.534	5.900	0.000	0.154	2.796	4.100	1.100	0.237	3.360	0.000	23.163	2.500	13.492	2.002	1.864	0.306	0.000	1.262	5.019	0.000	0.837	6.463	2.028	1.151	5.548	0.181	5.279	1.027	0.000	4.108	5.166	9.635	14.391	0.000	15.200	0.792	0.203	2.705	4.178	2.850	3.058	0.196	0.421	0.598	2.352	1.267	2.344	5.196	19.200	0.977	10.907	4.227	0.000	0.881	0.443	1.894	7.195	4.174	0.822	0.900	0.032	0.005	0.000	0.053	0.429	0.189	1.082	0.000	2.539	15.250	5.985	0.220	0.281	0.470	0.067	0.257	4.260	0.157	0.000	0.489	4.365	0.000	0.000	11.103	10.383	0.603	0.600	1.210	15.419	1.015	14.086	0.000	6.947	0.296	0.105	0.865	3.106	0.000	0.849	6.318	1.779	1.211	0.000	4.800	1.000	2.211	0.000	5.120	0.024	12.696	0.000	0.000	0.324	0.035	5.483	0.400	0.000	0.000	0.000	0.000
9	0.264	6.337	1.160	1.791	3.808	5.640	1.823	2.478	0.821	1.891	3.527	2.283	3.002	6.400	3.755	0.000	0.000	0.000	2.515	3.050	0.199	0.000	4.607	1.230	4.910	0.935	9.522	3.389	0.333	4.357	4.387	0.000	0.000	1.565	1.339	0.168	3.708	0.525	0.000	3.090	2.140	10.955	15.600	11.885	0.000	5.246	2.972	12.718	2.192	2.996	3.523	3.148	3.058	9.843	4.100	6.930	1.383	1.520	2.256	0.000	14.765	7.700	0.000	2.741	5.770	0.200	1.549	1.306	2.760	1.680	0.000	1.975	7.652	4.794	9.711	9.976	0.003	3.532	1.900	0.407	4.826	2.419	7.855	8.636	3.297	12.247	11.563	15.181	0.255	1.269	2.738	0.924	1.702	5.700	0.000	1.561	2.977	1.800	2.356	1.888	3.355	0.583	23.106	0.900	17.274	3.532	2.448	0.959	0.000	2.834	6.027	0.000	1.624	5.549	1.836	7.309	4.956	0.319	5.353	2.202	0.000	4.514	5.627	10.726	14.752	0.000	11.200	5.087	1.708	5.908	3.612	2.610	2.883	2.926	2.572	4.295	4.183	0.901	3.328	5.760	19.000	1.634	13.196	4.030	4.600	1.525	1.285	2.874	8.529	3.520	1.771	0.900	0.487	0.137	0.000	0.000	1.117	0.000	1.609	0.000	2.780	15.742	8.500	0.590	0.618	0.048	1.336	0.712	7.784	0.979	0.000	0.907	5.261	0.000	0.000	11.460	11.225	1.005	1.500	0.658	14.376	2.568	11.969	0.000	9.343	1.554	0.034	3.467	9.095	0.000	1.548	6.477	1.660	2.420	0.702	4.200	1.200	2.331	0.006	5.435	2.437	11.600	0.000	0.000	1.252	0.379	7.729	0.000	0.000	0.000	0.000	0.000
10	0.293	8.728	1.720	2.736	5.544	5.425	3.530	4.346	1.362	3.256	5.827	4.892	4.065	11.575	4.302	7.900	7.900	17.500	3.188	4.675	1.557	6.300	4.733	1.488	6.956	2.137	8.681	4.623	0.587	4.608	6.544	3.600	6.500	3.327	5.860	0.509	6.109	0.725	0.165	5.228	3.198	11.896	13.400	11.946	6.600	9.944	4.772	12.067	2.789	1.472	5.218	3.665	3.639	7.793	10.400	7.808	1.273	3.471	3.128	5.500	19.484	7.600	2.900	4.447	7.467	2.900	2.387	2.347	2.358	2.277	2.400	1.621	9.270	5.129	8.761	10.688	0.427	0.944	3.400	0.526	6.329	2.532	9.132	15.301	6.014	15.669	11.157	15.347	0.750	3.602	2.824	1.264	3.181	7.700	2.900	3.530	3.091	4.700	4.191	3.263	3.381	3.560	21.917	2.000	19.254	4.038	3.331	0.956	2.300	4.861	8.278	4.900	3.047	5.283	2.188	9.156	5.191	9.287	6.241	3.349	0.721	4.890	6.070	11.823	14.669	6.100	13.200	8.564	5.506	8.751	2.943	2.739	2.784	4.743	3.012	6.093	5.854	7.208	4.266	6.128	17.100	2.365	13.395	4.011	5.400	1.721	1.800	3.706	8.427	3.434	3.026	2.700	1.385	0.290	0.079	0.057	2.390	0.011	3.117	0.000	2.441	15.117	10.135	1.256	1.502	0.521	2.167	2.194	12.571	2.707	10.300	1.584	5.431	3.100	0.002	12.371	11.302	1.572	2.900	0.178	14.343	3.747	8.804	0.000	10.936	3.225	0.000	4.547	9.956	0.220	2.699	6.014	1.717	5.369	2.065	3.400	1.900	3.871	0.762	5.782	3.135	12.773	0.000	0.000	2.356	1.208	9.351	3.400	5.700	13.000	14.800	11.300
