 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	1.138	0.000	0.000	0.000	0.000	0.000	8.288	0.000	0.000	0.000	8.700	0.000	0.000	0.000	0.000	8.611	0.000	3.891	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.500	0.000	0.000	0.000	0.000	0.000	0.000	19.908	0.000	12.807	21.500	5.400	0.000	8.113	0.480	0.000	1.598	0.000	5.077	8.793	0.000	0.000	0.000	3.964	0.036	3.980	0.000	15.000	0.000	6.900	2.200	0.000	4.643	12.100	0.000	8.482	0.000	2.754	0.000	2.946	0.100	0.993	0.000	3.256	0.000	0.215	11.000	10.268	10.729	2.446	10.619	10.785	0.000	17.744	0.000	0.000	0.000	2.483	2.836	1.495	0.000	0.000	0.000	5.977	8.146	3.200	0.000	0.568	0.000	0.823	8.043	3.000	27.599	2.053	1.058	0.000	0.000	1.632	4.040	0.000	0.000	14.336	2.277	0.000	4.990	5.260	3.972	0.000	13.702	10.004	5.795	5.563	10.087	8.800	15.800	0.000	0.000	9.531	12.306	2.243	0.224	8.566	0.615	0.000	0.208	5.418	0.000	0.000	16.300	0.000	0.023	0.499	5.600	0.000	0.000	0.000	0.577	5.953	0.000	0.000	0.000	0.613	1.874	9.649	8.347	1.971	0.000	0	6.958	17.248	1.671	0.000	0.000	5.903	0.000	0.000	0.000	0.000	12.300	0.000	4.547	10.200	1.440	0.000	2.111	0.000	7.200	0	14.578	9.200	10.425	5.654	0.000	0.000	0.000	0.000	10.087	0.000	0.000	1.515	0.000	0.000	0.000	8.100	8.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.836	0.200	0.000	11.100	0.500	6.000
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	2.341	0.000	0.000	0.955	0.183	0.000	6.569	0.298	0.000	0.000	10.900	0.000	0.000	0.000	0.000	5.885	0.000	3.517	0.000	0.438	0.000	0.000	0.297	0.000	0.000	16.100	0.000	0.000	0.000	0.000	0.000	0.000	17.954	0.000	12.587	22.100	7.900	0.000	7.763	0.144	0.000	0.170	0.000	3.772	6.641	0.000	0.000	0.000	5.884	1.322	3.798	0.000	13.800	0.000	8.500	2.000	0.000	1.928	9.600	0.000	7.834	0.205	1.541	0.000	3.935	0.319	0.000	0.000	1.756	0.000	0.000	10.100	9.608	10.628	0.078	12.935	4.327	0.000	18.247	0.000	0.000	0.000	1.303	2.533	0.017	0.000	0.000	0.000	4.606	7.463	3.200	0.000	0.000	0.000	0.582	1.020	2.900	28.281	2.681	1.106	0.000	0.000	0.386	2.285	0.000	0.000	13.592	2.715	0.000	5.319	1.887	0.396	0.000	11.291	9.463	5.995	4.212	8.383	6.000	16.700	0.000	0.000	10.445	11.317	2.281	1.330	9.563	0.000	0.000	0.000	4.638	0.000	0.000	15.500	0.000	0.771	0.000	3.800	0.000	0.000	0.000	0.373	2.650	0.000	0.800	0.000	0.256	1.330	10.048	6.069	0.198	0.000	0	10.768	17.221	0.710	0.000	0.000	8.977	0.000	0.000	0.000	0.000	10.900	0.000	5.244	10.800	0.290	0.000	2.738	0.000	6.500	0	15.626	7.000	9.975	7.455	0.000	0.000	0.000	0.000	7.918	0.000	0.000	3.152	0.000	0.004	0.000	6.900	7.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.557	1.200	0.000	11.600	0.600	3.600
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	4.027	0.000	0.000	4.260	1.786	0.305	2.722	1.761	0.000	0.000	11.000	0.000	0.000	0.000	0.000	3.633	0.000	2.694	0.000	2.764	0.000	0.000	1.960	0.000	0.000	15.500	0.000	3.384	0.000	0.000	0.000	0.000	16.219	0.195	12.959	21.400	8.100	0.000	6.295	0.704	0.000	0.000	0.000	0.065	5.122	0.000	0.000	0.000	7.216	1.298	1.973	0.000	13.200	0.000	10.300	2.500	0.000	0.000	6.900	0.000	7.189	1.203	0.850	0.000	4.383	0.691	0.000	0.000	0.608	0.000	0.000	9.000	6.992	9.837	0.000	13.600	0.976	0.000	18.235	0.000	0.000	0.000	0.096	2.435	0.000	0.000	1.000	0.000	4.304	6.249	4.000	0.000	0.000	0.000	0.603	0.000	2.600	29.458	2.982	1.395	0.000	0.000	8.901E-4	0.900	0.000	0.000	12.094	3.372	0.888	5.347	0.000	0.000	0.000	10.200	8.523	7.548	4.287	6.253	3.200	17.000	0.000	0.000	10.253	11.524	2.557	1.701	10.539	0.000	0.000	0.000	0.924	0.000	0.798	15.200	0.143	3.061	0.000	3.600	0.000	0.000	0.000	0.165	0.351	0.000	1.000	0.000	0.017	0.973	9.981	3.390	0.000	0.000	0	12.609	18.052	0.055	0.000	0.000	11.437	0.000	0.000	0.000	0.000	7.700	0.000	5.770	9.700	0.000	0.000	3.657	0.000	5.700	0	15.732	4.200	11.924	9.108	0.000	0.000	0.000	0.000	6.638	0.000	0.000	4.098	0.000	0.458	0.000	6.400	7.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.978	2.000	0.000	11.900	0.800	3.100
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	6.851	0.426	0.000	7.136	2.947	0.974	0.215	3.834	0.000	0.000	10.400	0.000	0.000	0.000	0.000	2.333	0.000	1.605	0.000	8.407	0.000	0.000	4.925	0.002	0.000	13.600	0.000	13.486	0.000	0.000	0.000	0.051	13.821	1.038	13.051	23.200	9.900	0.000	0.581	2.040	0.000	0.052	0.035	3.155	1.212	0.081	0.000	0.000	7.748	0.969	0.234	0.000	10.900	0.455	13.400	2.900	0.000	0.000	4.900	0.000	6.588	1.846	0.393	0.000	3.966	0.628	0.000	0.360	0.088	0.000	0.000	6.600	3.771	8.519	0.000	13.293	0.000	0.000	17.290	0.266	0.061	0.000	0.715	2.636	0.000	0.000	1.000	0.000	3.430	4.676	4.600	0.000	0.000	0.000	0.352	0.353	3.100	29.155	2.352	1.392	0.000	0.000	0.506	0.349	0.000	0.000	9.758	3.560	7.998	5.460	0.000	0.051	0.000	3.668	7.836	7.865	5.294	2.140	0.000	17.100	1.372	0.000	8.719	11.610	3.194	2.119	10.410	0.000	0.000	0.000	0.000	0.000	2.637	15.200	1.714	4.876	0.000	2.100	0.000	0.000	0.000	0.007	0.000	0.000	1.400	0.000	0.000	0.457	9.104	2.056	0.000	0.000	0	12.982	19.503	0.000	0.000	0.000	11.960	0.000	0.000	0.000	0.000	5.600	0.000	6.535	7.400	0.000	0.000	3.671	0.000	4.400	0	14.054	1.700	12.598	10.436	0.000	0.000	0.000	0.000	3.620	0.000	0.000	4.387	0.000	2.307	0.000	6.100	7.298	0.000	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	5.623	2.200	0.000	11.800	1.000	3.000
5	0.146	0.000	0.000	0.000	0.017	0.000	0.267	9.125	2.276	0.000	9.468	4.161	1.877	0.000	4.698	0.000	0.000	10.100	0.000	0.000	0.000	0.000	2.782	0.000	0.995	0.000	10.837	0.000	0.000	7.727	0.190	0.000	12.400	0.000	15.144	0.000	0.000	0.000	1.112	8.506	1.452	12.010	23.700	12.800	0.000	0.000	3.456	0.000	0.798	1.610	4.344	1.345	3.572	0.621	0.000	8.277	1.572	0.000	0.077	9.100	5.237	15.000	2.200	0.592	0.000	3.800	0.000	3.281	2.317	0.212	0.000	3.713	0.833	0.000	1.800	0.360	0.000	0.000	2.700	1.497	8.144	0.000	12.958	0.036	0.000	16.072	1.126	4.807	0.000	1.212	2.470	0.000	0.000	2.700	0.000	3.841	3.842	4.400	0.052	0.000	0.567	0.000	10.068	3.000	27.929	1.842	0.305	0.000	0.000	1.600	0.397	0.000	0.000	7.111	3.354	11.025	5.672	0.000	4.805	0.666	0.000	8.500	7.554	5.230	0.066	0.000	17.500	6.912	0.000	7.129	12.584	3.277	2.804	10.225	0.003	0.000	0.235	0.000	0.000	4.683	14.500	4.519	7.294	0.000	0.000	0.000	0.000	0.000	0.000	0.169	0.000	1.700	0.019	0.000	0.212	8.840	0.741	0.000	0.000	0	13.872	18.788	0.000	0.000	0.000	11.549	0.000	0.000	0.000	0.000	3.000	0.000	7.654	4.700	0.000	0.000	4.509	0.000	3.200	0	11.919	0.000	13.840	11.060	0.000	0.000	0.000	0.108	0.000	0.000	0.000	5.209	0.133	3.906	0.000	5.700	6.120	0.121	0.000	3.817	0.000	0.932	0.038	0.163	0.000	0.000	1.424	2.700	0.000	13.000	1.200	1.100
6	0.176	0.960	0.466	1.876E-4	1.143	0.000	2.550	10.208	4.451	0.467	11.144	7.073	3.060	2.840	6.496	1.700	0.000	0.000	0.602	0.065	0.000	0.000	4.664	0.000	0.613	0.000	12.768	0.000	0.000	10.983	1.096	0.000	13.100	0.000	18.685	0.000	0.146	0.011	2.299	1.220	1.796	9.640	22.600	13.300	0.000	0.212	6.452	0.042	1.814	2.688	4.497	4.593	6.548	1.860	0.000	7.843	1.678	0.000	1.241	7.700	12.200	15.200	2.300	2.799	0.363	0.000	0.000	0.199	1.799	0.476	0.000	3.412	1.143	0.254	3.644	0.884	0.000	0.000	0.000	0.560	7.103	0.000	13.130	3.853	0.278	14.836	2.696	11.766	0.000	0.457	2.020	0.000	0.000	2.600	0.000	4.295	2.311	3.700	1.596	0.000	1.801	0.000	13.950	2.300	26.214	1.974	0.000	0.000	0.000	2.740	1.110	0.000	0.000	5.958	3.626	11.917	6.468	0.345	6.439	3.067	0.000	8.372	7.050	5.526	2.146	0.000	18.600	9.992	0.000	6.370	14.184	2.567	3.058	8.761	1.741	0.000	3.042	0.000	0.425	6.941	15.600	7.256	9.623	0.000	0.000	0.000	0.000	0.031	0.140	1.484	0.066	2.000	0.216	0.000	0.738	9.927	0.000	0.000	0.051	0	17.109	17.667	0.000	0.008	0.000	11.479	0.000	0.000	0.163	0.000	0.000	0.000	7.584	3.100	0.000	0.000	6.331	0.032	2.600	0	10.734	0.000	15.994	10.632	0.003	0.237	0.000	1.533	0.000	0.000	0.007	6.122	1.177	5.270	0.000	5.700	5.360	1.226	0.000	7.097	0.000	3.063	0.991	2.286	0.000	0.000	0.000	2.700	0.000	13.200	1.200	1.100
7	0.205	4.890	3.347	1.073	3.470	0.000	3.936	10.201	6.423	1.973	11.648	9.551	5.142	9.589	7.787	2.500	0.000	0.000	2.884	1.845	0.374	0.000	6.751	0.000	0.156	0.159	14.694	0.881	0.000	13.751	2.935	0.000	12.400	0.000	21.118	0.002	1.940	1.121	3.232	0.000	2.615	11.880	21.400	13.100	0.000	5.401	10.024	0.892	2.196	3.496	5.945	5.325	10.444	2.864	0.000	7.118	1.748	0.007	3.025	0.000	17.196	15.600	2.700	3.967	5.260	0.000	0.000	0.000	2.258	0.950	0.000	2.828	1.493	2.634	6.600	1.480	0.000	0.214	0.000	0.039	4.338	0.000	13.165	9.524	2.131	11.460	4.441	15.896	0.000	0.209	0.207	0.000	0.000	2.600	0.000	4.472	2.251	4.100	3.320	0.000	3.198	0.000	15.500	2.300	24.772	2.063	1.169	0.016	0.000	3.836	8.921	0.000	0.059	3.686	3.927	11.444	6.372	9.213	8.394	4.234	0.000	6.922	5.204	5.691	6.897	0.000	16.800	12.388	1.131	9.614	15.590	2.282	2.667	3.231	3.702	0.714	3.884	0.720	2.031	9.668	15.500	9.222	11.422	0.000	0.000	0.000	0.119	0.229	1.361	2.737	0.626	2.400	0.015	0.000	2.067	11.710	0.004	0.194	1.594	0	18.340	16.599	0.026	0.661	0.021	10.880	0.029	0.032	5.031	0.270	0.000	0.285	7.334	1.300	0.000	0.429	8.357	0.813	0.900	0	7.813	2.800	16.157	10.570	0.079	1.352	0.467	4.409	0.282	0.000	0.925	6.530	1.200	7.583	0.091	6.200	5.111	2.912	0.000	9.227	0.000	5.282	2.804	4.092	0.140	0.000	0.126	2.700	0.000	1.200	1.100	0.000
8	0.234	7.905	5.517	3.069	7.346	0.000	7.260	9.559	8.600	2.833	12.011	10.527	5.907	17.954	8.165	3.300	0.000	0.000	5.061	4.744	2.058	0.000	8.769	0.136	0.631	1.484	16.941	2.199	0.000	15.877	5.417	0.000	10.400	0.361	20.973	0.350	3.469	2.905	3.951	0.000	3.271	12.612	19.300	13.400	0.000	9.053	11.892	3.072	2.650	5.545	6.818	6.411	13.900	5.307	0.000	6.296	1.959	1.411	4.571	0.000	22.156	16.200	0.000	6.201	9.654	0.000	0.067	0.154	2.297	1.893	0.000	2.642	2.469	4.933	7.196	2.580	0.000	8.715	0.000	0.147	3.438	0.064	13.461	10.467	3.681	11.263	5.449	19.389	0.830	0.114	0.805	0.272	1.289	2.400	0.000	3.395	3.667	4.800	4.591	0.270	3.187	0.573	16.192	2.100	24.871	2.560	4.381	0.575	0.000	4.379	11.666	0.000	0.961	4.037	4.181	11.340	5.421	9.488	11.139	6.564	0.000	5.142	7.766	6.359	9.100	0.000	14.700	15.932	4.008	10.483	16.663	2.709	2.798	0.102	3.830	2.555	5.041	5.254	3.547	10.420	14.000	10.323	11.753	0.000	0.000	0.035	1.337	1.143	3.812	3.728	1.754	2.100	0.293	0.039	3.442	11.289	0.456	1.970	3.057	0	18.255	15.865	1.074	2.222	0.444	8.872	1.193	1.023	10.241	1.606	0.000	0.864	6.962	0.000	0.186	2.406	8.818	1.778	2.700	0	9.151	4.800	15.883	10.171	0.739	3.522	1.661	7.418	7.095	0.000	2.827	6.932	1.686	8.821	2.045	5.800	4.918	5.171	0.000	9.957	0.143	7.597	4.533	6.415	0.560	0.035	0.879	3.400	0.000	0.000	1.200	0.000
9	0.264	13.117	7.110	4.770	11.079	0.185	11.667	9.727	10.986	3.989	13.637	10.428	7.352	20.087	8.345	3.900	0.000	0.000	7.624	8.365	4.557	0.000	9.341	1.641	6.258	1.959	19.869	5.284	0.203	16.435	8.121	0.000	0.000	2.185	20.293	0.784	4.950	5.070	4.796	2.050	4.053	15.001	17.400	13.100	0.000	12.012	12.512	5.579	2.679	9.433	8.304	7.880	16.645	8.745	0.000	5.985	1.828	5.487	5.849	0.000	26.981	15.900	0.000	9.020	10.367	0.000	1.403	1.727	2.218	1.896	0.000	2.369	3.552	8.075	7.540	4.064	0.167	12.428	0.000	0.997	6.738	0.593	12.759	12.391	5.421	15.511	6.395	21.733	1.488	4.670	2.278	1.641	2.887	2.200	0.000	4.369	3.686	4.000	5.729	2.428	2.783	4.253	16.873	1.400	25.903	2.804	4.945	2.015	0.000	4.908	12.475	0.000	2.143	6.970	4.044	12.708	5.046	11.186	12.455	9.537	0.000	4.244	8.007	6.699	11.745	0.000	11.800	17.876	5.449	11.965	17.399	3.257	3.015	3.558	3.802	3.864	8.517	7.116	5.422	11.798	10.500	10.812	11.840	0.000	8.400	1.088	2.020	2.591	6.351	4.975	3.556	2.100	1.325	0.597	5.915	11.349	1.079	3.387	4.717	0	15.752	15.723	2.577	3.842	0.882	7.348	2.424	2.092	16.245	3.049	0.000	1.529	5.996	0.000	0.918	4.538	7.784	2.654	4.300	0	11.351	8.500	18.061	10.233	1.987	6.777	3.226	10.388	9.179	0.736	4.371	7.953	2.889	8.248	4.041	4.900	4.916	7.400	0.011	10.008	0.628	10.101	6.886	9.843	1.924	0.433	6.151	0.000	0.000	0.000	0.000	0.000
10	0.293	15.271	10.007	7.728	14.156	1.986	14.430	9.895	12.893	4.533	14.606	10.938	9.460	20.672	8.592	10.200	8.600	13.000	9.708	12.259	7.430	6.500	9.808	2.030	7.402	2.210	22.218	8.784	0.771	16.878	9.122	2.000	8.700	2.606	16.919	1.607	7.413	7.558	5.437	7.408	4.523	17.595	15.500	14.100	9.400	15.433	12.244	8.682	2.631	12.546	10.154	8.715	18.172	11.949	11.100	6.625	1.800	7.414	7.190	6.400	27.951	15.000	3.400	11.699	11.401	3.100	2.671	3.463	2.029	2.082	2.400	2.003	4.275	9.091	8.740	5.560	0.842	15.247	2.400	1.206	6.980	1.534	10.747	13.192	7.251	18.015	7.456	23.854	3.358	9.370	3.475	2.323	3.573	7.000	3.800	6.300	3.779	4.800	6.924	4.177	2.522	6.226	17.626	2.300	25.166	2.538	5.802	2.079	2.300	5.922	12.596	5.300	2.942	6.875	4.116	14.829	5.413	10.950	13.148	12.081	0.703	4.602	8.752	6.369	14.275	7.700	14.500	18.440	7.597	14.483	17.963	3.213	3.424	8.383	4.087	6.326	11.917	8.272	7.316	13.567	20.200	10.513	13.309	0.000	8.400	1.601	2.529	4.161	6.060	6.465	5.067	2.900	2.700	1.287	8.788	11.603	2.186	5.864	8.206	0	14.441	15.711	3.995	5.412	1.403	6.639	5.635	4.541	22.736	4.403	7.200	1.702	5.759	4.600	1.231	6.763	7.867	3.906	5.900	0	11.385	12.900	20.386	11.270	3.444	10.538	5.487	11.968	9.275	5.097	6.514	8.975	2.963	7.717	7.017	3.400	4.400	8.362	0.944	10.921	1.572	12.794	9.482	11.520	3.500	1.560	8.005	4.800	6.900	14.200	14.700	12.600
