 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211
1	0.029	0.000	0.000	0.000	0.000	0.000	0.000	4.370	0.000	0.000	0.000	2.772	0.000	7.978	1.792	0.000	0.000	5.900	0.000	0.000	0.000	0.000	14.040	0.000	3.165	0.000	16.479	0.000	0.000	0.000	2.606	0.000	17.900	0.000	14.050	0.000	0.000	0.000	0.000	19.950	0.000	9.693	23.600	1.200	1.000	8.914	10.355	0.127	0.112	0.000	0.000	7.320	0.000	0.000	0.000	0.115	0.000	2.410	0.000	16.100	0.000	0.000	1.800	12.309	0.467	11.900	11.325	7.504	0.184	0.373	0.000	3.236	2.192	0.138	2.356	10.882	0.000	9.493	9.500	11.952	10.666	0.126	12.437	15.464	3.072	10.213	0.000	11.796	0.000	14.685	0.517	0.114	0.000	0.000	0.000	11.243	0.000	3.200	1.039	6.615	0.077	0.000	0.000	3.100	31.244	0.000	4.827	0.000	0.000	0.000	14.674	0.000	0.000	3.738	2.640	0.000	3.400	8.509	5.516	0.000	12.762	3.897	15.723	0.751	7.965	11.800	12.500	0.055	0.000	10.928	3.099	0.344	0.000	11.593	0.000	0.000	0.000	0.740	0.000	0.000	11.000	0.000	10.766	12.479	12.500	0.000	0.043	0.000	3.664	0.217	0.000	0.200	0.000	0.000	8.981	0.000	8.460	0.000	0.000	0.000	0.000	13.704	2.470	0.227	0.000	0.000	0.000	0.000	0.000	0.000	8.000	0.000	2.823	10.100	0.276	0.000	0.000	9.590	9.200	4.952	13.156	15.949	0.221	0.000	3.965	1.258	7.301	0.000	4.001	0.000	4.396	7.274	0.000	0.000	0.000	8.200	9.200	0.000	0.000	13.713	0.000	6.320	0.000	0.000	0.000	0.000	8.043	1.600	0.000	7.400	2.600	12.500
2	0.059	0.000	0.000	0.000	0.000	0.000	0.000	4.623	0.000	0.000	0.000	7.040	0.000	8.844	1.457	0.000	0.000	7.900	0.000	0.000	0.000	0.000	12.851	0.000	0.212	0.000	18.386	0.000	0.000	0.000	4.931	0.000	15.200	0.000	9.946	0.000	0.000	0.000	0.000	19.333	0.000	9.788	22.000	1.100	3.100	8.351	9.238	1.486	0.000	0.000	0.000	6.008	0.000	0.000	0.000	3.709	0.000	2.634	0.000	15.100	0.000	0.000	1.600	11.252	0.107	10.500	9.957	6.119	0.000	0.660	0.000	3.805	2.416	0.389	3.294	13.390	0.000	8.776	8.000	9.188	10.855	0.000	11.683	15.710	2.181	9.158	0.083	10.838	0.000	14.020	0.797	0.000	0.000	0.000	0.000	9.469	0.000	3.200	0.625	4.805	1.188	0.000	0.000	2.700	35.341	0.000	3.822	0.000	0.000	0.000	12.871	0.000	0.000	2.706	2.479	1.326	3.734	5.884	6.475	0.000	10.645	5.937	15.675	0.000	7.480	10.100	13.300	0.941	0.000	8.414	2.857	3.101	0.000	11.849	0.000	0.000	1.149	0.378	0.000	0.000	8.700	0.000	9.030	13.686	11.200	0.000	0.000	0.000	3.874	0.000	0.000	1.200	0.000	0.000	5.627	0.000	5.972	0.000	0.000	0.000	0.000	15.213	1.544	0.130	0.000	0.000	0.000	0.000	0.000	0.000	7.100	0.000	3.850	10.700	0.000	0.000	0.062	7.175	9.400	3.861	11.509	15.061	0.802	0.000	4.287	1.861	9.052	0.000	0.705	0.000	2.998	6.663	0.000	0.000	0.000	6.800	8.600	0.000	0.000	13.607	0.000	6.783	0.000	0.000	0.000	0.000	7.772	3.200	0.000	7.500	3.400	10.300
3	0.088	0.000	0.000	0.000	0.000	0.000	0.000	4.516	0.000	0.000	0.000	10.630	0.000	9.850	1.537	0.000	0.000	8.100	0.000	0.000	0.000	0.000	8.953	0.000	0.000	0.000	21.251	0.000	0.000	0.000	7.253	0.000	12.400	0.000	7.400	0.000	0.000	0.000	0.000	18.370	0.000	9.963	21.000	1.100	2.900	7.814	7.117	2.938	0.000	0.000	0.000	2.023	0.000	0.000	0.000	4.257	0.000	2.372	0.000	14.200	0.000	1.485	1.800	8.753	0.000	8.300	8.039	4.278	0.000	1.486	0.000	4.124	2.465	0.586	3.694	13.766	0.000	8.140	6.300	6.139	10.172	0.000	9.688	15.944	1.988	8.776	1.576	8.374	0.000	12.796	0.688	0.000	0.000	0.000	0.000	8.118	0.000	4.200	0.244	4.085	2.208	0.000	0.000	2.600	35.851	0.000	3.526	0.000	0.000	0.000	10.598	0.000	0.000	2.046	2.291	7.048	4.632	3.094	6.852	0.000	7.977	6.578	16.087	0.045	2.214	8.300	13.900	1.320	0.000	6.931	2.915	4.118	0.000	12.400	0.172	0.000	2.738	0.000	0.000	0.000	8.300	0.000	7.075	13.756	10.700	0.000	0.000	0.000	3.768	0.000	0.000	1.400	0.000	0.000	3.071	0.000	3.431	0.000	0.000	0.000	0.000	16.460	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	4.900	0.000	4.134	10.100	0.000	0.000	0.325	4.250	8.300	2.970	9.905	14.589	0.842	0.000	4.592	2.218	10.345	0.000	0.000	0.000	1.179	5.844	0.000	0.000	0.000	6.000	9.200	0.000	0.000	14.748	0.000	8.519	0.000	0.000	0.000	0.000	7.361	3.900	0.000	7.500	4.400	8.400
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	4.447	0.000	0.000	0.000	12.529	0.000	10.427	1.545	0.000	0.000	7.500	0.000	0.000	0.000	0.000	4.797	0.000	0.000	0.000	23.016	0.000	0.000	0.000	8.792	0.000	9.900	0.000	6.811	0.000	0.000	0.000	0.000	15.914	0.000	9.737	20.200	2.300	4.500	6.267	5.539	6.310	0.000	0.000	0.000	0.025	0.000	0.000	0.000	5.578	0.000	1.859	0.000	11.500	0.000	3.809	1.900	4.565	0.000	6.200	5.801	3.041	0.545	2.484	0.000	4.182	1.846	1.134	2.178	12.470	0.000	3.730	4.500	3.673	9.339	0.000	8.317	14.577	0.604	7.478	3.125	8.150	0.000	12.148	0.149	0.000	0.000	0.000	0.000	8.262	0.000	4.800	0.000	2.769	2.816	0.000	0.000	3.300	34.045	0.000	3.180	0.000	0.000	0.000	9.802	0.000	0.000	1.546	1.812	8.530	4.688	0.010	6.815	0.000	1.127	6.688	15.151	0.475	0.000	4.200	14.500	0.018	0.000	6.119	3.021	4.186	0.000	11.624	0.870	0.000	3.929	0.000	0.000	0.000	5.600	0.000	5.347	12.784	9.000	0.000	0.000	0.000	1.024	0.000	0.000	1.900	0.000	0.000	0.996	0.000	2.169	0.000	0.000	0.000	0.000	17.966	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	3.400	0.000	4.653	9.100	0.000	0.000	0.623	1.847	7.300	2.191	7.620	13.383	1.551	0.000	5.453	2.125	10.736	0.000	0.000	0.000	0.981	4.900	0.000	0.000	0.000	6.100	9.100	0.000	0.000	14.066	0.000	8.660	0.000	0.000	0.000	0.000	6.835	4.400	0.000	7.500	5.100	7.900
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	3.937	0.000	0.000	0.000	13.604	0.000	9.920	1.217	0.400	0.000	7.200	0.000	0.000	0.000	0.000	2.566	0.000	0.000	0.000	23.227	0.000	0.000	0.000	9.627	0.000	8.200	0.000	1.038	0.000	0.000	0.000	0.000	11.616	0.000	9.393	20.600	4.400	4.800	4.192	4.458	9.889	0.465	0.000	0.000	0.000	0.000	0.000	0.000	8.105	0.000	0.810	0.000	10.000	0.000	6.265	1.500	1.413	0.000	4.600	4.552	0.943	2.664	2.915	0.000	4.255	1.562	1.965	0.439	12.351	0.000	0.489	2.000	1.983	8.186	0.000	9.094	12.376	0.000	2.077	4.965	6.783	0.000	12.648	0.253	0.000	0.000	0.000	0.000	8.739	0.000	4.400	0.271	1.277	3.645	0.000	0.207	3.000	31.492	0.000	3.051	0.000	0.000	0.000	8.327	0.000	0.000	0.746	1.135	9.236	3.985	0.000	6.910	0.000	0.000	6.624	13.754	4.398	0.000	2.700	15.200	0.000	0.000	5.484	2.248	4.066	0.000	10.351	1.701	0.000	4.859	0.000	0.140	0.212	3.500	0.000	3.932	11.221	5.800	0.000	0.000	0.000	1.188	0.000	0.000	2.400	0.000	0.000	0.015	0.000	0.749	0.000	0.000	0.000	0.000	19.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	6.912	6.100	0.000	0.000	0.594	0.000	6.300	2.109	6.887	11.845	1.564	0.000	5.715	2.428	10.948	0.000	0.000	0.000	1.482	3.852	0.000	0.000	0.000	4.700	9.400	0.042	0.000	12.192	0.000	8.734	0.000	0.000	0.000	0.000	4.161	4.900	0.400	8.400	6.100	6.400
6	0.176	0.000	0.000	0.000	0.088	0.000	0.000	3.193	0.357	0.000	0.000	15.986	0.000	9.705	0.920	3.100	0.000	0.000	0.001	0.000	0.000	0.000	0.828	0.000	0.000	0.000	23.008	0.000	0.000	0.485	10.598	0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	4.746	0.000	12.126	19.500	6.700	5.700	1.373	3.256	11.133	2.128	0.000	0.000	0.000	0.051	0.000	0.000	9.249	0.020	0.000	0.000	9.100	0.465	8.022	1.700	0.086	0.000	0.000	4.543	0.000	2.543	2.845	0.000	4.066	1.853	1.985	0.000	13.710	0.000	0.000	0.000	0.533	8.046	0.000	11.641	10.338	0.000	0.000	6.813	4.600	0.342	11.342	0.000	0.000	0.000	0.000	0.000	9.352	0.088	3.900	0.267	0.217	3.835	0.000	3.227	2.400	30.305	0.000	2.853	0.000	0.000	0.003	6.827	0.000	0.000	0.109	0.605	9.544	3.765	0.000	6.846	0.000	0.000	6.450	12.295	7.382	0.000	1.000	16.300	0.000	0.000	4.119	2.577	4.400	0.083	8.376	1.351	0.000	4.323	0.000	0.865	3.012	4.200	0.000	2.301	9.882	5.800	0.000	0.000	0.039	2.485	0.000	0.000	2.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024	20.743	0.269	0.000	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	7.149	3.600	0.000	0.000	1.069	0.000	4.800	1.684	5.239	11.307	4.002	0.000	6.322	3.159	11.589	0.000	0.084	0.000	0.883	1.990	0.000	0.000	0.000	2.800	8.600	0.396	0.000	10.667	0.000	10.402	0.000	0.083	0.000	0.000	0.104	5.100	0.800	8.800	6.300	6.500
7	0.205	0.934	0.000	0.072	0.405	0.017	0.076	2.222	1.237	0.049	0.311	19.999	0.833	8.785	2.613	4.500	0.000	0.000	1.509	0.036	0.178	0.000	0.722	0.000	0.137	0.000	22.036	0.011	0.000	1.634	10.273	0.000	9.200	0.207	0.889	0.000	0.000	0.000	0.000	1.401	0.320	15.865	16.700	11.500	6.400	2.376	2.618	10.788	2.419	0.000	0.000	0.299	1.578	0.000	0.000	9.065	0.884	0.000	0.355	0.000	4.243	8.743	2.000	1.216	0.000	0.000	4.915	0.000	2.332	2.855	0.000	4.152	2.253	4.128	0.022	14.256	0.000	0.000	0.000	0.011	8.335	0.061	12.948	8.038	0.000	0.000	8.667	2.358	0.735	9.627	0.000	0.000	0.000	0.000	0.000	9.065	1.121	4.300	0.082	0.000	3.644	0.000	3.504	2.100	28.669	0.136	2.508	0.000	0.000	0.249	7.059	0.000	0.000	0.067	0.584	10.425	3.778	0.000	6.996	0.153	0.000	6.251	11.085	8.435	0.000	0.000	16.000	0.000	0.000	3.865	2.777	4.531	0.343	6.633	0.949	1.215	3.000	0.499	1.382	6.436	4.500	0.039	1.477	9.077	6.000	0.000	0.000	0.179	5.088	0.004	0.374	3.200	0.000	0.000	0.000	0.000	0.011	0.000	0.050	0.000	1.915	20.273	1.423	0.000	0.000	0.000	0.000	0.100	0.401	0.004	0.000	0.061	7.169	2.500	0.000	0.000	1.246	0.000	4.200	1.656	3.938	6.373	4.607	0.000	6.409	3.973	11.691	0.049	0.294	0.000	1.209	1.514	0.042	0.314	0.000	2.800	7.000	0.932	0.000	8.594	0.026	12.231	0.000	0.801	0.000	0.000	0.163	4.100	1.800	0.000	5.900	4.000
8	0.234	2.409	0.107	0.585	1.455	0.334	0.852	1.730	2.291	0.876	0.849	22.847	2.585	10.237	4.211	6.100	0.000	0.000	3.204	0.214	1.016	0.000	1.256	0.000	2.933	0.077	20.069	0.251	0.038	3.531	10.612	0.000	8.100	1.156	6.246	0.006	0.023	0.037	0.000	2.945E-4	0.844	18.750	14.500	12.100	5.800	4.707	2.775	10.957	2.841	0.000	0.292	3.195	3.422	0.044	0.000	8.580	2.001	0.000	1.438	0.000	6.566	9.203	0.000	2.935	0.230	0.000	7.366	0.007	2.308	2.479	0.000	4.394	2.821	4.972	1.838	13.736	4.743E-4	0.000	0.000	0.048	6.757	0.299	15.099	6.924	0.201	0.000	10.152	5.065	1.618	6.697	0.094	0.048	0.063	0.000	0.000	8.582	1.576	4.800	1.489	0.000	4.374	1.286	3.741	1.900	26.087	1.407	1.420	0.064	0.000	0.778	9.421	0.000	0.000	2.396	1.142	10.973	3.178	1.019	6.319	1.456	0.000	5.362	10.448	9.558	2.141	0.000	15.700	1.136	0.105	5.568	1.129	4.580	0.608	1.326	0.870	3.664	2.644	2.399	2.125	10.000	2.000	0.446	0.534	7.899	6.200	0.063	0.000	0.352	5.653	0.588	1.083	2.700	0.000	0.000	0.118	0.000	0.239	0.000	0.382	0.660	4.276	19.766	0.000	0.000	0.000	0.217	0.487	0.600	1.689	0.235	0.000	0.263	7.305	0.000	0.000	0.000	1.532	0.000	4.900	1.501	4.284	4.905	5.018	0.100	6.387	5.710	10.881	0.876	0.750	0.204	2.828	1.784	0.814	2.262	0.072	2.800	6.300	1.562	0.000	6.768	0.885	12.802	0.100	0.948	0.039	0.000	6.180	4.200	2.400	0.000	5.800	0.000
9	0.264	4.793	1.631	1.541	3.192	0.776	2.273	0.893	3.657	0.824	1.069	21.147	5.361	12.610	4.641	6.600	0.000	0.000	3.733	1.175	2.024	0.000	1.661	0.519	3.257	0.633	17.455	0.341	0.438	5.686	11.898	0.000	0.000	1.403	9.923	0.004	0.908	0.911	0.015	2.005	1.132	19.906	14.300	13.300	6.600	8.127	3.819	11.228	2.820	0.000	1.288	6.071	4.138	0.758	0.000	8.507	2.482	0.911	2.256	0.000	8.806	10.026	0.000	4.474	5.179	0.000	8.772	0.857	2.505	2.161	0.000	4.210	3.151	4.992	4.718	12.703	0.175	0.394	0.000	0.405	6.986	0.986	17.085	4.639	1.993	0.000	10.471	9.515	2.386	5.589	1.829	0.805	0.928	0.000	0.000	8.632	2.147	4.800	2.335	1.863	5.184	3.235	3.730	1.600	24.424	1.915	1.809	1.259	0.000	1.056	12.741	0.000	0.527	4.714	1.865	10.375	3.057	2.707	6.158	2.105	0.074	4.548	9.403	11.572	5.705	0.000	15.600	3.179	1.231	7.136	0.000	4.686	0.832	0.160	0.813	6.439	3.207	4.286	2.520	12.888	0.000	1.620	0.285	6.603	11.000	1.017	0.623	1.399	6.915	2.074	2.072	2.700	0.108	0.033	0.728	0.000	0.549	0.197	1.477	3.959	7.618	20.222	0.000	0.010	0.112	1.733	0.932	1.100	3.004	0.741	0.000	0.606	7.790	0.000	0.000	0.359	1.574	0.229	3.600	1.446	6.459	4.051	7.310	0.426	6.804	7.250	10.163	2.803	4.649	5.182	5.648	2.208	1.517	5.534	0.963	2.500	6.300	3.043	0.013	7.239	1.304	13.054	0.323	1.855	0.581	0.122	8.514	0.000	2.500	0.000	3.300	0.000
10	0.293	6.486	4.289	3.519	4.605	0.937	4.072	0.239	4.940	1.263	2.825	17.869	7.770	13.801	4.554	10.900	6.900	10.200	4.756	2.620	3.266	5.200	2.840	1.526	3.309	0.884	15.004	1.215	0.664	7.122	11.908	1.100	5.500	1.748	11.360	0.316	1.964	1.319	0.504	5.638	1.808	20.621	14.000	15.100	13.600	10.149	5.476	10.898	2.733	0.881	2.667	8.478	4.391	1.893	6.000	8.152	3.085	3.481	3.624	4.500	9.720	11.190	2.900	5.463	6.576	2.100	8.797	2.041	2.239	2.285	1.900	3.935	3.095	6.439	6.715	11.948	0.482	12.033	1.300	0.615	7.523	1.912	19.166	4.694	3.997	0.000	10.486	11.845	3.038	6.863	2.645	1.515	1.360	4.200	2.700	8.295	2.357	3.900	3.074	4.484	4.995	4.273	3.382	2.400	23.706	2.602	3.131	2.222	2.200	1.278	12.787	4.700	1.073	6.389	2.505	10.441	3.286	4.369	6.634	3.145	3.936	4.520	8.858	12.088	6.636	8.300	14.500	3.148	2.374	9.303	0.000	4.986	1.131	3.888	0.697	8.574	4.878	4.671	3.409	13.852	14.900	3.287	0.137	2.133	10.800	1.091	2.058	2.557	7.631	3.773	4.430	3.100	0.563	0.364	1.204	0.073	1.319	0.800	2.060	6.296	10.238	19.001	0.000	0.951	0.505	5.008	2.234	1.900	5.439	1.131	5.500	0.829	7.924	3.800	0.055	6.683	1.142	1.135	3.400	2.283	7.632	5.077	10.620	1.453	6.300	8.140	9.816	4.875	5.637	8.053	8.421	2.576	1.725	7.439	2.159	3.700	5.300	4.780	0.452	9.604	1.535	13.366	1.356	3.398	1.740	0.903	9.355	2.800	7.400	14.300	9.600	8.800
