 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	19.398	0.295	78.979	0.124	0.608	0.259	0.464	35
2	19.880	0.150	90.000	0.045	0.268	0.216	0.117	37
3	20.085	0.103	0.000	0.013	0.165	0.099	0.117	39
4	19.942	0.725	84.351	0.386	1.015	0.485	0.698	38
5	19.247	1.387	81.387	0.289	1.502	0.245	1.128	34
6	19.882	1.909	71.929	0.281	1.114	0.321	0.771	36
7	4.016	2.111	97.235	0.350	1.291	0.345	1.010	1
8	28.093	2.496	47.745	0.257	1.584	0.206	1.412	43
9	18.810	3.401	73.760	0.579	2.801	0.263	2.470	33
10	18.672	6.321	72.688	2.654	7.445	0.454	9.676	30
11	27.263	3.208	40.241	0.091	0.604	0.192	0.432	42
12	26.896	3.485	50.256	0.023	0.223	0.133	0.071	41
13	18.448	5.364	91.986	0.045	0.279	0.203	0.088	32
14	18.249	5.761	53.607	0.070	0.372	0.238	0.041	31
15	17.038	8.878	23.109	0.015	0.164	0.120	0.590	27
16	16.763	9.400	57.827	0.131	0.817	0.205	0.590	27
17	8.447	9.630	108.017	0.133	0.531	0.319	0.112	2
18	22.907	9.749	148.909	0.100	0.388	0.330	0.000	0
19	16.670	10.505	76.892	0.224	1.215	0.235	1.052	26
20	9.049	11.094	118.298	0.464	2.215	0.267	1.934	3
21	17.867	11.563	28.986	0.714	2.640	0.344	2.978	28
22	29.485	11.247	125.878	0.237	0.778	0.388	0.632	44
23	15.309	14.398	74.547	2.246	5.028	0.569	9.907	20
24	16.498	12.763	68.416	0.200	0.971	0.262	0.695	25
25	15.034	13.225	63.685	0.046	0.374	0.158	0.229	22
26	14.090	14.567	89.051	0.887	1.541	0.733	2.970	15
27	14.606	14.152	90.000	0.010	0.132	0.099	0.029	19
28	13.698	15.418	90.000	0.018	0.156	0.147	0.029	9
29	14.073	15.603	171.474	0.027	0.223	0.157	0.129	14
30	14.319	15.989	113.725	0.098	0.490	0.255	0.112	17
31	15.404	17.820	80.562	0.706	2.296	0.391	2.628	24
32	14.046	17.523	87.889	0.298	1.481	0.256	1.340	12
33	9.849	17.505	93.605	0.193	0.863	0.285	0.598	4
34	14.611	18.067	65.097	0.210	1.062	0.252	0.807	18
35	14.752	18.314	99.254	0.046	0.296	0.200	0.059	21
36	14.509	20.183	83.026	1.313	3.454	0.484	4.975	16
37	11.508	19.172	98.053	0.232	0.607	0.486	0.159	5
38	15.202	19.427	90.813	0.034	0.271	0.161	0.117	23
39	14.008	19.516	73.993	0.042	0.308	0.174	0.071	13
40	13.850	20.374	33.176	0.093	0.459	0.257	0.236	10
41	13.956	21.203	78.682	0.093	0.566	0.209	0.329	11
42	13.502	26.656	82.271	3.585	4.268	1.070	16.522	8
43	12.757	24.440	47.667	0.156	0.731	0.272	0.612	7
44	12.176	27.493	81.072	0.397	1.746	0.289	1.630	6
