 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
1	0.029	0.000	6.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.400	6.800	0.000	4.882	0.000	17.329	0.000	0.000	0.188	11.318	0.000	0.000	20.869	0.000	0.000	0.000	19.782	0.000	0.000
2	0.059	0.000	6.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.200	6.300	0.000	5.755	0.000	10.488	0.000	0.000	0.000	12.438	0.000	0.000	19.404	0.000	0.000	0.000	22.731	0.000	0.000
3	0.088	0.000	5.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.400	6.300	0.000	5.980	0.000	5.081	0.000	0.000	0.000	11.681	0.000	0.000	14.317	0.000	0.000	0.000	22.916	0.000	0.000
4	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	2.918	0.000	0.000	0.226	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	2.400	7.100	0.000	6.520	0.000	0.522	0.000	0.000	0.000	10.535	0.000	0.114	10.223	0.000	0.000	0.000	23.653	0.000	0.000
5	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.690	0.000	4.504	0.000	0.000	0.155	0.000	0.000	0.000	0.000	0.000	0.217	0.000	0.000	0.000	0.000	0.000	0.000	2.200	6.500	0.000	6.798	0.000	0.000	0.000	0.000	0.000	8.668	0.000	0.192	0.379	0.000	0.000	0.000	23.248	0.000	0.000
6	0.176	0.000	0.000	0.000	0.000	0.080	0.000	0.682	2.026	0.000	7.888	0.000	0.000	0.523	0.000	0.000	0.000	4.489E-4	0.000	0.506	0.000	0.000	0.280	0.000	0.000	0.000	3.300	5.600	0.000	6.557	0.000	0.518	0.000	0.000	0.000	4.845	0.000	0.716	0.000	0.000	0.409	0.000	24.146	0.000	0.000
7	0.205	0.224	2.600	0.000	0.424	2.002	1.039	0.874	4.291	0.000	11.468	0.104	0.000	0.510	0.171	0.000	0.000	0.721	0.000	0.777	0.046	0.232	0.720	0.000	0.000	0.000	5.000	4.200	0.000	6.077	0.000	5.803	0.093	0.000	0.593	2.380	0.239	1.095	0.000	0.000	1.058	0.000	22.778	0.055	0.000
8	0.234	1.572	8.200	0.000	2.021	3.967	5.418	0.958	8.263	0.000	12.750	2.147	0.000	0.823	0.820	0.000	0.108	1.604	0.084	1.012	0.318	1.117	1.044	0.000	0.308	0.000	5.900	3.200	0.000	5.349	0.366	8.549	1.277	0.009	2.740	2.424	3.099	1.679	0.000	0.000	1.614	0.131	15.550	0.464	0.453
9	0.264	3.217	10.900	0.000	4.160	5.552	7.736	1.046	10.109	0.000	11.935	4.976	0.157	2.498	2.879	0.180	1.074	2.351	0.703	1.937	0.607	0.627	1.504	0.000	1.850	0.164	6.100	1.100	0.100	5.760	2.105	11.265	2.539	0.732	4.772	8.855	5.185	2.423	0.068	0.273	2.899	0.992	9.181	1.473	3.803
10	0.293	6.013	12.100	0.000	4.491	7.785	9.848	0.880	10.068	0.067	11.190	9.103	1.042	5.119	5.790	0.713	2.436	3.303	1.269	4.462	0.882	1.089	1.988	0.000	3.449	1.497	6.600	1.900	0.900	5.430	3.850	14.611	4.866	2.779	5.276	11.852	8.511	2.825	6.456	1.899	5.239	1.295	4.697	2.492	6.260
11	0.322	7.713	11.800	14.700	6.637	10.239	10.687	0.937	9.889	0.232	10.847	11.968	3.332	6.502	7.760	1.531	3.480	4.600	1.586	6.478	1.412	2.217	2.020	0.000	4.154	3.326	6.400	2.700	2.000	7.307	5.733	17.863	5.826	4.055	6.246	14.018	10.632	2.752	5.720	3.127	7.299	1.903	0.214	2.986	7.664
12	0.352	8.695	12.500	17.600	8.125	11.203	11.436	1.051	10.062	0.847	8.948	13.043	5.899	7.151	7.868	2.996	4.568	5.616	1.748	6.385	2.588	3.062	1.940	0.442	4.662	4.222	7.000	3.400	2.400	7.203	7.315	18.726	6.708	5.386	8.137	14.036	11.538	2.448	5.901	4.695	8.393	2.248	0.000	3.236	9.055
13	0.381	8.788	14.000	12.000	9.359	11.081	11.544	1.414	11.167	1.371	6.643	12.365	6.566	7.178	7.294	4.560	4.621	6.058	1.928	6.348	2.609	3.839	2.516	5.266	5.071	4.727	8.200	3.800	2.600	7.116	8.447	18.219	7.235	6.636	9.685	12.992	11.728	2.379	5.549	5.964	8.781	2.323	0.000	3.226	10.770
14	0.410	9.237	13.300	11.400	10.911	9.532	10.394	2.034	11.244	2.199	3.799	10.194	6.170	6.240	6.817	5.090	4.322	6.695	2.017	7.502	1.940	3.184	2.792	8.205	4.905	4.653	8.900	3.400	2.600	7.183	9.685	17.806	6.905	6.608	11.190	11.782	11.099	2.377	4.984	6.206	8.871	2.514	0.000	3.558	10.394
15	0.439	8.909	13.600	10.900	11.652	8.080	8.253	1.238	8.213	2.893	1.525	5.970	5.636	6.397	6.617	4.734	3.315	6.282	1.829	7.168	0.808	5.206	2.508	10.849	3.186	3.302	9.800	3.400	2.600	6.870	9.809	16.785	4.866	5.753	12.358	9.303	9.034	1.502	3.674	6.124	7.196	3.108	0.000	4.513	8.335
16	0.469	7.856	12.600	10.200	10.783	6.820	5.900	0.447	4.196	2.247	0.341	2.551	4.397	7.004	5.239	4.003	2.177	4.515	1.395	5.140	0.691	5.429	1.564	14.397	2.014	1.654	11.500	3.500	3.100	6.686	7.941	14.356	3.826	4.304	11.660	6.298	5.419	1.419	3.008	4.579	5.232	3.262	0.000	4.443	5.796
17	0.498	5.209	11.200	10.000	9.484	4.659	3.113	0.458	1.748	1.348	0.000	0.894	1.966	6.762	2.715	2.825	0.859	2.380	1.012	2.714	0.304	4.083	1.500	16.813	0.841	1.075	11.700	0.000	1.800	6.075	7.330	8.884	1.408	3.004	9.190	2.363	2.692	1.314	0.935	3.013	2.610	3.348	0.000	4.109	3.579
18	0.527	1.049	10.200	10.700	8.075	2.344	1.477	0.209	0.626	0.902	0.000	0.139	0.467	1.588	1.315	2.030	0.429	1.036	0.913	1.361	0.017	3.553	0.680	18.641	0.456	0.310	11.200	0.000	0.000	6.824	4.533	4.447	0.000	1.426	5.911	0.734	0.797	1.029	0.063	1.875	1.216	3.698	0.000	4.329	2.101
19	0.557	0.000	10.500	11.100	6.433	0.547	0.438	0.000	0.174	0.634	0.000	0.000	0.030	0.156	0.686	1.651	0.066	0.248	0.896	0.070	0.000	2.873	0.460	20.243	0.067	0.000	11.000	0.000	0.000	7.497	5.130	0.619	0.000	0.806	0.684	0.000	0.075	0.657	0.000	0.590	0.246	1.355	0.000	4.078	0.091
20	0.586	0.000	10.900	11.300	3.850	0.000	0.027	0.000	0.000	0.106	0.000	0.000	0.000	0.000	0.081	1.539	0.000	0.000	0.570	0.000	0.000	1.883	0.120	19.904	0.000	8.449E-4	11.200	0.000	3.200	8.277	8.989	0.000	0.000	0.188	0.000	0.000	0.000	0.552	0.000	0.007	0.000	0.027	0.000	2.828	0.000
21	0.615	0.000	10.300	12.100	1.714	0.000	0.000	0.000	0.000	1.976E-4	0.000	0.000	0.000	0.114	0.000	1.251	0.000	0.000	0.123	0.000	0.000	1.090	0.000	16.980	0.000	1.483	11.300	0.000	3.700	9.487	10.579	0.000	0.000	0.000	4.667	0.000	0.000	0.188	0.000	0.000	0.000	3.405	0.000	1.063	0.000
22	0.645	0.079	8.800	11.900	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.600	0.000	0.682	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.584	0.000	4.576	11.100	2.900	4.700	10.646	14.923	0.000	0.000	0.000	10.338	0.000	0.000	0.000	0.000	1.854	0.000	6.160	0.000	0.032	0.000
23	0.674	2.384	6.600	12.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.334	0.000	0.206	0.114	0.000	0.000	0.000	0.000	0.000	0.000	8.583	0.000	7.732	9.800	9.200	5.400	11.493	18.822	0.000	0.127	0.000	15.655	3.002	0.000	0.000	0.000	6.656	0.000	7.057	0.000	0.000	0.000
24	0.703	4.390	3.700	12.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.085	0.079	0.108	0.449	0.000	0.000	0.000	0.000	0.000	0.000	5.586	0.000	9.656	7.900	13.100	5.900	11.878	20.378	0.000	4.820	0.000	21.888	6.518	0.000	0.000	0.000	10.555	0.000	10.036	0.000	0.000	0.000
25	0.732	6.546	1.000	12.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.459	1.821	0.031	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.729	0.000	12.413	6.500	16.000	6.100	11.508	21.153	0.000	5.785	0.000	25.437	9.777	0.000	0.000	0.000	14.564	0.000	13.395	0.000	0.000	0.000
26	0.762	8.128	0.000	12.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.258	4.140	0.000	1.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.350	5.500	17.200	6.400	10.703	20.316	0.000	7.580	0.000	25.371	13.292	0.000	0.000	0.000	17.942	0.000	14.741	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.167	18.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000
