 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
1	0.029	0.000	7.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.164	0.000	0.000	4.100	7.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.806	0.000	0.000	20.700	0.000	0.000	0.000	16.814	0.000	0.000
2	0.059	0.000	7.800	0.000	0.309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.892	0.000	0.000	4.200	7.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.029	0.000	0.058	18.800	0.000	0.000	0.000	15.445	0.000	0.000
3	0.088	0.000	7.300	0.000	3.024	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.233	0.000	0.000	4.300	7.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.902	1.207	1.223	14.400	0.000	0.000	0.000	13.016	0.000	0.000
4	0.117	0.000	0.000	0.000	5.058	0.000	0.006	0.000	0.000	0.000	1.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.489	0.000	0.000	4.500	8.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.208	3.694	2.013	10.200	0.000	0.000	0.000	11.053	0.372	0.000
5	0.146	0.000	0.000	0.000	7.020	0.000	3.128	0.000	0.000	0.000	5.434	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.193	23.485	0.000	0.000	4.200	7.600	0.000	0.136	0.000	0.000	0.000	0.000	0.000	10.489	5.873	2.592	0.000	0.000	0.158	0.000	9.905	1.854	0.000
6	0.176	0.257	0.000	0.000	7.914	0.000	8.558	0.000	0.135	0.000	8.988	0.000	0.000	0.000	1.204	0.000	0.004	0.653	0.460	0.255	0.000	0.210	0.791	23.639	0.088	0.000	3.700	7.000	0.000	0.325	0.675	0.523	0.013	0.052	0.000	10.651	8.027	2.786	0.000	0.000	1.238	1.860E-4	9.148	2.421	0.090
7	0.205	2.328	0.000	0.000	7.767	1.293	12.707	0.000	1.147	0.016	9.995	1.356	0.000	0.022	2.720	0.000	1.021	2.395	0.810	1.302	0.002	1.185	2.295	22.106	1.329	0.046	2.600	5.600	0.000	0.161	2.594	5.341	3.325	4.641	0.885	10.232	10.352	2.944	0.000	0.256	2.675	0.788	8.077	3.262	0.385
8	0.234	3.910	8.100	0.000	7.760	5.200	16.801	0.174	2.180	0.902	10.839	4.537	0.193	1.535	4.372	0.002	2.324	3.787	1.105	3.059	0.264	1.852	3.020	20.651	2.430	0.759	2.600	4.000	0.000	0.000	5.314	9.641	8.474	5.965	4.861	8.693	12.254	3.652	0.000	1.535	3.907	1.686	5.744	4.568	0.994
9	0.264	5.602	12.200	0.000	8.360	9.504	20.090	1.765	3.091	3.443	12.578	6.968	1.327	2.228	7.016	0.287	2.652	6.912	1.627	5.121	0.955	2.415	3.359	20.259	3.775	1.316	2.100	2.300	0.700	0.194	7.656	14.088	11.542	8.165	8.864	8.011	13.104	3.924	8.100	2.810	6.197	1.989	0.654	5.151	3.028
10	0.293	6.535	14.800	0.000	9.167	16.085	22.119	2.841	4.575	6.397	15.235	11.230	3.642	3.982	10.148	0.622	5.359	10.221	2.800	6.552	1.574	3.348	3.502	20.204	5.557	2.544	0.000	2.300	1.000	3.411	9.958	17.232	14.516	9.648	11.740	9.562	12.887	4.019	8.100	4.379	10.500	2.566	0.000	5.647	5.406
