 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
1	0.029	0.000	4.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.244	0.000	0.000	7.400	0.000	0.000	0.000	0.000	0.000	0.000	28.437	4.096	7.095	0.000	21.200	0.000	0.000	0.000	14.183	0.000	0.000
2	0.059	0.000	4.500	0.000	0.000	0.000	1.060	0.000	0.000	0.000	6.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.100	0.000	0.000	0.000	0.000	0.000	0.000	29.302	5.801	9.549	0.000	19.100	0.000	0.000	0.000	10.047	0.000	0.000
3	0.088	0.000	5.200	0.000	1.201	0.000	1.080	0.000	0.000	0.000	7.519	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000	6.800	0.000	0.000	0.000	0.235	0.000	0.000	29.337	8.028	10.979	0.000	14.100	0.000	0.000	0.000	0.865	0.000	0.000
4	0.117	0.000	0.000	0.000	8.115	0.000	1.498	0.000	0.000	0.000	7.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.593	0.000	0.000	0.000	0.000	0.000	7.300	0.000	0.000	0.000	0.243	0.000	0.000	28.311	9.643	10.768	0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.146	0.000	0.000	0.000	11.294	0.000	2.361	0.072	0.000	0.817	8.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.047	0.000	0.000	1.817	0.000	0.000	0.000	0.000	0.100	7.100	0.000	0.000	0.000	0.271	0.013	0.000	25.778	11.467	10.462	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.176	0.000	0.000	0.000	12.968	0.000	6.041	1.482	0.000	4.022	9.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.000	0.000	3.168	0.000	0.000	0.193	0.000	0.100	7.300	0.000	0.000	0.000	0.548	1.580	0.000	21.717	12.971	10.499	0.564	0.000	0.000	0.000	0.000	0.007	0.000	0.000
7	0.205	0.074	0.000	0.000	13.030	0.133	8.453	2.095	0.000	5.805	9.386	0.000	0.000	0.023	0.000	0.000	0.027	0.069	0.183	0.000	0.000	4.236	0.185	0.000	1.001	0.000	0.100	6.300	0.000	0.000	0.054	1.213	2.571	0.068	18.159	13.733	9.345	0.588	0.000	0.009	0.875	0.000	3.058	0.022	0.059
8	0.234	0.159	4.000	0.000	13.546	1.040	11.633	3.556	0.000	8.103	8.941	0.339	0.058	0.841	0.203	0.000	0.543	0.692	0.214	0.126	0.000	5.476	0.650	0.000	1.224	0.058	0.200	4.800	0.000	0.000	1.782	1.796	5.208	0.982	16.725	13.791	7.030	1.260	0.000	0.222	2.397	0.808	6.853	0.371	0.587
9	0.264	0.310	6.000	0.000	14.405	3.593	12.094	4.427	0.000	9.819	8.518	1.660	0.557	1.282	0.878	0.000	1.838	1.105	0.435	0.364	0.072	6.634	1.077	0.000	2.192	0.532	1.400	3.400	0.700	0.040	3.837	2.017	7.931	1.699	15.836	12.895	3.681	1.778	4.900	0.920	4.867	1.372	10.381	1.017	1.010
10	0.293	0.998	8.300	0.000	13.795	7.762	11.785	5.268	0.048	11.600	8.060	4.480	1.549	2.127	1.825	0.163	3.046	1.536	1.079	0.541	0.001	7.433	1.267	0.000	3.696	1.071	2.200	3.000	0.900	1.451	4.635	2.277	8.064	3.663	15.166	11.446	3.255	2.174	5.700	2.510	7.204	1.923	15.558	1.789	1.342
