 	x	1	2
1	0.030	0.000	0.000
2	0.060	0.000	0.000
3	0.090	0.000	0.000
4	0.120	0.000	0.000
5	0.150	0.000	0.000
6	0.180	0.000	0.000
7	0.210	0.000	0.000
8	0.240	0.000	0.000
9	0.270	0.035	0.000
10	0.300	0.673	0.000
11	0.330	3.235	0.000
12	0.360	6.471	0.000
13	0.390	10.511	9.467E-4
14	0.420	13.959	0.006
15	0.450	14.976	0.003
16	0.480	13.885	0.002
17	0.510	11.983	1.164E-4
18	0.540	10.074	1.143E-4
19	0.570	8.364	0.007
20	0.600	7.091	0.070
21	0.630	6.387	0.202
22	0.660	6.119	0.222
23	0.690	6.050	0.145
24	0.720	5.986	0.135
25	0.750	6.007	0.312
26	0.780	6.137	1.006
27	0.810	6.177	2.874
28	0.840	5.982	5.534
29	0.870	5.667	7.267
30	0.900	5.552	6.932
31	0.930	5.882	5.524
32	0.960	6.474	4.085
33	0.990	6.805	3.096
34	1.020	6.560	2.665
35	1.050	5.918	2.597
36	1.080	5.154	2.912
37	1.110	4.509	3.347
38	1.140	4.221	4.027
39	1.170	4.262	6.285
40	1.200	4.182	14.083
41	1.230	3.542	31.956
42	1.261	2.523	48.890
43	1.291	1.614	44.380
44	1.321	1.059	28.862
45	1.351	0.845	20.460
46	1.381	0.893	21.852
47	1.411	1.062	29.880
48	1.441	1.133	38.206
49	1.471	0.919	39.913
50	1.501	0.626	30.267
51	1.531	0.301	15.580
52	1.561	0.091	4.001
53	1.591	0.031	0.508
54	1.621	0.020	0.000
55	1.651	0.009	0.000
56	1.681	0.016	0.000
57	1.711	0.030	0.000
58	1.741	0.004	0.000
59	1.771	0.000	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
