 	x	1	2	3
1	0.030	0.000	0.000	0.103
2	0.060	0.000	0.000	0.069
3	0.090	0.000	0.000	0.082
4	0.120	0.000	0.000	0.105
5	0.150	0.000	0.000	0.093
6	0.180	0.000	0.000	0.048
7	0.210	0.000	0.000	0.011
8	0.240	0.000	0.091	9.557E-4
9	0.270	0.000	0.753	7.661E-4
10	0.300	0.000	0.936	0.010
11	0.330	0.000	1.081	0.064
12	0.360	0.000	1.268	0.209
13	0.390	0.000	1.622	0.365
14	0.420	0.000	2.400	0.412
15	0.450	0.000	3.363	0.404
16	0.480	0.000	4.022	0.516
17	0.510	0.000	4.087	0.938
18	0.540	0.000	4.046	1.833
19	0.570	0.000	4.628	2.883
20	0.600	0.000	5.952	3.588
21	0.630	0.000	7.452	4.301
22	0.660	0.000	8.310	5.747
23	0.690	0.000	8.253	7.738
24	0.720	0.000	7.420	8.941
25	0.750	0.000	6.388	8.477
26	0.780	0.000	5.632	7.193
27	0.810	0.000	5.328	6.321
28	0.840	0.000	5.466	5.831
29	0.870	0.000	5.577	5.148
30	0.900	0.000	5.116	4.265
31	0.930	0.000	4.329	3.492
32	0.960	4.405	3.896	2.976
33	0.990	4.405	3.793	2.773
34	1.020	8.244	3.183	2.697
35	1.050	7.967	1.922	2.508
36	1.080	6.165	0.905	2.394
37	1.110	5.124	0.470	2.689
38	1.140	5.108	0.392	3.352
39	1.170	5.509	0.657	3.846
40	1.200	5.324	1.299	3.868
41	1.230	4.358	1.697	3.728
42	1.261	3.447	1.310	3.827
43	1.291	3.086	0.762	4.161
44	1.321	3.234	0.345	4.395
45	1.351	3.760	0.099	4.088
46	1.381	4.460	0.016	2.916
47	1.411	4.880	0.001	1.387
48	1.441	4.605	9.420E-5	0.373
49	1.471	4.031	2.351E-6	0.067
50	1.501	3.687	0.000	0.027
51	1.531	3.540	0.000	0.056
52	1.561	0.527	0.000	0.128
53	1.591	0.633	0.000	0.112
54	1.621	0.631	0.000	0.025
55	1.651	0.455	0.000	0.001
56	1.681	0.274	0.000	1.033E-5
57	1.711	0.200	0.000	1.803E-8
58	1.741	0.223	0.000	0.000
59	1.771	0.337	0.000	3.404E-6
60	1.801	0.495	0.000	2.676E-4
61	1.831	0.000	0.000	0.001
62	1.861	0.000	0.000	0.001
63	1.891	0.000	0.000	2.155E-4
64	1.921	0.000	0.000	0.000
65	1.951	0.000	0.000	0.000
66	1.981	0.000	0.000	0.000
67	2.011	0.000	0.000	0.000
68	2.041	0.000	0.000	0.000
