 	x	1	2	3
1	0.030	0.000	0.000	0.077
2	0.060	0.000	0.000	0.181
3	0.090	0.000	0.000	0.324
4	0.120	0.000	0.000	0.385
5	0.150	0.000	0.000	0.446
6	0.180	0.000	0.000	0.588
7	0.210	0.000	0.000	0.818
8	0.240	0.000	0.114	1.211
9	0.270	0.000	0.941	1.681
10	0.300	0.000	1.171	2.020
11	0.330	0.000	1.230	2.064
12	0.360	0.000	1.247	1.945
13	0.390	0.000	1.652	1.891
14	0.420	0.000	2.484	1.875
15	0.450	0.000	3.498	1.750
16	0.480	0.000	4.106	1.542
17	0.510	0.000	4.033	1.433
18	0.540	0.000	3.845	1.486
19	0.570	0.000	4.329	1.592
20	0.600	0.000	5.625	1.688
21	0.630	0.000	7.199	1.953
22	0.660	0.000	8.370	2.515
23	0.690	0.000	8.688	3.236
24	0.720	0.000	8.052	3.786
25	0.750	0.000	7.012	3.946
26	0.780	0.000	6.142	3.904
27	0.810	0.000	5.641	3.921
28	0.840	0.000	5.640	3.924
29	0.870	0.000	5.718	3.726
30	0.900	0.000	5.289	3.334
31	0.930	0.000	4.554	2.914
32	0.960	4.405	4.168	2.614
33	0.990	4.405	4.102	2.488
34	1.020	8.244	3.427	2.620
35	1.050	7.967	1.993	2.987
36	1.080	6.165	0.874	3.330
37	1.110	5.124	0.418	3.474
38	1.140	5.108	0.359	3.513
39	1.170	5.509	0.645	3.444
40	1.200	5.324	1.370	3.250
41	1.230	4.358	1.858	3.104
42	1.261	3.447	1.516	3.053
43	1.291	3.086	0.908	3.002
44	1.321	3.234	0.411	2.867
45	1.351	3.760	0.111	2.616
46	1.381	4.460	0.016	2.319
47	1.411	4.880	0.001	2.057
48	1.441	4.605	1.124E-5	1.777
49	1.471	4.031	0.000	1.399
50	1.501	3.687	0.000	0.924
51	1.531	3.540	0.000	0.480
52	1.561	0.527	0.000	0.232
53	1.591	0.633	0.000	0.129
54	1.621	0.631	0.000	0.057
55	1.651	0.455	0.000	0.017
56	1.681	0.274	0.000	0.011
57	1.711	0.200	0.000	0.008
58	1.741	0.223	0.000	0.002
59	1.771	0.337	0.000	1.628E-4
60	1.801	0.495	0.000	9.508E-4
61	1.831	0.000	0.000	0.005
62	1.861	0.000	0.000	0.005
63	1.891	0.000	0.000	0.005
64	1.921	0.000	0.000	0.005
65	1.951	0.000	0.000	1.394E-4
66	1.981	0.000	0.000	8.387E-7
67	2.011	0.000	0.000	0.000
68	2.041	0.000	0.000	0.000
