 	x	1	2	3
1	0.030	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000
5	0.150	0.000	0.000	0.007
6	0.180	0.000	0.000	0.165
7	0.210	0.000	0.000	0.208
8	0.240	0.000	0.095	0.069
9	0.270	0.000	0.669	0.036
10	0.300	0.000	0.744	0.065
11	0.330	0.000	0.837	0.115
12	0.360	0.000	0.988	0.086
13	0.390	0.000	1.284	0.062
14	0.420	0.000	1.870	0.085
15	0.450	0.000	2.630	0.148
16	0.480	0.000	3.112	0.174
17	0.510	0.000	3.193	0.129
18	0.540	0.000	3.324	0.086
19	0.570	0.000	3.749	0.068
20	0.600	0.000	4.359	0.138
21	0.630	0.000	5.091	0.498
22	0.660	0.000	5.933	1.297
23	0.690	0.000	6.772	2.134
24	0.720	0.000	7.238	2.657
25	0.750	0.000	7.208	2.914
26	0.780	0.000	6.794	2.958
27	0.810	0.000	6.513	2.992
28	0.840	0.000	6.679	3.388
29	0.870	0.000	6.677	4.098
30	0.900	0.000	5.878	4.525
31	0.930	0.000	4.862	4.398
32	0.960	3.227	4.537	4.113
33	0.990	3.227	4.777	3.893
34	1.020	5.838	4.380	3.657
35	1.050	5.521	2.873	3.612
36	1.080	4.072	1.387	4.075
37	1.110	3.298	0.681	4.772
38	1.140	3.461	0.538	4.993
39	1.170	3.948	0.850	4.788
40	1.200	3.824	1.573	4.714
41	1.230	3.031	1.800	4.738
42	1.261	2.382	1.172	4.548
43	1.291	2.166	0.617	4.023
44	1.321	2.265	0.255	3.380
45	1.351	2.657	0.056	2.929
46	1.381	3.399	0.004	2.946
47	1.411	4.068	8.079E-5	3.551
48	1.441	3.957	1.352E-6	4.542
49	1.471	3.339	0.000	4.859
50	1.501	2.772	0.000	3.513
51	1.531	2.327	0.000	1.603
52	1.561	0.000	0.000	0.555
53	1.591	0.000	0.000	0.210
54	1.621	0.000	0.000	0.089
55	1.651	0.000	0.000	0.035
56	1.681	0.000	0.000	0.025
57	1.711	0.000	0.000	0.046
58	1.741	0.000	0.000	0.036
59	1.771	0.000	0.000	0.007
60	1.801	0.000	0.000	3.218E-4
61	1.831	0.000	0.000	1.777E-6
62	1.861	0.000	0.000	0.000
63	1.891	0.000	0.000	0.000
64	1.921	0.000	0.000	0.000
65	1.951	0.000	0.000	0.000
66	1.981	0.000	0.000	0.000
67	2.011	0.000	0.000	0.000
68	2.041	0.000	0.000	0.000
