 	x	1	2	3
1	0.030	0.000	0.000	0.034
2	0.060	0.000	0.000	0.029
3	0.090	0.000	0.000	0.044
4	0.120	0.000	0.000	0.073
5	0.150	0.000	0.000	0.120
6	0.180	0.000	0.000	0.216
7	0.210	0.000	0.000	0.324
8	0.240	0.000	0.057	0.441
9	0.270	0.000	0.551	0.553
10	0.300	0.000	0.711	0.631
11	0.330	0.000	0.884	0.719
12	0.360	0.000	1.096	0.842
13	0.390	0.000	1.463	1.010
14	0.420	0.000	2.136	1.179
15	0.450	0.000	2.955	1.231
16	0.480	0.000	3.443	1.118
17	0.510	0.000	3.342	0.978
18	0.540	0.000	3.270	0.966
19	0.570	0.000	3.570	1.073
20	0.600	0.000	4.029	1.188
21	0.630	0.000	4.664	1.339
22	0.660	0.000	5.475	1.701
23	0.690	0.000	6.301	2.295
24	0.720	0.000	6.928	2.904
25	0.750	0.000	7.036	3.256
26	0.780	0.000	6.825	3.300
27	0.810	0.000	6.727	3.266
28	0.840	0.000	7.007	3.292
29	0.870	0.000	7.077	3.303
30	0.900	0.000	6.250	3.219
31	0.930	0.000	5.174	3.038
32	0.960	3.227	4.780	2.839
33	0.990	3.227	4.927	2.705
34	1.020	5.838	4.388	2.693
35	1.050	5.521	2.802	2.839
36	1.080	4.072	1.377	3.158
37	1.110	3.298	0.715	3.545
38	1.140	3.461	0.603	3.862
39	1.170	3.948	0.957	4.022
40	1.200	3.824	1.729	3.876
41	1.230	3.031	1.921	3.475
42	1.261	2.382	1.197	3.085
43	1.291	2.166	0.595	2.860
44	1.321	2.265	0.236	2.765
45	1.351	2.657	0.044	2.678
46	1.381	3.399	0.003	2.545
47	1.411	4.068	7.185E-5	2.443
48	1.441	3.957	1.759E-8	2.454
49	1.471	3.339	0.000	2.480
50	1.501	2.772	0.000	2.399
51	1.531	2.327	0.000	2.158
52	1.561	0.000	0.000	1.635
53	1.591	0.000	0.000	0.975
54	1.621	0.000	0.000	0.451
55	1.651	0.000	0.000	0.168
56	1.681	0.000	0.000	0.045
57	1.711	0.000	0.000	0.013
58	1.741	0.000	0.000	0.005
59	1.771	0.000	0.000	7.576E-4
60	1.801	0.000	0.000	2.134E-4
61	1.831	0.000	0.000	0.002
62	1.861	0.000	0.000	0.005
63	1.891	0.000	0.000	0.003
64	1.921	0.000	0.000	5.057E-6
65	1.951	0.000	0.000	0.000
66	1.981	0.000	0.000	0.000
67	2.011	0.000	0.000	0.000
68	2.041	0.000	0.000	0.000
