 	x	1	2	3
1	0.030	0.000	0.000	0.015
2	0.060	0.000	0.000	9.275E-4
3	0.090	0.000	0.000	5.728E-6
4	0.120	0.000	0.000	1.239E-7
5	0.150	0.000	0.000	1.169E-6
6	0.180	0.000	0.000	1.529E-5
7	0.210	0.000	0.000	1.235E-4
8	0.240	0.000	0.089	0.004
9	0.270	0.000	0.727	0.054
10	0.300	0.000	0.794	0.123
11	0.330	0.000	0.757	0.086
12	0.360	0.000	0.908	0.055
13	0.390	0.000	1.724	0.099
14	0.420	0.000	3.691	0.174
15	0.450	0.000	4.918	0.262
16	0.480	0.000	5.069	0.374
17	0.510	0.000	4.920	0.431
18	0.540	0.000	5.101	0.478
19	0.570	0.000	6.413	0.580
20	0.600	0.000	8.813	0.717
21	0.630	0.000	10.331	0.833
22	0.660	0.000	9.758	1.049
23	0.690	0.000	8.171	1.494
24	0.720	0.000	6.588	1.946
25	0.750	0.000	5.222	2.011
26	0.780	0.000	4.234	1.859
27	0.810	0.000	3.697	1.846
28	0.840	0.000	3.623	1.858
29	0.870	0.000	3.660	1.669
30	0.900	0.000	3.405	1.451
31	0.930	0.000	2.954	1.492
32	0.960	5.196	2.657	1.678
33	0.990	5.196	2.571	1.575
34	1.020	9.345	2.154	1.298
35	1.050	8.853	1.256	1.084
36	1.080	7.232	0.548	0.900
37	1.110	6.452	0.232	0.764
38	1.140	6.652	0.155	0.711
39	1.170	7.513	0.329	0.671
40	1.200	8.072	0.842	0.771
41	1.230	7.396	1.300	1.219
42	1.261	5.921	1.182	1.784
43	1.291	4.848	0.767	2.032
44	1.321	4.656	0.373	2.029
45	1.351	5.119	0.123	1.987
46	1.381	5.686	0.042	1.940
47	1.411	5.848	0.035	1.716
48	1.441	5.516	0.018	1.095
49	1.471	5.053	0.003	0.433
50	1.501	4.811	8.900E-5	0.111
51	1.531	4.686	9.791E-7	0.025
52	1.561	1.806	0.000	0.004
53	1.591	1.851	0.000	3.346E-4
54	1.621	1.726	0.000	1.900E-5
55	1.651	1.388	0.000	6.510E-6
56	1.681	1.250	0.000	7.041E-6
57	1.711	1.813	0.000	7.145E-5
58	1.741	3.853	0.000	1.159E-5
59	1.771	7.996	0.000	1.268E-7
60	1.801	11.941	0.000	3.968E-7
61	1.831	11.224	0.000	7.500E-5
62	1.861	7.941	0.000	0.004
63	1.891	4.961	0.000	0.043
64	1.921	2.820	0.000	0.045
65	1.951	2.061	0.000	0.003
66	1.981	1.380	0.000	0.000
67	2.011	0.769	0.000	0.000
68	2.041	0.271	0.000	0.000
