 	x	1	2	3
1	0.030	0.000	0.000	0.072
2	0.060	0.000	0.000	0.164
3	0.090	0.000	0.000	0.310
4	0.120	0.000	0.000	0.378
5	0.150	0.000	0.000	0.417
6	0.180	0.000	0.000	0.513
7	0.210	0.000	0.000	0.748
8	0.240	0.000	0.101	1.136
9	0.270	0.000	0.814	1.610
10	0.300	0.000	0.873	1.971
11	0.330	0.000	0.828	2.037
12	0.360	0.000	0.978	1.917
13	0.390	0.000	1.877	1.850
14	0.420	0.000	3.228	1.835
15	0.450	0.000	4.258	1.728
16	0.480	0.000	4.854	1.531
17	0.510	0.000	5.075	1.408
18	0.540	0.000	5.400	1.447
19	0.570	0.000	6.748	1.539
20	0.600	0.000	9.167	1.560
21	0.630	0.000	11.069	1.607
22	0.660	0.000	10.733	1.874
23	0.690	0.000	9.121	2.382
24	0.720	0.000	7.169	2.838
25	0.750	0.000	5.370	2.924
26	0.780	0.000	4.046	2.702
27	0.810	0.000	3.367	2.455
28	0.840	0.000	3.213	2.295
29	0.870	0.000	3.234	2.156
30	0.900	0.000	3.067	1.973
31	0.930	0.000	2.695	1.776
32	0.960	5.196	2.471	1.675
33	0.990	5.196	2.453	1.758
34	1.020	9.345	2.121	2.115
35	1.050	8.853	1.267	2.609
36	1.080	7.232	0.541	2.927
37	1.110	6.452	0.218	3.052
38	1.140	6.652	0.133	3.059
39	1.170	7.513	0.301	2.889
40	1.200	8.072	0.828	2.628
41	1.230	7.396	1.346	2.505
42	1.261	5.921	1.295	2.518
43	1.291	4.848	0.872	2.524
44	1.321	4.656	0.436	2.419
45	1.351	5.119	0.138	2.161
46	1.381	5.686	0.031	1.785
47	1.411	5.848	0.014	1.386
48	1.441	5.516	0.008	1.057
49	1.471	5.053	7.995E-4	0.887
50	1.501	4.811	7.256E-5	0.800
51	1.531	4.686	1.072E-7	0.610
52	1.561	1.806	0.000	0.367
53	1.591	1.851	0.000	0.206
54	1.621	1.726	0.000	0.112
55	1.651	1.388	0.000	0.060
56	1.681	1.250	0.000	0.030
57	1.711	1.813	0.000	0.008
58	1.741	3.853	0.000	5.106E-4
59	1.771	7.996	0.000	1.868E-5
60	1.801	11.941	0.000	4.693E-4
61	1.831	11.224	0.000	0.005
62	1.861	7.941	0.000	0.006
63	1.891	4.961	0.000	0.005
64	1.921	2.820	0.000	0.005
65	1.951	2.061	0.000	4.896E-4
66	1.981	1.380	0.000	0.002
67	2.011	0.769	0.000	0.004
68	2.041	0.271	0.000	0.000
