 	x	1	2	3	4	5
1	0.030	0.000	0.000	0.000	15.099	0.000
2	0.060	0.000	0.000	0.000	25.353	0.000
3	0.090	0.000	0.000	0.000	33.806	0.000
4	0.120	0.000	0.000	0.000	35.117	0.000
5	0.150	0.000	0.524	0.000	32.055	0.000
6	0.180	0.000	4.181	0.326	30.365	0.000
7	0.210	0.000	8.294	2.280	31.696	0.000
8	0.240	0.000	16.456	6.024	34.054	1.046
9	0.270	0.000	28.000	14.327	33.141	9.605
10	0.300	0.000	35.984	24.692	26.584	14.765
11	0.330	21.728	34.844	29.095	18.383	16.560
12	0.360	21.728	28.121	26.397	14.489	18.093
13	0.390	37.510	22.983	23.981	16.869	19.062
14	0.420	33.028	22.982	25.244	24.054	18.683
15	0.450	21.293	27.828	27.139	30.368	15.879
16	0.480	10.529	34.721	23.553	30.792	11.262
17	0.510	4.232	38.541	14.802	27.893	4.063
18	0.540	0.000	33.414	6.937	26.583	0.056
19	0.570	0.000	20.892	2.803	28.500	0.000
20	0.600	0.000	9.972	0.439	31.905	0.000
21	0.630	0.000	4.499	0.000	31.359	0.000
22	0.660	0.000	1.240	0.000	23.141	0.000
23	0.690	0.000	0.002	0.000	12.464	0.000
24	0.720	0.000	0.000	0.000	5.835	0.000
25	0.750	0.000	0.000	0.000	2.819	0.000
26	0.780	0.000	0.000	0.000	0.342	0.000
