 	x	1	2	3	4	5
1	0.030	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.000	0.000	0.000	0.000
6	0.180	0.000	0.000	0.233	0.000	0.000
7	0.210	0.000	0.129	1.102	0.000	0.000
8	0.240	0.000	1.600	3.186	0.000	0.000
9	0.270	0.000	2.990	7.080	0.000	3.205
10	0.300	0.000	5.357	11.424	0.000	8.951
11	0.330	8.337	9.341	13.569	0.000	14.559
12	0.360	8.337	14.177	14.646	0.000	17.520
13	0.390	10.282	16.346	14.441	0.000	18.445
14	0.420	5.846	10.198	13.242	0.000	16.678
15	0.450	2.830	6.277	10.199	0.016	12.481
16	0.480	1.451	3.220	5.814	2.617	7.794
17	0.510	0.606	1.611	2.564	6.403	3.095
18	0.540	0.000	0.996	0.903	12.518	0.119
19	0.570	0.000	0.024	0.181	23.743	0.000
20	0.600	0.000	0.000	0.000	34.628	0.000
21	0.630	0.000	0.000	0.000	36.238	0.000
22	0.660	0.000	0.000	0.000	30.098	0.000
23	0.690	0.000	0.000	0.000	23.481	0.000
24	0.720	0.000	0.000	0.000	19.673	0.000
25	0.750	0.000	0.000	0.000	18.846	0.000
26	0.780	0.000	0.000	0.000	20.546	0.000
