 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000
18	0.381	0.000	0.000	0.000	0.000	0.000	0.000
19	0.403	0.000	0.000	0.000	0.000	0.000	0.000
20	0.424	0.071	0.000	0.000	0.000	0.000	0.007
21	0.445	0.357	0.000	0.000	0.046	0.000	0.038
22	0.466	0.677	0.000	0.000	0.306	0.000	0.081
23	0.487	1.051	0.000	0.000	0.683	0.000	0.145
24	0.508	1.933	0.000	0.057	1.591	0.199	0.228
25	0.530	3.501	0.000	2.085	3.736	4.138	0.312
26	0.551	7.173	0.063	3.324	6.540	18.536	0.358
27	0.572	15.482	0.584	3.518	12.170	39.982	0.390
28	0.593	32.653	3.503	3.554	22.947	52.375	0.433
29	0.614	62.074	7.902	3.697	39.655	53.565	0.529
30	0.636	96.107	9.749	4.204	59.091	52.376	0.892
31	0.657	116.679	12.000	4.747	73.147	50.227	2.256
32	0.678	111.251	14.964	5.049	74.902	46.588	5.301
33	0.699	85.865	18.752	5.023	65.059	43.631	13.373
34	0.720	57.122	22.700	4.920	49.587	40.865	30.793
35	0.742	35.529	25.733	5.149	34.598	38.155	56.550
