 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000
18	0.381	0.000	0.000	0.000	0.000	0.000	0.000
19	0.403	0.008	0.000	0.000	0.000	0.000	0.000
20	0.424	0.230	0.000	0.000	0.000	0.000	0.000
21	0.445	0.952	0.000	0.000	0.000	0.000	0.000
22	0.466	1.849	0.000	0.000	0.165	0.060	0.006
23	0.487	3.028	0.000	0.000	0.721	0.301	0.022
24	0.508	5.741	0.000	1.320	0.964	0.946	0.052
25	0.530	10.960	0.004	3.310	1.081	3.119	0.095
26	0.551	20.896	0.392	4.360	1.216	5.051	0.136
27	0.572	35.954	0.864	4.937	1.416	7.964	0.183
28	0.593	51.432	1.001	5.611	1.783	11.669	0.229
29	0.614	58.162	0.981	6.216	2.654	15.721	0.275
30	0.636	52.393	1.043	6.590	4.663	20.111	0.501
31	0.657	39.577	1.293	6.988	8.987	24.326	1.590
32	0.678	27.411	1.695	7.322	16.736	29.418	4.291
33	0.699	19.126	2.167	7.797	27.180	35.484	10.555
34	0.720	14.086	2.652	8.903	37.264	42.803	24.505
35	0.742	11.047	3.206	11.007	43.301	50.789	47.734
