 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000	5.744	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000	5.859	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000	5.945	0.000	0.000	0.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000	5.859	0.000	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000	5.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000	4.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000	3.944	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000	3.711	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000	3.782	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000	4.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000	4.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000	4.708	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000	4.820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000	4.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000	4.145	0.000	0.000	3.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.454	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000	3.669	0.000	0.000	7.946	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.632	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000	3.323	0.000	0.000	7.462	0.551	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.527	0.000
18	0.381	0.000	0.000	0.000	0.000	0.023	0.000	3.175	0.000	0.000	5.138	1.126	0.000	0.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.124	0.000
19	0.403	0.000	0.000	0.000	0.000	0.162	0.000	3.300	0.000	0.000	3.152	1.965	0.008	1.830	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.550	0.000
20	0.424	0.000	0.000	0.000	0.000	0.331	8.459E-4	3.748	0.000	0.000	2.338	3.028	0.187	3.486	0.000	0.000	0.000	0.000	0.000	0.578	0.004	0.000	0.000	0.000	3.864	0.000
21	0.445	0.000	0.938	0.000	0.000	0.474	0.207	3.936	0.000	0.000	2.256	4.195	0.523	4.857	0.000	0.000	0.000	0.000	0.000	3.515	0.043	0.000	0.000	0.000	3.290	0.000
22	0.466	4.114	13.905	0.000	0.000	0.637	1.655	1.549	0.533	0.000	2.459	5.209	0.523	5.243	0.000	0.005	0.000	0.000	0.000	3.820	0.122	0.000	0.000	0.000	2.960	0.000
23	0.487	4.894	13.377	0.000	0.000	0.910	4.950	0.424	1.838	0.000	2.584	5.716	0.416	4.817	0.000	1.826	0.000	0.000	0.000	4.077	0.289	0.000	0.000	0.000	2.977	0.000
24	0.508	7.196	8.148	0.000	0.000	1.277	7.231	1.218	1.944	9.186E-4	2.414	5.751	0.293	4.479	0.395	5.326	0.000	0.000	0.000	4.014	0.574	0.000	0.000	0.017	3.234	0.000
25	0.530	7.715	5.422	0.000	0.484	1.663	8.109	1.393	1.932	0.011	2.002	5.745	0.221	4.463	0.990	5.736	0.006	0.000	0.003	4.177	1.283	0.002	2.442E-6	1.309	3.496	0.000
26	0.551	8.883	4.595	0.290	2.623	2.189	7.142	1.340	2.077	0.054	1.617	6.091	0.202	4.641	1.292	5.204	0.077	0.000	0.034	4.691	3.154	0.032	0.007	4.385	3.474	1.070E-4
27	0.572	10.331	5.141	1.449	2.631	3.291	5.253	1.251	2.536	0.157	1.347	6.788	0.228	4.862	1.538	5.038	0.204	0.097	0.080	5.282	7.179	0.137	0.025	6.577	3.129	0.017
28	0.593	11.832	6.848	2.270	2.499	5.772	3.573	1.280	3.458	0.352	1.266	7.642	0.321	5.084	1.827	5.046	0.330	0.541	0.198	5.503	12.841	0.864	0.035	6.094	2.815	0.113
29	0.614	13.390	9.395	3.237	2.659	10.840	2.501	1.396	4.975	0.624	1.318	8.390	0.554	5.049	2.013	4.995	0.349	1.025	0.338	5.090	17.423	9.774	0.024	5.409	2.767	0.179
30	0.636	15.144	11.970	4.148	3.130	19.293	1.986	1.736	6.447	1.073	1.493	8.696	1.053	4.478	1.948	4.705	0.282	1.815	0.368	4.199	17.787	17.025	0.017	4.889	2.895	0.223
31	0.657	17.237	13.590	4.744	3.896	29.929	1.890	2.598	6.243	1.703	1.744	8.318	1.991	3.783	1.746	4.089	0.245	3.245	0.367	3.274	14.724	17.316	0.025	4.512	3.062	0.285
32	0.678	19.802	13.845	4.538	4.641	39.228	2.135	2.953	5.195	2.504	1.960	7.304	3.529	3.335	1.536	3.231	0.274	5.418	0.419	2.687	10.482	14.537	0.052	4.140	3.275	0.421
