 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000	4.860	0.000	0.000	2.878	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.346	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000	4.886	0.000	0.000	2.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.332	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000	4.859	0.000	0.000	2.454	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.336	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000	4.786	0.000	0.000	2.294	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.302	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000	4.526	0.000	0.000	2.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.290	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000	4.144	0.000	0.000	1.788	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.296	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000	3.811	0.000	0.000	1.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.315	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000	3.611	0.000	0.000	1.344	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000	3.576	0.000	0.000	1.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000	3.733	0.000	0.000	1.323	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000	4.094	0.000	0.000	1.358	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.743	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000	4.579	0.000	0.000	1.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000	4.968	0.000	0.000	1.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.048	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000	5.024	0.000	0.000	1.855	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.352	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000	4.713	0.000	0.000	3.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.203	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000	4.298	0.000	0.000	5.014	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.089	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000	3.798	0.000	0.000	4.861	2.163	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.857	0.000
18	0.381	0.754	0.000	0.000	0.000	0.017	0.000	3.700	0.000	0.000	3.615	3.144	0.000	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.255	0.000
19	0.403	1.219	0.000	0.000	0.000	0.134	0.000	3.555	0.000	0.000	2.506	3.151	0.003	1.337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.401	0.000
20	0.424	1.604	0.000	0.000	0.000	0.218	0.006	3.422	0.000	0.000	1.938	3.102	0.084	2.911	0.000	0.000	0.000	0.000	0.000	0.421	0.003	0.000	0.000	0.000	4.536	9.208E-9
21	0.445	1.960	0.570	0.000	0.000	0.301	0.153	3.303	0.000	9.465E-4	1.794	3.114	0.254	3.964	0.000	0.000	0.000	0.000	0.000	2.670	0.031	1.644E-7	0.000	0.000	4.527	4.331E-8
