 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.203	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.688	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.385	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.849	0.000
5	0.106	10.221	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.907	0.405	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	57.485	0.000
6	0.127	18.742	0.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.107	1.900	13.145	3.706	0.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	68.465	0.643
7	0.148	31.519	11.144	2.886	0.000	0.000	0.378	0.000	0.000	0.000	3.560	7.128	19.888	9.431	4.958	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	66.393	4.892
8	0.169	46.139	21.959	10.865	0.000	0.000	13.557	0.131	0.000	0.000	10.383	13.304	29.373	14.156	10.261	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.000	0.000	0.000	0.000	0.000	56.957	11.112
9	0.191	58.013	38.369	20.179	0.000	0.000	23.764	3.206	0.000	0.000	19.256	19.478	41.245	23.458	19.818	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.169	5.416	0.000	1.175	0.000	0.000	0.000	47.224	21.645
10	0.212	63.106	58.055	29.057	0.000	0.000	31.272	10.207	0.000	0.293	34.526	28.183	54.342	39.832	36.308	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	8.293	11.036	0.000	6.772	0.000	10.368	0.000	40.338	39.077
11	0.233	60.523	72.086	39.103	0.000	0.000	36.082	19.463	0.000	5.969	54.725	40.511	67.117	62.441	57.928	0.004	0.958	0.000	0.000	0.000	0.000	0.000	0.103	14.879	22.091	0.000	14.980	0.000	19.721	0.000	37.584	59.886
12	0.254	53.168	73.127	48.231	0.000	0.000	36.971	31.962	0.000	11.784	72.430	56.026	77.620	85.931	77.940	3.599	5.369	0.000	0.236	0.000	0.000	0.000	5.256	26.490	40.987	0.000	28.661	0.000	31.379	0.149	38.587	76.452
13	0.275	45.554	63.835	54.063	0.000	2.076	34.842	42.991	1.956	20.861	80.037	73.231	84.008	103.297	87.804	11.507	10.550	0.000	4.311	0.961	0.013	0.000	12.810	44.453	63.180	0.000	46.863	0.260	41.648	6.581	43.732	82.275
14	0.297	40.591	52.333	56.279	0.844	8.451	31.530	48.277	10.987	36.304	75.931	89.347	87.165	111.415	85.665	21.044	20.215	4.070	18.967	7.294	3.939	2.969	19.432	64.070	79.714	6.328	60.861	12.445	47.142	15.970	53.391	77.689
15	0.318	38.508	43.638	56.710	10.412	16.686	28.842	48.139	20.012	57.068	66.650	100.270	88.757	111.570	76.028	34.230	36.205	18.329	24.096	15.567	11.300	15.291	27.265	77.952	84.757	19.753	64.810	22.168	47.388	24.456	67.086	68.311
16	0.339	37.741	38.210	57.353	19.721	30.520	27.728	45.717	31.888	76.516	58.404	104.597	89.986	107.383	65.383	48.623	55.052	26.816	28.436	28.016	21.776	23.884	36.505	81.772	80.621	29.665	60.204	31.902	45.100	35.535	84.087	59.985
17	0.360	36.442	34.557	58.713	30.193	47.163	27.730	43.466	44.006	86.561	54.330	100.400	91.469	102.457	57.756	58.462	66.253	32.281	33.032	44.299	37.623	33.276	44.800	77.053	73.184	37.951	54.838	41.241	43.957	45.993	103.152	55.701
18	0.381	33.952	31.427	60.197	38.657	57.964	24.641	42.508	52.604	84.536	54.596	89.855	92.925	99.313	55.495	58.047	60.739	35.309	37.190	58.973	55.130	41.123	49.009	70.541	69.214	40.816	52.993	46.092	46.563	50.532	121.447	55.859
19	0.403	31.088	28.756	59.668	40.209	55.919	6.027	43.141	55.374	75.122	59.023	75.105	92.717	97.972	59.661	46.238	42.983	35.272	40.763	63.032	65.549	44.240	48.662	65.258	70.520	37.050	55.348	43.912	53.790	45.367	132.421	59.658
20	0.424	29.127	27.438	55.074	33.809	42.918	0.320	44.936	51.731	62.355	66.239	60.847	88.323	96.872	70.119	29.467	25.065	32.680	43.489	53.147	64.319	40.980	44.662	60.205	76.098	28.987	60.541	35.605	64.188	34.181	129.772	66.550
21	0.445	29.014	28.372	45.734	23.348	27.811	1.063	46.709	42.739	48.707	73.581	48.583	76.798	92.902	85.384	15.440	13.826	28.558	44.659	35.992	51.094	32.060	38.872	52.553	81.694	20.204	64.275	24.894	72.973	22.667	113.781	75.144
