 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	1.021	3.281	7.287	0.048	0.000	6.093	2.357	3.235	0.158	0.000	0.000	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	1.281	3.110	7.026	0.096	0.000	6.471	3.071	2.529	0.154	0.000	0.007	0.425	0.000	0.000	0.000	0.000	0.000	5.012E-4	0.000	0.000	0.000
3	0.089	1.556	2.898	6.940	0.102	0.000	5.990	3.571	2.288	0.224	0.000	0.135	0.634	0.000	0.000	0.000	0.000	0.009	0.005	0.000	0.000	0.000
4	0.119	1.712	2.816	7.134	0.081	0.000	5.023	3.706	2.968	0.271	0.000	0.195	0.986	0.000	0.000	0.000	4.491E-4	0.265	0.091	0.000	0.017	0.000
5	0.149	1.798	2.840	7.573	0.076	0.000	4.280	3.619	4.383	0.170	0.000	0.183	1.502	0.000	0.000	0.000	0.026	0.644	0.203	0.000	0.181	0.000
6	0.179	1.869	2.956	7.513	0.095	0.000	4.117	4.078	5.656	0.084	0.000	0.136	2.094	0.000	0.000	0.000	0.138	1.017	0.221	0.000	0.195	0.000
7	0.209	1.796	3.208	6.452	0.119	0.000	4.577	5.254	6.195	0.126	0.000	0.091	3.126	0.000	0.000	0.000	0.479	1.196	0.145	0.013	0.265	0.000
8	0.239	1.598	3.559	5.247	0.155	0.000	4.856	6.196	6.518	0.321	0.000	0.062	4.419	0.000	0.056	0.000	1.021	1.200	0.080	0.128	0.491	0.000
9	0.268	1.481	3.922	4.762	0.495	0.000	4.814	6.996	6.840	0.560	0.000	0.045	5.206	0.000	0.983	0.000	1.682	1.065	0.051	0.212	0.761	0.000
10	0.298	1.406	4.282	5.116	1.634	0.000	4.634	7.939	6.940	0.552	0.000	0.067	5.803	0.000	2.093	0.000	1.820	0.983	0.068	0.133	0.866	0.000
11	0.328	1.161	4.745	5.963	2.574	0.000	4.290	8.687	6.630	0.480	0.000	0.134	6.185	0.000	2.435	0.000	1.577	1.093	0.085	0.086	0.867	0.000
12	0.358	0.853	5.400	6.800	3.132	0.000	4.000	9.010	6.420	0.656	0.000	0.230	6.393	0.000	2.419	0.000	1.491	1.358	0.070	0.131	1.116	0.000
13	0.388	0.707	6.223	7.161	3.609	0.000	4.004	9.128	6.925	1.337	0.000	0.329	6.601	0.000	2.542	0.000	1.839	1.623	0.059	0.204	1.783	0.000
14	0.417	0.760	7.163	6.724	3.712	0.000	4.346	9.056	8.253	1.804	0.000	0.498	7.174	0.000	2.806	0.000	2.651	1.778	0.054	0.313	2.491	0.000
15	0.447	0.572	8.121	5.785	3.624	0.000	4.743	8.929	9.814	1.529	0.048	0.957	8.121	0.000	2.977	0.145	3.684	1.887	0.044	0.583	2.657	0.000
16	0.477	0.905	8.937	5.050	3.503	0.000	4.833	9.031	10.779	0.996	0.827	2.188	9.297	0.000	3.206	0.815	4.746	2.071	0.052	1.207	2.324	0.000
17	0.507	5.115	9.375	4.851	3.600	0.000	4.845	8.988	10.753	2.566	1.262	4.822	10.544	0.000	3.816	1.200	5.276	2.336	0.081	1.947	2.017	1.580
18	0.537	5.415	9.398	5.218	4.230	0.000	5.068	8.104	9.963	4.099	1.524	8.110	11.578	0.000	4.437	1.328	5.132	2.722	0.168	2.193	2.027	1.438
19	0.567	5.450	9.098	5.820	5.538	0.000	5.536	6.850	9.378	4.364	1.865	9.419	11.475	0.000	5.055	1.974	4.799	3.314	0.406	2.016	2.463	1.330
20	0.596	4.868	8.585	6.024	7.560	0.000	5.828	6.145	9.468	4.406	1.856	8.209	10.423	1.202E-8	5.750	3.205	4.628	3.984	0.796	1.941	3.329	1.223
21	0.626	3.964	7.958	5.838	9.763	0.000	5.754	6.058	10.063	3.891	1.508	6.404	9.456	1.158E-5	6.119	4.723	4.565	4.550	1.291	2.072	4.133	1.154
22	0.656	3.480	7.342	5.769	11.004	0.000	5.457	6.282	10.122	3.171	1.180	5.287	9.016	4.372E-4	6.010	6.109	4.284	4.846	1.808	2.233	4.347	1.156
23	0.686	3.384	6.810	5.863	11.016	0.000	5.258	6.465	9.189	2.761	1.002	5.583	8.663	0.005	5.263	7.059	3.978	5.041	2.349	2.526	4.132	1.276
24	0.716	3.431	6.419	5.738	10.701	0.000	5.381	6.219	7.740	2.453	0.976	6.920	8.017	0.024	4.401	7.384	3.928	5.356	2.847	3.141	3.927	1.423
25	0.745	3.588	6.187	5.350	10.748	0.000	5.819	5.729	6.371	2.168	1.193	8.426	7.353	0.063	4.197	7.192	4.236	5.812	3.311	3.908	4.061	1.362
26	0.775	3.807	6.170	4.888	11.118	1.814	6.285	5.547	5.263	2.329	1.853	9.521	7.120	0.140	4.327	6.561	4.487	6.111	3.812	4.649	4.576	1.180
27	0.805	3.940	6.272	4.182	11.336	3.060	6.564	5.926	4.557	3.051	2.821	9.488	7.093	0.287	4.314	5.587	4.825	6.165	4.007	5.471	5.132	1.341
28	0.835	3.794	6.497	3.266	11.099	4.038	6.671	6.722	4.247	4.515	3.079	8.455	6.773	0.565	4.138	4.878	5.455	6.088	3.710	6.323	5.317	2.123
29	0.865	3.526	6.810	2.563	10.517	5.130	6.638	7.669	4.208	6.483	2.379	7.246	6.062	1.066	4.278	4.986	6.465	5.864	3.280	6.896	4.738	2.970
30	0.895	3.477	7.057	2.422	9.975	6.910	6.496	8.637	4.335	7.792	1.857	6.415	5.425	1.689	4.804	5.958	7.475	5.468	2.937	7.068	3.676	2.964
31	0.924	3.803	7.087	2.936	9.779	7.329	6.270	9.596	4.496	7.465	1.994	6.046	5.008	2.095	5.364	7.353	8.150	5.192	2.737	6.935	2.810	2.410
32	0.954	4.345	6.957	3.806	9.599	7.079	6.233	10.426	4.458	6.231	2.507	5.875	4.690	2.189	5.488	8.428	8.662	5.156	2.746	6.600	2.521	1.958
33	0.984	4.859	6.803	4.184	8.913	7.182	6.471	10.672	4.174	5.380	2.890	5.680	4.372	2.220	5.084	8.848	9.369	5.379	2.987	6.076	2.628	1.835
34	1.014	5.877	6.689	3.705	8.092	7.638	6.685	9.929	3.827	5.531	3.247	5.703	4.162	2.356	4.444	9.245	10.237	5.617	3.308	5.335	2.763	1.905
35	1.044	8.312	6.492	3.354	7.807	7.443	6.474	8.778	3.566	6.738	3.700	6.370	4.043	2.781	4.058	10.655	10.915	5.557	3.446	4.336	2.777	1.827
36	1.073	10.772	6.167	4.237	8.021	6.580	5.942	8.076	3.386	8.021	3.579	7.484	3.966	3.381	4.054	12.388	10.951	5.321	3.351	3.392	2.615	1.524
