 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	0.000	0.000	6.753	0.198	0.000	0.000	1.949	6.533	0.213	0.000	0.000	5.673	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.000	0.000
2	0.060	0.000	0.005	8.266	0.235	0.000	0.000	1.886	4.995	0.139	0.000	0.000	5.423	0.000	0.000	0.000	0.000	0.000	0.844	0.000	0.000	0.000
3	0.089	0.000	0.314	9.480	0.217	0.000	0.000	1.980	3.764	0.171	0.000	0.000	5.118	0.000	0.009	0.000	0.000	0.000	1.673	0.000	0.000	0.000
4	0.119	0.000	0.959	10.077	0.179	0.000	0.780	2.074	3.527	0.245	0.000	0.008	4.958	0.000	0.085	0.000	0.000	0.000	2.600	0.000	0.000	0.000
5	0.149	0.000	1.947	10.167	0.246	0.000	3.499	2.162	4.356	0.276	0.000	0.329	4.880	0.000	0.309	0.000	0.000	0.000	3.079	0.000	0.000	0.000
6	0.179	0.000	2.933	9.549	0.514	0.000	6.439	3.179	5.846	0.238	0.000	0.897	4.855	0.000	0.949	0.000	0.000	0.000	3.174	0.000	0.041	0.000
7	0.209	0.000	3.916	8.091	0.841	0.000	10.128	2.935	7.222	0.191	0.000	1.252	4.838	0.000	2.173	0.000	0.287	0.000	3.045	0.000	0.060	0.000
8	0.239	0.000	4.368	6.440	1.048	0.000	14.063	2.888	8.341	0.224	0.000	1.815	4.803	0.000	5.154	0.000	1.088	0.000	2.943	0.000	0.136	0.000
9	0.268	0.000	4.404	5.497	1.303	0.000	14.927	3.221	9.653	0.379	0.000	2.141	4.848	0.000	9.092	0.000	1.449	0.000	2.875	0.000	0.478	0.000
10	0.298	0.000	4.014	5.573	1.788	0.000	14.353	3.831	11.648	0.548	0.000	2.254	5.353	0.000	10.656	0.000	1.966	0.000	2.985	0.068	1.098	0.000
11	0.328	0.000	3.222	6.431	2.608	0.000	12.989	4.583	13.239	0.793	0.000	2.130	6.298	0.000	10.123	0.000	3.127	1.741E-4	3.168	0.389	1.668	0.000
12	0.358	0.000	2.541	7.554	3.334	0.000	11.866	5.261	13.170	1.374	0.000	2.080	7.479	0.000	8.811	0.000	5.389	0.011	3.160	0.508	1.737	0.000
13	0.388	0.000	2.339	8.610	3.313	0.000	10.499	6.178	12.117	2.531	0.000	2.368	8.592	0.000	7.802	0.000	9.409	0.118	2.730	0.668	1.218	0.000
14	0.417	0.000	2.645	9.639	2.991	0.000	9.076	8.214	11.930	3.963	0.000	2.963	9.722	0.000	6.886	0.000	14.110	0.205	1.930	0.969	0.672	0.000
15	0.447	0.000	3.494	10.688	3.059	0.000	8.099	12.414	13.267	4.588	0.000	3.269	10.721	0.000	5.620	0.108	16.704	0.172	1.376	1.343	0.450	0.000
16	0.477	0.083	4.958	11.415	3.600	0.000	7.999	18.647	14.987	3.910	0.084	2.891	11.159	0.000	4.559	0.557	15.775	0.207	1.177	1.811	0.564	0.000
17	0.507	5.374	6.593	11.377	4.107	0.000	8.493	24.575	14.786	3.540	1.248	2.387	10.393	2.801E-8	4.133	1.342	12.167	0.508	1.116	2.711	0.935	2.112
18	0.537	6.714	7.617	10.886	3.870	0.000	9.429	26.412	12.125	3.865	1.987	2.002	8.934	3.456E-5	4.149	3.659	8.599	1.370	0.925	3.719	1.279	1.669
