 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	0.097	0.000	0.000	2.479E-5	3.896	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.014	0.000	0.000	0.001	3.598	0.099	0.000	0.034	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.000	0.000	0.000	0.000	0.008	3.261	0.193	0.000	0.404	0.000	0.000	0.000	0.000	0.000
4	0.119	0.000	0.000	0.000	0.000	0.000	0.025	2.905	0.160	0.000	0.729	0.000	0.000	0.000	0.000	0.000
5	0.149	0.000	0.000	0.000	0.000	0.000	0.079	2.576	0.124	0.000	1.175	0.000	0.000	0.000	0.000	0.000
6	0.179	0.000	4.386E-6	0.000	0.000	0.000	0.234	2.526	0.185	0.000	1.513	9.211E-4	0.000	0.000	0.000	0.000
7	0.209	0.000	8.043E-5	0.000	0.000	3.182E-4	0.611	2.973	0.345	0.000	1.616	0.007	0.000	0.000	0.000	0.000
8	0.239	0.000	7.854E-5	0.000	0.000	0.045	1.231	4.038	0.559	0.000	1.723	0.018	0.075	0.000	0.000	0.000
9	0.268	0.000	8.600E-6	0.000	0.000	0.227	1.946	5.394	0.676	0.000	1.353	0.074	2.120	2.630E-5	0.008	0.000
10	0.298	0.000	3.306E-6	0.000	0.000	0.520	2.404	6.203	0.761	0.376	0.509	0.384	3.146	0.003	0.087	0.000
11	0.328	0.000	0.000	0.036	0.000	0.617	2.122	5.949	1.093	1.095	0.116	1.340	2.476	7.599E-4	0.189	0.000
12	0.358	0.000	2.861E-7	0.112	0.000	0.492	1.520	5.216	1.796	1.823	0.071	2.535	1.784	4.416E-6	0.226	0.000
13	0.388	0.000	1.447E-4	0.267	0.000	0.332	1.307	4.443	2.927	2.617	0.070	2.935	1.470	0.000	0.230	0.000
14	0.417	6.647E-8	0.004	0.610	3.196E-7	0.289	1.685	3.803	3.835	3.356	0.055	2.440	1.334	0.000	0.224	0.000
15	0.447	2.393E-5	0.021	1.316	7.304E-5	0.412	2.495	3.355	4.038	3.652	0.019	1.822	1.151	0.000	0.261	0.000
16	0.477	0.001	0.036	2.361	0.005	0.758	2.900	2.959	3.909	3.599	0.002	1.367	1.027	9.653E-6	0.367	0.113
17	0.507	0.009	0.036	3.500	0.033	1.146	2.718	2.489	3.925	3.418	1.791E-5	1.073	1.126	0.001	0.642	2.097
18	0.537	0.034	0.075	4.102	0.044	1.279	2.438	1.985	4.139	3.100	4.502E-8	0.920	1.512	0.021	1.476	2.871
19	0.567	0.061	0.352	4.089	0.011	1.316	2.438	1.565	4.279	2.716	1.738E-6	0.872	2.092	0.046	3.045	3.375
20	0.596	0.090	1.279	3.912	4.580E-4	1.453	2.646	1.286	4.170	2.315	4.186E-4	0.916	2.797	0.071	4.219	3.752
21	0.626	0.170	2.739	4.177	4.077E-5	1.777	2.987	1.167	4.097	1.971	0.008	1.110	3.682	0.167	3.840	3.875
22	0.656	0.427	3.385	5.020	0.002	2.387	3.434	1.189	4.138	1.722	0.035	1.527	4.547	0.227	2.781	3.585
23	0.686	1.036	2.867	5.585	0.026	3.158	3.486	1.478	4.096	1.702	0.045	1.946	4.743	0.184	2.070	3.152
