 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	0.282	0.000	0.000	3.099E-5	3.778	0.172	0.000	0.000	0.000	0.004	0.000	0.000	0.000
2	0.060	0.000	0.000	0.145	0.000	0.000	0.002	3.744	0.225	0.000	0.010	0.000	0.008	0.000	0.000	0.000
3	0.089	0.000	0.000	0.064	0.000	0.000	0.010	3.690	0.348	0.000	0.144	0.000	0.014	0.000	0.000	0.000
4	0.119	0.000	0.000	0.013	0.000	0.000	0.031	3.613	0.552	0.000	0.279	0.000	0.016	0.000	0.000	0.000
5	0.149	0.000	1.084E-5	0.001	0.000	0.000	0.085	3.507	0.905	0.000	0.399	0.000	0.018	0.000	0.000	0.000
6	0.179	0.000	7.953E-4	1.778E-4	0.000	0.000	0.231	3.476	1.446	0.014	0.507	7.686E-4	0.029	0.000	0.000	0.000
7	0.209	0.000	0.011	0.000	0.000	9.943E-5	0.576	3.829	1.947	0.359	0.666	0.005	0.121	0.000	0.001	0.000
8	0.239	0.000	0.024	0.000	0.000	0.028	1.256	4.699	2.152	0.732	0.789	0.012	0.396	0.000	0.078	0.000
9	0.268	0.000	0.010	0.000	0.000	0.210	2.189	5.722	2.071	0.678	0.686	0.050	1.089	3.557E-6	0.116	0.000
10	0.298	0.000	5.274E-4	0.059	0.000	0.557	2.808	6.110	2.031	0.922	0.495	0.262	1.906	4.279E-4	0.145	0.000
11	0.328	0.000	7.670E-6	0.123	0.000	0.856	2.444	5.608	2.116	1.460	0.464	0.945	2.224	3.388E-4	0.185	0.000
12	0.358	4.738E-7	9.710E-5	0.183	0.000	0.879	1.636	4.812	2.284	1.642	0.382	1.836	2.276	0.005	0.257	0.000
13	0.388	1.427E-5	0.002	0.330	0.000	0.861	1.336	4.111	2.584	1.663	0.197	2.139	2.189	0.019	0.527	0.000
14	0.417	1.643E-4	0.018	0.676	8.877E-8	0.822	1.711	3.636	2.835	1.546	0.094	1.898	2.183	0.017	0.827	0.000
15	0.447	7.327E-4	0.045	1.333	2.180E-5	0.786	2.555	3.402	2.931	1.432	0.133	1.626	2.202	0.010	1.007	0.000
16	0.477	8.607E-4	0.038	2.457	0.001	0.830	3.003	3.139	3.024	1.447	0.282	1.459	2.157	0.004	1.115	0.060
17	0.507	0.005	0.031	3.539	0.010	0.973	2.847	2.631	3.236	1.601	0.430	1.236	2.070	0.001	1.242	2.395
18	0.537	0.025	0.093	4.084	0.013	1.142	2.534	2.062	3.557	1.693	0.364	1.053	1.913	0.008	1.436	3.039
19	0.567	0.073	0.388	4.122	0.005	1.345	2.474	1.658	3.881	1.635	0.214	0.997	1.685	0.017	1.929	3.508
20	0.596	0.172	1.327	3.962	0.003	1.534	2.587	1.399	4.097	1.490	0.133	1.040	1.500	0.020	2.480	4.128
21	0.626	0.409	2.755	4.151	0.002	1.668	2.878	1.230	4.220	1.365	0.132	1.172	1.425	0.039	2.599	4.521
22	0.656	0.980	3.428	4.862	0.003	1.814	3.330	1.189	4.137	1.289	0.153	1.465	1.469	0.069	2.426	4.183
23	0.686	2.002	2.865	5.370	0.028	2.047	3.403	1.430	3.763	1.322	0.161	1.796	1.628	0.083	2.265	3.400
24	0.716	3.040	2.123	4.791	0.210	2.334	2.702	1.946	3.240	1.512	0.174	1.922	1.878	0.122	2.144	3.114
25	0.745	3.435	1.804	3.246	0.829	2.578	1.814	2.387	2.968	1.888	0.238	1.872	2.186	0.253	2.085	3.464
26	0.775	3.452	1.804	1.764	1.770	2.802	1.319	2.457	3.287	2.387	0.414	1.829	2.485	0.637	2.219	3.950
27	0.805	3.559	2.110	0.835	2.313	3.038	1.233	2.503	4.117	2.926	0.712	1.983	2.749	1.543	2.654	4.550
28	0.835	3.864	2.715	0.397	2.398	3.158	1.564	2.842	4.939	3.199	1.066	2.326	2.996	2.718	3.193	5.325
29	0.865	4.148	3.238	0.187	2.401	3.105	2.202	3.440	5.223	3.067	1.432	2.614	3.258	3.639	3.450	5.725
30	0.895	4.055	3.337	0.068	2.412	3.110	3.124	3.968	5.215	2.770	1.894	2.744	3.495	4.348	3.271	5.321
31	0.924	3.671	3.178	0.020	2.432	3.396	3.816	4.100	5.229	2.598	2.423	2.985	3.649	4.787	3.039	4.581
32	0.954	3.426	2.868	0.014	2.557	3.907	3.527	3.973	4.884	2.565	2.878	3.522	3.686	4.824	3.027	4.160
33	0.984	3.496	2.452	0.022	2.831	4.202	2.584	3.850	4.014	2.535	3.168	3.958	3.620	4.564	3.151	4.501
34	1.014	3.676	2.191	0.034	3.180	3.989	1.746	3.837	3.223	2.340	3.470	3.857	3.532	4.248	3.334	5.323
