 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	18.568	0.073	179.081	0.053	0.386	0.176	0.149	17
2	22.225	1.748	151.326	2.480	3.882	0.813	2.219	20
3	20.390	0.113	179.374	0.079	0.365	0.276	0.906	19
4	26.902	0.451	95.594	0.370	0.965	0.488	2.523	28
5	29.314	0.130	10.571	0.170	0.706	0.306	0.484	29
6	29.601	0.945	25.023	0.741	1.414	0.667	0.732	30
7	19.560	1.186	77.362	0.471	1.114	0.539	0.755	18
8	27.043	1.750	67.682	0.696	1.872	0.473	2.523	28
9	20.495	1.059	154.330	0.009	0.158	0.072	0.906	19
10	18.486	1.737	99.338	0.029	0.209	0.179	0.000	0
11	26.086	2.627	47.763	0.366	0.857	0.544	0.342	27
12	16.507	3.124	72.326	0.245	0.740	0.422	0.348	15
13	23.546	4.088	65.577	0.617	1.168	0.673	0.737	21
14	7.701	4.152	127.450	0.253	0.883	0.365	0.481	3
15	8.649	4.657	129.820	0.234	0.654	0.455	0.169	6
16	24.888	4.863	26.064	0.114	0.409	0.354	0.000	0
17	23.557	5.140	151.159	0.175	0.741	0.301	0.360	22
18	23.137	5.258	109.680	0.014	0.188	0.096	0.360	22
19	14.759	5.875	53.784	0.362	1.060	0.435	0.655	14
20	13.277	7.591	75.853	0.368	0.940	0.499	0.581	10
21	14.252	7.253	56.990	0.027	0.239	0.142	0.072	12
22	24.908	7.751	115.291	0.531	1.285	0.526	0.732	23
23	10.736	7.886	20.837	0.672	1.808	0.474	2.625	7
24	13.896	7.826	67.034	0.116	0.419	0.351	0.072	12
25	26.891	9.162	153.080	1.065	2.193	0.618	2.162	26
26	25.481	8.893	127.326	0.221	0.990	0.285	0.625	25
27	9.788	8.721	20.735	0.249	0.997	0.318	2.625	7
28	13.707	9.039	131.702	0.217	0.563	0.491	0.084	11
29	12.261	12.032	64.528	0.446	1.546	0.368	1.284	9
30	29.829	11.658	154.241	0.649	1.224	0.675	0.683	31
31	10.991	13.780	46.535	0.116	0.437	0.339	0.084	8
32	8.660	19.647	70.174	2.105	6.588	0.407	6.853	4
33	7.921	20.219	74.554	0.469	2.122	0.281	1.736	5
34	6.206	26.331	67.935	0.489	1.751	0.356	1.361	2
35	5.532	28.661	0.000	0.015	0.142	0.136	0.000	0
36	4.967	30.463	4.694	0.027	0.218	0.155	0.060	1
