 	X	Y	Angle	Area	LenEll	WidEll	LenSke
1	18.568	0.073	179.081	0.053	0.386	0.176	0.149
2	22.225	1.748	151.326	2.480	3.882	0.813	2.219
3	20.390	0.113	179.374	0.079	0.365	0.276	0.906
4	26.902	0.451	95.594	0.370	0.965	0.488	2.523
5	29.314	0.130	10.571	0.170	0.706	0.306	0.484
6	29.601	0.945	25.023	0.741	1.414	0.667	0.732
7	19.560	1.186	77.362	0.471	1.114	0.539	0.755
8	27.043	1.750	67.682	0.696	1.872	0.473	2.523
9	20.495	1.059	154.330	0.009	0.158	0.072	0.906
10	18.486	1.737	99.338	0.029	0.209	0.179	0.000
11	26.086	2.627	47.763	0.366	0.857	0.544	0.342
12	23.546	4.088	65.577	0.617	1.168	0.673	0.737
13	7.701	4.152	127.450	0.253	0.883	0.365	0.481
14	23.557	5.140	151.159	0.175	0.741	0.301	0.360
15	23.137	5.258	109.680	0.014	0.188	0.096	0.360
16	24.908	7.751	115.291	0.531	1.285	0.526	0.732
17	10.736	7.886	20.837	0.672	1.808	0.474	2.625
18	26.891	9.162	153.080	1.065	2.193	0.618	2.162
19	25.481	8.893	127.326	0.221	0.990	0.285	0.625
20	13.707	9.039	131.702	0.217	0.563	0.491	0.084
21	5.532	28.661	0.000	0.015	0.142	0.136	0.000
