 	x	1	2
1	0.030	0.000	0.000
2	0.060	0.000	0.000
3	0.090	0.000	0.000
4	0.120	0.000	0.000
5	0.150	0.000	0.000
6	0.180	0.000	0.000
7	0.210	0.000	0.000
8	0.240	0.000	0.000
9	0.270	0.011	0.000
10	0.300	2.166	0.000
11	0.330	8.225	0.000
12	0.360	17.014	0.000
13	0.390	29.879	6.960E-4
14	0.420	40.428	0.008
15	0.450	41.468	0.021
16	0.480	33.901	0.013
17	0.510	24.694	0.001
18	0.540	17.177	3.495E-4
19	0.570	12.238	0.002
20	0.600	9.252	0.021
21	0.630	7.461	0.101
22	0.660	6.381	0.162
23	0.690	5.941	0.136
24	0.720	6.031	0.130
25	0.750	6.555	0.274
26	0.780	7.193	0.785
27	0.810	7.438	2.011
28	0.840	7.247	3.962
29	0.870	7.115	5.740
30	0.900	7.596	6.166
31	0.930	8.704	5.691
32	0.960	9.870	4.898
33	0.990	10.025	3.921
34	1.020	8.552	3.033
35	1.050	6.328	2.460
36	1.080	4.544	2.323
37	1.110	3.705	2.550
38	1.140	3.741	3.095
39	1.170	3.982	4.444
40	1.200	3.615	8.704
41	1.230	2.621	19.405
42	1.261	1.615	34.372
43	1.291	0.887	38.063
44	1.321	0.460	28.684
45	1.351	0.316	20.205
46	1.381	0.328	19.812
47	1.411	0.395	25.649
48	1.441	0.463	32.591
49	1.471	0.392	33.564
50	1.501	0.243	26.508
51	1.531	0.134	15.298
52	1.561	0.075	5.164
53	1.591	0.049	1.337
54	1.621	0.029	0.413
55	1.651	0.014	0.162
56	1.681	0.023	0.046
57	1.711	0.081	0.000
58	1.741	0.014	0.000
59	1.771	0.000	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
