 	x	1	2
1	0.030	0.267	0.000
2	0.060	0.336	0.000
3	0.090	0.328	0.000
4	0.120	0.272	0.000
5	0.150	0.296	0.000
6	0.180	0.509	0.000
7	0.210	0.983	0.000
8	0.240	1.626	0.000
9	0.270	2.107	0.000
10	0.300	2.822	0.000
11	0.330	5.028	0.000
12	0.360	7.763	0.000
13	0.390	11.556	0.000
14	0.420	14.848	1.344E-5
15	0.450	15.938	2.441E-6
16	0.480	15.138	6.706E-6
17	0.510	13.752	1.003E-9
18	0.540	11.766	4.733E-5
19	0.570	9.537	0.003
20	0.600	7.753	0.045
21	0.630	6.740	0.192
22	0.660	6.341	0.320
23	0.690	6.242	0.254
24	0.720	6.269	0.184
25	0.750	6.536	0.291
26	0.780	7.112	0.886
27	0.810	7.647	2.588
28	0.840	7.835	5.333
29	0.870	7.947	7.201
30	0.900	8.230	6.950
31	0.930	8.545	5.447
32	0.960	8.783	4.094
33	0.990	8.759	3.260
34	1.020	8.037	2.785
35	1.050	6.706	2.669
36	1.080	5.404	2.822
37	1.110	4.421	3.219
38	1.140	4.099	3.836
39	1.170	3.885	5.490
40	1.200	3.364	11.339
41	1.230	2.526	26.361
42	1.261	1.709	45.638
43	1.291	1.167	48.492
44	1.321	0.839	33.183
45	1.351	0.727	21.737
46	1.381	0.759	20.838
47	1.411	0.801	27.808
48	1.441	0.739	35.918
49	1.471	0.579	36.538
50	1.501	0.389	26.934
51	1.531	0.226	14.713
52	1.561	0.121	6.404
53	1.591	0.071	2.145
54	1.621	0.072	0.426
55	1.651	0.085	0.046
56	1.681	0.085	0.000
57	1.711	0.076	0.000
58	1.741	0.013	0.000
59	1.771	0.000	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
