 	x	1	2
1	0.030	0.000	0.000
2	0.060	0.000	0.000
3	0.090	0.000	0.000
4	0.120	0.000	0.000
5	0.150	0.000	0.000
6	0.180	0.000	0.000
7	0.210	0.000	0.000
8	0.240	0.000	0.000
9	0.270	0.000	0.000
10	0.300	0.251	0.000
11	0.330	1.351	0.000
12	0.360	1.857	1.145E-4
13	0.390	2.314	0.003
14	0.420	2.950	0.032
15	0.450	3.681	0.044
16	0.480	4.405	0.017
17	0.510	5.167	0.010
18	0.540	5.491	0.018
19	0.570	5.152	0.014
20	0.600	4.765	0.051
21	0.630	5.068	0.137
22	0.660	5.993	0.157
23	0.690	6.699	0.129
24	0.720	6.587	0.210
25	0.750	6.274	0.557
26	0.780	6.561	1.461
27	0.810	7.138	3.259
28	0.840	7.272	5.670
29	0.870	6.818	7.102
30	0.900	6.363	6.880
31	0.930	6.457	5.674
32	0.960	7.067	4.308
33	0.990	7.668	3.254
34	1.020	7.717	2.562
35	1.050	7.141	2.313
36	1.080	6.155	2.436
37	1.110	5.065	2.852
38	1.140	4.355	3.546
39	1.170	4.264	5.644
40	1.200	4.309	12.389
41	1.230	3.777	26.900
42	1.261	2.823	40.922
43	1.291	1.981	39.738
44	1.321	1.446	28.005
45	1.351	1.264	20.604
46	1.381	1.493	21.208
47	1.411	1.855	27.433
48	1.441	1.714	34.626
49	1.471	1.106	36.511
50	1.501	0.568	27.075
51	1.531	0.265	10.277
52	1.561	0.122	2.593
53	1.591	0.061	0.571
54	1.621	0.045	0.123
55	1.651	0.002	0.007
56	1.681	0.000	0.000
57	1.711	0.000	0.000
58	1.741	0.000	0.000
59	1.771	0.000	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
