 	x	1	2
1	0.030	0.683	0.000
2	0.060	1.081	0.000
3	0.090	1.302	0.000
4	0.120	1.195	0.000
5	0.150	0.941	0.000
6	0.180	1.032	0.000
7	0.210	1.828	0.000
8	0.240	3.418	0.000
9	0.270	5.274	0.000
10	0.300	6.371	0.000
11	0.330	6.336	0.000
12	0.360	5.650	0.000
13	0.390	5.010	0.000
14	0.420	4.691	3.097E-5
15	0.450	4.818	1.124E-4
16	0.480	5.829	7.836E-6
17	0.510	7.971	3.703E-6
18	0.540	9.740	2.601E-5
19	0.570	8.984	0.002
20	0.600	6.834	0.022
21	0.630	5.321	0.103
22	0.660	4.618	0.163
23	0.690	4.234	0.141
24	0.720	3.836	0.134
25	0.750	3.558	0.270
26	0.780	3.911	0.766
27	0.810	5.089	1.884
28	0.840	6.659	3.575
29	0.870	8.174	4.858
30	0.900	9.705	5.050
31	0.930	10.972	4.856
32	0.960	11.075	4.518
33	0.990	10.036	3.875
34	1.020	8.972	3.075
35	1.050	7.999	2.516
36	1.080	6.640	2.343
37	1.110	5.310	2.525
38	1.140	4.665	3.075
39	1.170	4.424	4.438
40	1.200	3.899	8.424
41	1.230	2.813	18.291
42	1.261	1.713	30.768
43	1.291	1.097	33.104
44	1.321	0.847	25.126
45	1.351	0.773	19.386
46	1.381	0.829	21.033
47	1.411	0.778	27.948
48	1.441	0.579	33.366
49	1.471	0.357	30.650
50	1.501	0.240	21.140
51	1.531	0.178	11.411
52	1.561	0.152	4.910
53	1.591	0.149	1.474
54	1.621	0.155	0.505
55	1.651	0.212	0.246
56	1.681	0.210	0.097
57	1.711	0.189	0.003
58	1.741	0.108	0.000
59	1.771	0.021	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
68	2.041	0.000	0.000
