 	x	1	2
1	0.030	0.192	0.000
2	0.060	0.344	0.000
3	0.090	0.450	0.000
4	0.120	0.487	0.000
5	0.150	0.495	0.000
6	0.180	0.626	0.000
7	0.210	0.989	0.000
8	0.240	1.513	0.000
9	0.270	2.241	0.000
10	0.300	2.779	0.000
11	0.330	3.708	0.000
12	0.360	5.592	0.000
13	0.390	8.322	0.000
14	0.420	11.795	0.000
15	0.450	14.219	0.000
16	0.480	14.222	0.000
17	0.510	12.945	3.301E-8
18	0.540	11.212	4.744E-5
19	0.570	9.199	0.003
20	0.600	7.227	0.039
21	0.630	5.688	0.153
22	0.660	4.767	0.246
23	0.690	4.229	0.202
24	0.720	3.991	0.183
25	0.750	3.976	0.372
26	0.780	4.313	1.054
27	0.810	4.820	2.648
28	0.840	5.240	4.739
29	0.870	5.491	5.824
30	0.900	5.722	5.593
31	0.930	6.221	4.942
32	0.960	6.585	4.525
33	0.990	6.652	3.859
34	1.020	6.118	3.070
35	1.050	5.297	2.525
36	1.080	4.210	2.339
37	1.110	3.326	2.587
38	1.140	2.740	3.212
39	1.170	2.644	5.017
40	1.200	2.432	10.312
41	1.230	1.887	22.288
42	1.261	1.250	35.821
43	1.291	0.768	36.130
44	1.321	0.508	25.801
45	1.351	0.367	19.044
46	1.381	0.332	20.090
47	1.411	0.319	27.063
48	1.441	0.282	32.848
49	1.471	0.242	29.272
50	1.501	0.195	18.791
51	1.531	0.145	9.224
52	1.561	0.105	4.143
53	1.591	0.072	1.817
54	1.621	0.055	0.644
55	1.651	0.062	0.187
56	1.681	0.071	0.012
57	1.711	0.089	0.000
58	1.741	0.074	0.000
59	1.771	0.008	0.000
60	1.801	0.000	0.000
61	1.831	0.000	0.000
62	1.861	0.000	0.000
63	1.891	0.000	0.000
64	1.921	0.000	0.000
65	1.951	0.000	0.000
66	1.981	0.000	0.000
67	2.011	0.000	0.000
68	2.041	0.000	0.000
