 	x	1	2	3	4	5
1	0.030	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	0.000	0.000	0.000
3	0.090	0.000	0.000	0.000	0.000	0.000
4	0.120	0.000	0.000	0.000	0.000	0.000
5	0.150	0.000	0.126	0.000	0.000	0.000
6	0.180	0.000	1.452	0.091	0.000	0.000
7	0.210	0.000	2.844	0.758	0.000	0.000
8	0.240	0.000	4.670	3.083	0.085	1.261
9	0.270	0.000	8.135	8.651	3.189	9.028
10	0.300	0.000	11.934	15.001	7.395	11.388
11	0.330	19.921	13.363	18.158	16.959	12.822
12	0.360	19.921	11.806	18.474	34.491	14.383
13	0.390	29.121	8.754	19.170	51.080	16.745
14	0.420	18.892	5.914	19.705	53.082	16.836
15	0.450	9.002	3.522	18.270	42.087	14.832
16	0.480	4.070	1.779	13.394	29.116	8.128
17	0.510	1.882	0.724	7.179	20.350	2.088
18	0.540	0.000	0.000	2.582	16.348	0.000
19	0.570	0.000	0.000	0.600	15.220	0.000
20	0.600	0.000	0.000	0.072	15.655	0.000
21	0.630	0.000	0.000	0.000	16.361	0.000
22	0.660	0.000	0.000	0.000	17.249	0.000
23	0.690	0.000	0.000	0.000	19.095	0.000
24	0.720	0.000	0.000	0.000	21.532	0.000
25	0.750	0.000	0.000	0.000	20.977	0.000
26	0.780	0.000	0.000	0.000	15.585	0.000
