 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000
18	0.381	0.061	0.000	0.000	0.000	0.000	0.000
19	0.403	0.523	0.000	0.000	0.000	0.000	0.000
20	0.424	1.291	0.000	0.000	0.000	0.000	0.000
21	0.445	2.052	0.000	0.000	0.000	0.000	0.005
22	0.466	2.711	0.000	0.000	0.104	0.000	0.018
23	0.487	3.163	0.000	0.000	0.816	0.017	0.080
24	0.508	3.795	0.000	0.073	1.369	0.315	0.136
25	0.530	5.390	0.035	2.166	1.770	2.170	0.190
26	0.551	9.625	0.524	3.716	2.316	11.338	0.229
27	0.572	19.543	1.109	4.604	3.480	28.366	0.259
28	0.593	38.442	1.724	4.665	6.008	36.648	0.316
29	0.614	62.728	2.141	4.683	11.117	43.470	0.363
30	0.636	80.019	2.856	4.833	20.241	48.369	0.500
31	0.657	79.292	4.051	5.179	33.917	51.916	1.240
32	0.678	64.589	5.798	5.463	49.257	54.625	3.226
33	0.699	46.927	8.198	5.523	59.796	56.581	7.827
34	0.720	33.209	11.105	5.606	59.958	59.618	18.974
35	0.742	24.265	13.654	6.119	50.414	62.317	39.945
