 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000
18	0.381	0.023	0.000	0.000	0.000	0.000	0.000
19	0.403	0.201	0.000	0.000	0.000	0.000	0.000
20	0.424	0.505	0.000	0.000	0.000	0.000	0.000
21	0.445	0.955	0.000	0.000	0.000	0.000	0.000
22	0.466	1.566	0.000	0.000	0.141	0.000	0.000
23	0.487	2.180	0.000	0.000	0.756	0.053	0.044
24	0.508	3.328	0.000	0.121	1.493	0.270	0.094
25	0.530	5.821	0.028	3.438	2.395	1.807	0.149
26	0.551	10.983	0.372	4.898	3.681	8.770	0.200
27	0.572	20.918	0.942	5.094	6.418	24.743	0.250
28	0.593	36.286	2.456	4.733	11.668	35.897	0.347
29	0.614	54.968	3.532	4.568	20.070	39.967	0.401
30	0.636	70.709	4.525	4.696	30.280	43.207	0.539
31	0.657	76.503	5.895	5.041	39.555	45.111	1.452
32	0.678	70.085	7.787	5.335	45.783	46.141	3.516
33	0.699	55.358	10.194	5.416	48.075	47.779	8.199
34	0.720	39.157	12.719	5.424	46.150	49.627	19.251
35	0.742	26.497	14.706	5.711	40.656	52.597	39.741
