 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.002	0.000	0.000	0.000	0.000	0.000
18	0.381	0.117	0.000	0.000	0.000	0.000	0.000
19	0.403	0.358	0.000	0.000	0.000	0.000	0.000
20	0.424	0.646	0.000	0.000	0.000	0.000	2.023E-4
21	0.445	0.905	0.000	0.000	0.098	0.000	0.028
22	0.466	1.207	0.000	0.000	0.511	0.000	0.086
23	0.487	1.755	0.000	0.000	1.160	0.000	0.167
24	0.508	2.551	0.000	0.052	2.947	0.433	0.262
25	0.530	4.205	0.011	2.077	7.269	3.870	0.350
26	0.551	8.210	0.236	3.224	14.885	15.326	0.403
27	0.572	17.148	0.583	3.636	23.700	32.554	0.447
28	0.593	33.586	2.530	3.787	34.155	43.349	0.514
29	0.614	56.591	7.286	3.748	44.530	46.243	0.636
30	0.636	79.552	9.906	3.946	53.274	46.292	1.091
31	0.657	93.362	11.915	4.466	58.723	45.029	2.497
32	0.678	92.201	14.615	4.932	60.127	43.771	5.654
33	0.699	78.150	18.059	5.016	57.939	42.084	13.768
34	0.720	58.635	21.726	4.858	52.462	41.290	31.106
35	0.742	40.941	24.630	4.902	44.145	40.619	57.206
