 	x	1	2	3	4	5	6
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000
14	0.297	0.000	0.000	0.000	0.000	0.000	0.000
15	0.318	0.000	0.000	0.000	0.000	0.000	0.000
16	0.339	0.000	0.000	0.000	0.000	0.000	0.000
17	0.360	0.000	0.000	0.000	0.000	0.000	0.000
18	0.381	0.063	0.000	0.000	0.000	0.000	0.000
19	0.403	0.272	0.000	0.000	0.000	0.000	0.000
20	0.424	0.608	0.000	0.000	0.000	0.000	0.000
21	0.445	1.118	0.000	0.000	0.000	0.000	0.000
22	0.466	1.659	0.000	0.000	0.083	0.051	0.000
23	0.487	2.225	0.000	0.000	0.544	0.290	0.000
24	0.508	3.515	0.000	2.076	0.811	0.847	0.000
25	0.530	6.710	0.004	4.705	0.952	3.729	0.018
26	0.551	13.651	0.260	5.952	1.185	7.708	0.069
27	0.572	25.526	0.709	6.240	1.662	11.378	0.130
28	0.593	40.284	0.971	5.992	2.631	15.659	0.173
29	0.614	51.945	1.020	5.985	4.594	20.085	0.192
30	0.636	54.700	1.172	6.098	8.313	24.083	0.397
31	0.657	48.631	1.524	6.178	14.489	28.149	1.681
32	0.678	38.255	2.074	6.218	22.716	31.908	4.391
33	0.699	28.825	2.833	6.481	30.587	36.714	10.662
34	0.720	22.215	3.817	7.271	35.027	42.615	24.517
35	0.742	17.737	4.893	8.771	35.171	47.965	47.512
