 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000	2.647	0.000	0.000	7.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000	2.825	0.000	0.000	6.927	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000	3.005	0.000	0.000	6.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000	2.981	0.000	0.000	5.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000	2.657	0.000	0.000	4.559	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000	2.246	0.000	0.000	3.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	0.000	0.000	0.000	0.000	0.000	0.000	2.008	0.000	0.000	3.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.169	0.000	0.000	0.000	0.000	0.000	0.000	2.011	0.000	0.000	3.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9	0.191	0.000	0.000	0.000	0.000	0.000	0.000	2.170	0.000	0.000	3.310	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10	0.212	0.000	0.000	0.000	0.000	0.000	0.000	2.412	0.000	0.000	3.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11	0.233	0.000	0.000	0.000	0.000	0.000	0.000	2.704	0.000	0.000	3.340	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	0.254	0.000	0.000	0.000	0.000	0.000	0.000	2.986	0.000	0.000	3.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13	0.275	0.000	0.000	0.000	0.000	0.000	0.000	3.118	0.000	0.000	3.518	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000
