 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.763	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.946	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.148	17.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.284	0.000
8	0.169	24.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.261	0.000	0.338	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.122	0.000
9	0.191	34.527	0.000	0.000	0.000	0.000	1.319	0.000	0.000	0.000	0.000	30.268	0.776	1.871	1.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.729	0.000
10	0.212	43.522	0.000	0.000	0.000	0.000	6.417	0.000	0.000	0.000	0.000	42.341	3.487	3.213	3.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17.063	0.566	0.000	0.000	0.101	0.000	2.126	0.000	2.044	0.000
11	0.233	49.567	0.461	3.631	0.000	0.000	13.651	0.000	0.000	0.000	0.335	54.938	6.895	5.478	6.337	0.002	0.000	0.000	0.296	0.000	0.000	0.000	28.657	4.338	1.764	0.000	1.441	0.000	5.717	0.000	2.447	0.000
12	0.254	52.402	1.790	18.415	0.000	0.000	22.503	0.000	0.000	0.000	1.138	64.794	11.252	7.920	11.635	2.072	0.331	0.000	15.559	0.000	0.000	0.000	34.749	7.731	5.645	0.000	4.504	0.000	10.906	1.358	2.649	0.000
13	0.275	53.329	3.832	22.783	0.000	0.347	30.471	0.678	0.878	1.102	5.208	70.203	16.311	10.915	18.476	7.315	4.461	0.000	28.155	0.249	0.000	0.000	37.441	14.683	8.638	1.065	8.599	0.000	17.412	9.518	1.668	0.000
14	0.297	54.388	7.127	24.704	0.089	3.227	32.898	1.917	7.534	4.002	13.217	72.940	21.323	14.723	25.201	15.773	10.599	2.306	31.924	1.996	1.687	1.831	37.117	21.708	12.262	11.794	14.976	6.484	26.449	15.495	2.072	0.000
15	0.318	57.393	12.278	26.163	2.925	10.854	31.779	3.488	14.243	8.277	22.181	71.545	23.841	20.277	29.809	27.546	20.984	9.438	32.828	5.666	7.044	7.765	35.378	27.893	15.866	21.630	23.434	17.761	34.658	24.790	1.022	0.092
16	0.339	62.377	19.679	30.467	9.827	22.528	30.666	4.910	20.098	14.745	33.986	67.517	25.167	26.139	33.647	38.139	37.489	17.497	31.328	11.700	13.320	17.780	33.876	31.301	20.144	32.452	32.126	27.269	41.221	35.960	0.377	1.458
17	0.360	66.253	30.571	37.837	22.311	31.611	30.579	6.322	21.875	22.448	45.886	57.352	25.483	31.342	38.589	45.092	54.628	26.142	28.631	19.179	21.740	28.338	32.526	31.767	24.472	40.783	39.277	37.210	45.446	43.741	0.000	2.989
18	0.381	64.056	43.527	46.037	33.928	35.165	31.261	7.372	21.353	27.183	53.212	44.526	25.778	34.951	43.223	45.095	63.285	31.813	26.451	25.967	28.399	33.195	30.107	30.506	25.554	40.974	42.156	42.691	47.285	43.338	0.316	5.891
19	0.403	53.864	53.617	50.819	36.090	31.778	31.933	6.622	20.781	29.163	54.035	30.608	26.111	36.487	47.126	36.661	59.671	31.792	25.084	28.439	30.765	30.423	22.228	28.506	24.484	34.590	40.850	40.868	46.284	34.694	0.328	10.851
20	0.424	39.327	54.620	49.340	29.130	23.115	32.205	6.715	20.007	27.468	48.027	19.565	25.003	37.022	46.418	23.169	46.668	27.597	23.620	25.605	27.214	22.672	13.233	25.515	21.810	25.331	35.386	33.135	41.838	21.787	0.000	17.708
21	0.445	25.691	45.515	42.797	19.334	14.779	32.176	5.143	18.116	22.412	36.145	11.647	21.752	34.793	41.634	10.960	31.248	20.182	21.134	18.141	19.510	13.666	6.661	21.471	19.034	14.760	27.909	23.063	34.500	9.235	0.094	26.315
22	0.466	15.794	32.044	33.530	9.768	8.371	31.918	3.777	14.535	16.007	23.531	7.223	17.785	30.132	34.157	4.238	17.876	12.931	16.425	9.725	10.924	6.644	4.744	16.609	16.450	2.510	20.042	12.180	26.197	2.611	0.654	35.158
23	0.487	9.189	20.422	23.867	3.068	3.809	31.833	1.535	8.518	10.003	13.629	3.980	11.882	23.724	25.804	0.463	9.648	5.807	10.502	3.839	5.466	1.538	1.886	11.838	12.983	0.000	11.640	2.760	17.734	0.000	1.107	42.941
24	0.508	3.660	12.813	14.229	0.089	0.093	31.991	0.508	2.652	5.196	7.914	1.556	6.819	17.190	18.529	0.000	2.527	0.000	6.793	0.839	2.268	0.000	0.000	8.583	10.497	0.000	5.390	0.000	12.233	0.000	0.990	46.875
25	0.530	0.647	6.720	7.044	0.000	0.000	31.753	0.000	0.000	1.682	4.492	0.387	4.567	10.820	11.594	0.000	0.015	0.000	2.729	0.000	0.164	0.000	0.000	6.121	6.443	0.000	1.187	0.000	6.741	0.000	0.222	44.798
26	0.551	0.000	1.855	2.045	0.000	0.000	28.237	0.000	0.000	0.000	1.140	0.000	2.355	6.016	5.728	0.000	0.000	0.000	0.140	0.000	0.000	0.000	0.000	1.491	2.597	0.000	0.000	0.000	2.205	0.000	0.000	36.342
27	0.572	0.000	0.000	0.000	0.000	0.000	20.727	0.000	0.000	0.000	0.000	0.000	0.684	2.909	1.690	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.223	0.000	0.000	0.000	0.000	0.000	0.000	25.053
28	0.593	0.000	0.000	0.000	0.000	0.000	10.981	0.000	0.000	0.000	0.000	0.000	0.000	1.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.204
29	0.614	0.000	0.000	0.000	0.000	0.000	0.148	0.328	0.000	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.222
30	0.636	0.000	0.000	0.000	0.000	0.000	0.000	1.319	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.657	0.000	0.000	0.000	0.000	0.000	0.000	2.458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
32	0.678	0.000	0.000	0.000	0.000	0.000	0.000	3.972	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
33	0.699	0.000	0.000	0.000	0.000	0.000	0.000	6.955	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
34	0.720	0.000	0.000	0.000	0.000	0.000	0.000	11.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
35	0.742	0.000	0.000	0.000	0.000	0.000	0.000	17.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	0.763	0.000	0.000	0.000	0.000	0.000	0.000	26.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
