 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	0.000	0.000	5.959	0.154	0.000	6.953	0.000	0.000	0.182	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	6.250	0.308	0.000	7.668	0.000	0.000	0.126	0.000	0.001	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.037	6.734	0.332	0.000	6.419	0.000	0.073	0.185	0.000	0.242	1.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.119	0.000	0.361	7.344	0.262	0.000	4.852	0.000	1.699	0.294	0.000	0.519	2.383	0.000	0.000	0.000	0.000	0.000	0.698	0.000	0.107	0.000
5	0.149	0.000	0.698	8.040	0.246	0.000	4.238	0.000	5.008	0.288	0.000	0.540	4.078	0.000	0.000	0.000	0.000	0.131	1.525	0.000	0.372	0.000
6	0.179	0.000	1.391	7.976	0.306	0.000	4.331	0.000	7.923	0.208	0.000	0.396	6.020	0.000	0.000	0.000	0.024	1.616	1.500	0.000	0.380	0.000
7	0.209	0.000	2.294	6.785	0.382	0.000	4.587	2.048	8.280	0.150	0.000	0.256	7.501	0.000	0.000	0.000	0.314	2.945	0.949	0.000	0.610	0.000
8	0.239	0.000	3.224	5.499	0.500	0.000	4.715	4.916	8.316	0.187	0.000	0.174	8.768	0.000	0.648	0.000	1.364	3.677	0.449	0.098	1.121	0.000
9	0.268	0.000	4.018	5.006	0.743	0.000	4.544	7.042	7.744	0.315	0.000	0.101	9.460	0.000	3.618	0.000	3.565	3.457	0.159	0.493	1.585	0.000
10	0.298	0.000	4.313	5.512	1.370	0.000	4.092	9.150	7.316	0.412	0.000	0.062	9.564	0.000	5.761	0.000	4.154	3.359	0.030	0.619	1.636	0.000
11	0.328	0.000	4.841	6.813	2.637	0.000	3.517	11.260	7.082	0.432	0.000	0.108	9.541	0.000	5.870	0.000	3.591	3.971	0.003	0.287	1.285	0.000
12	0.358	0.000	5.960	8.255	2.560	0.000	3.293	12.071	7.097	0.649	0.000	0.276	9.560	0.000	4.840	0.000	2.780	4.974	2.505E-4	0.154	0.899	0.000
13	0.388	0.000	7.741	9.206	2.550	0.000	3.573	11.650	7.656	1.353	0.000	0.466	9.610	0.000	3.848	0.000	2.619	5.586	0.003	0.223	0.665	0.000
14	0.417	0.000	9.885	9.639	2.697	0.000	4.237	10.936	9.049	2.425	0.000	0.548	9.956	0.000	3.336	0.000	3.557	5.666	0.034	0.355	0.628	0.000
15	0.447	0.000	11.923	9.973	2.905	0.000	4.681	10.730	10.787	2.896	0.119	0.705	10.622	0.000	2.987	0.035	6.190	5.614	0.085	0.545	0.783	0.000
16	0.477	0.131	13.268	10.203	3.041	0.000	4.700	11.234	11.875	2.377	0.875	1.204	11.734	0.000	3.075	0.361	9.829	5.757	0.075	0.956	1.055	0.000
17	0.507	5.499	13.925	9.845	3.339	0.000	4.602	11.886	12.124	2.369	1.808	2.613	13.770	0.000	3.563	0.836	12.188	5.844	0.057	1.723	1.274	1.836
18	0.537	6.755	14.391	9.112	4.000	0.000	4.762	11.667	12.419	3.539	2.050	5.066	16.595	0.000	3.870	2.036	11.715	6.323	0.059	2.358	1.517	1.541
19	0.567	7.897	15.173	8.476	4.486	0.000	5.109	10.282	12.812	3.641	2.279	6.227	18.512	0.000	3.998	3.727	9.290	7.751	0.120	2.201	1.960	1.348
20	0.596	7.459	15.923	7.937	4.624	0.000	5.373	9.061	12.190	3.860	2.183	4.873	17.974	0.000	4.654	5.233	6.750	9.976	0.233	1.894	2.616	1.246
21	0.626	5.646	15.332	7.738	4.945	0.000	5.474	9.232	10.172	3.860	1.925	3.458	16.038	1.498E-6	6.313	6.325	4.829	11.748	0.432	2.074	3.138	1.366
22	0.656	4.375	13.150	8.204	5.707	0.000	5.598	10.387	7.921	3.722	1.673	3.554	14.735	1.465E-4	7.945	6.778	3.931	12.190	0.769	2.551	3.125	1.869
23	0.686	4.145	10.266	8.890	6.789	0.000	6.134	11.432	6.390	3.706	1.327	5.319	13.773	0.004	7.906	6.708	4.341	12.174	1.292	2.646	2.622	2.472
24	0.716	4.556	7.861	9.036	7.707	0.000	7.059	11.645	5.853	3.670	1.065	7.780	12.258	0.031	7.051	6.381	6.080	12.645	2.177	2.355	2.097	2.357
25	0.745	5.018	6.380	8.742	7.871	0.000	8.140	10.851	5.888	3.292	1.159	9.095	9.971	0.102	6.715	5.902	8.334	13.608	3.820	2.313	2.033	1.688
26	0.775	4.759	6.194	8.351	7.332	0.000	8.736	9.564	6.282	3.038	1.703	8.890	7.817	0.224	6.895	5.341	9.746	14.341	5.585	2.941	2.684	1.184
27	0.805	4.018	7.158	7.433	6.714	0.000	8.785	8.654	6.812	3.334	2.338	8.067	6.515	0.439	6.872	4.714	10.192	14.945	6.112	4.525	3.957	1.197
28	0.835	3.437	8.625	5.970	6.313	0.000	8.890	8.483	7.511	4.422	2.269	7.395	6.197	0.795	6.918	4.269	10.594	15.578	5.050	7.053	5.085	1.818
29	0.865	3.104	9.643	4.782	6.153	1.104	9.406	8.926	8.147	5.980	1.762	6.890	6.272	1.475	7.852	4.304	11.771	15.729	3.883	9.648	4.983	2.581
30	0.895	3.006	9.747	4.318	6.441	4.988	10.040	9.536	8.985	7.252	1.612	6.648	6.132	2.652	9.654	5.011	13.956	15.110	3.433	10.912	4.227	2.496
31	0.924	3.270	9.106	4.733	7.280	7.606	10.329	9.824	9.476	7.271	1.935	6.692	5.642	3.812	11.041	6.375	16.435	14.196	3.656	10.507	3.935	1.831
32	0.954	3.854	8.340	5.858	8.235	7.032	10.252	9.748	8.941	6.310	2.441	6.657	5.238	4.063	10.896	7.814	18.340	13.259	4.046	8.914	4.242	1.437
33	0.984	4.500	7.857	6.607	8.728	5.008	9.729	9.505	7.265	5.455	2.891	6.265	5.051	3.575	9.345	8.497	19.941	12.627	4.309	7.109	4.658	1.500
34	1.014	5.589	7.731	6.226	8.814	4.221	8.699	9.137	5.544	5.499	3.430	6.085	5.090	3.083	7.674	8.613	21.837	12.197	4.193	5.819	4.811	1.962
35	1.044	8.120	7.730	5.898	9.020	4.439	7.359	8.618	4.556	6.588	3.942	6.570	4.942	2.935	6.860	9.493	23.225	11.038	3.817	4.801	4.806	2.408
36	1.073	11.153	7.448	7.314	9.441	4.735	6.103	8.213	4.354	8.073	3.941	7.510	4.463	3.218	7.101	11.262	22.515	9.165	3.607	3.814	4.707	2.253
37	1.103	8.401	7.172	10.342	9.517	4.791	5.270	8.105	4.888	8.644	3.443	8.457	3.783	3.799	7.499	12.177	20.042	7.349	3.752	3.056	4.541	1.610
38	1.133	3.953	7.172	8.509	9.131	4.633	4.890	8.223	5.713	7.703	2.917	9.294	3.371	4.315	7.484	11.574	16.742	5.890	4.256	2.681	4.573	1.136
39	1.163	0.000	7.285	4.349	8.965	4.298	4.905	8.258	6.223	6.442	2.764	9.328	3.226	4.591	7.099	10.519	13.571	4.991	4.884	2.611	4.697	1.105
40	1.193	0.000	7.167	0.000	9.268	3.952	5.187	7.834	6.098	5.704	3.101	7.409	3.265	5.239	6.466	9.956	10.705	4.327	5.419	2.510	4.659	1.563
41	1.223	0.000	6.819	0.000	9.231	3.838	5.639	6.929	5.679	5.580	3.645	4.345	3.240	6.802	5.920	10.078	8.427	3.794	5.672	2.221	4.065	2.295
42	1.252	0.000	6.244	0.000	8.498	4.010	5.569	6.012	5.126	5.748	3.984	2.035	2.850	8.730	5.957	10.668	6.852	3.267	5.952	1.990	3.232	2.781
43	1.282	0.000	5.581	0.000	7.959	4.292	4.733	5.261	4.181	6.070	4.152	0.887	2.259	9.166	7.154	11.004	6.190	2.721	6.063	2.154	2.482	2.880
44	1.312	0.000	4.884	0.000	8.398	4.414	3.913	4.636	3.044	6.135	4.476	0.389	1.695	7.185	9.436	10.629	6.336	2.256	5.540	2.739	1.531	2.599
45	1.342	0.000	4.252	0.000	9.199	4.291	3.681	4.229	2.344	5.636	4.994	0.230	1.334	4.361	11.749	9.933	7.043	1.930	4.406	3.864	0.675	2.081
46	1.372	0.000	3.793	0.000	8.674	4.210	3.706	3.829	2.096	4.710	5.394	0.192	1.218	2.365	12.907	9.576	7.641	1.751	3.426	6.147	0.289	1.774
47	1.401	0.000	3.519	0.000	6.604	4.510	3.362	3.185	2.051	3.961	5.409	0.171	1.353	1.296	12.208	9.877	8.283	1.595	2.713	10.547	0.177	1.901
48	1.431	0.000	3.530	0.000	4.567	5.129	2.633	2.567	2.296	3.546	5.176	0.146	1.449	0.854	10.298	9.966	8.657	1.407	1.919	15.870	0.092	1.957
49	1.461	0.000	3.543	0.000	3.514	5.682	1.917	2.409	3.013	2.931	5.183	0.121	1.395	0.849	8.506	9.023	7.828	1.126	1.031	17.493	0.022	1.546
50	1.491	0.000	2.926	0.000	3.224	5.813	1.338	2.860	4.007	2.328	5.800	0.119	1.261	1.278	7.489	7.493	5.973	0.800	0.446	14.285	0.002	1.191
51	1.521	0.000	2.075	0.000	3.115	5.560	0.972	3.688	4.562	2.029	6.959	0.098	1.127	2.064	7.248	6.560	4.064	0.587	0.240	10.327	3.674E-5	0.948
52	1.551	0.000	1.522	0.000	2.963	5.389	0.752	4.275	4.511	1.833	7.664	0.090	0.941	2.506	7.499	6.676	2.633	0.531	0.169	7.732	5.552E-8	0.000
53	1.580	0.000	1.187	0.000	3.016	5.665	0.565	4.285	4.455	1.375	7.179	0.119	0.838	1.990	7.646	6.724	1.598	0.482	0.111	6.469	0.000	0.000
54	1.610	0.000	0.969	0.000	3.453	6.586	0.354	3.828	4.327	0.885	6.202	0.202	0.713	0.962	7.393	5.692	0.904	0.344	0.075	6.095	0.000	0.000
55	1.640	0.000	0.786	0.000	3.983	7.609	0.256	3.137	4.289	0.658	5.530	0.321	0.651	0.255	6.745	4.351	0.498	0.233	0.030	6.044	0.000	0.000
56	1.670	0.000	0.604	0.000	4.051	8.062	0.294	2.773	4.261	0.587	5.314	0.384	0.744	0.038	6.072	4.048	0.277	0.212	0.003	5.551	0.000	0.000
57	1.700	0.000	0.399	0.000	3.588	8.329	0.435	3.192	4.013	0.526	5.566	0.399	0.794	0.003	5.807	5.180	0.184	0.306	4.747E-5	4.437	0.000	0.000
58	1.729	0.000	0.277	0.000	3.053	8.961	0.507	4.230	3.634	0.382	6.262	0.440	0.675	1.716E-4	6.301	7.711	0.159	0.405	3.051E-7	3.381	0.000	0.000
59	1.759	0.000	0.291	0.000	2.211	9.583	0.357	4.928	2.856	0.252	7.036	0.530	0.508	9.367E-7	7.106	10.176	0.130	0.352	0.000	2.957	0.000	0.000
60	1.789	0.000	0.335	0.000	1.455	9.586	0.177	4.650	1.805	0.241	7.424	0.520	0.477	0.000	7.365	11.288	0.059	0.160	1.536E-8	3.012	0.000	0.000
61	1.819	0.000	0.268	0.000	1.504	8.967	0.113	4.039	1.596	0.229	7.414	0.299	0.643	0.000	6.033	11.665	0.011	0.015	6.400E-7	3.062	0.000	0.000
62	1.849	0.000	0.158	0.000	1.767	8.359	0.089	3.647	1.107	0.147	7.325	0.112	1.214	0.000	3.737	12.588	0.001	0.000	2.431E-5	2.969	0.000	0.000
63	1.879	0.000	0.071	0.000	2.095	8.336	0.102	3.365	0.000	0.083	7.340	0.039	2.254	0.000	1.880	14.498	1.678E-4	0.000	6.880E-6	2.869	0.000	0.000
64	1.908	0.000	0.041	0.000	2.278	8.484	0.119	2.957	0.000	0.032	7.395	0.005	3.399	0.000	1.142	16.378	1.128E-6	0.000	3.832E-6	3.420	0.000	0.000
