 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	0.000	2.692	6.099	0.126	0.000	5.823	1.444	2.433	0.240	0.000	0.000	1.962	0.000	0.000	0.000	0.000	0.000	0.283	0.000	0.000	0.000
2	0.060	0.000	2.750	6.523	0.183	0.000	6.054	1.781	2.205	0.153	0.000	5.239E-4	2.134	0.000	0.000	0.000	0.000	0.000	0.334	0.000	0.000	0.000
3	0.089	0.000	3.038	7.106	0.180	0.000	5.586	2.206	2.106	0.147	0.000	0.086	2.271	0.000	0.000	0.000	0.000	0.028	0.519	0.000	0.000	0.000
4	0.119	0.000	3.275	7.737	0.145	0.000	4.888	2.533	2.590	0.183	0.000	0.267	2.462	0.000	0.015	0.000	1.718E-4	0.359	0.926	0.000	0.059	0.000
5	0.149	0.000	3.368	8.353	0.170	0.000	4.804	2.706	3.713	0.167	0.000	0.465	2.876	0.000	0.082	0.000	0.024	0.724	1.544	0.000	0.199	0.000
6	0.179	0.000	3.539	8.179	0.304	0.000	5.127	3.182	4.855	0.113	0.000	0.535	3.398	0.000	0.313	0.000	0.133	1.084	1.756	0.000	0.213	0.000
7	0.209	0.000	3.915	6.891	0.496	0.000	5.872	4.189	5.752	0.126	0.000	0.690	4.156	0.000	0.727	0.000	0.558	1.207	1.519	0.000	0.375	0.000
8	0.239	0.000	4.357	5.509	0.674	0.000	6.798	5.226	6.669	0.269	0.000	0.775	5.486	0.000	1.731	0.000	1.346	1.182	1.157	0.032	0.801	0.000
9	0.268	0.000	4.783	4.942	0.894	0.000	7.345	6.294	7.547	0.551	0.000	0.810	6.533	0.000	3.737	0.000	2.078	1.033	0.892	0.162	1.324	0.000
10	0.298	0.000	5.321	5.390	1.922	0.000	7.597	7.454	8.272	0.684	0.000	0.776	7.361	0.000	5.433	0.000	2.374	0.999	0.841	0.240	1.575	0.000
11	0.328	0.000	5.762	6.608	3.055	0.000	7.375	8.804	8.728	0.621	0.000	0.800	8.004	0.000	5.761	0.000	2.458	1.153	0.966	0.246	1.342	0.000
12	0.358	0.000	6.291	7.939	3.711	0.000	7.127	9.827	8.860	0.707	0.000	0.967	8.385	0.000	5.327	0.000	3.071	1.441	1.101	0.272	0.923	0.000
13	0.388	0.000	7.019	8.823	4.024	0.000	6.840	10.335	9.022	1.388	0.000	1.245	8.642	0.000	5.023	0.000	4.460	1.694	1.091	0.392	0.756	0.000
14	0.417	0.000	7.908	9.257	3.922	0.000	6.746	10.751	9.804	2.496	0.000	1.475	9.061	0.000	4.597	0.000	6.559	1.845	0.913	0.581	0.826	0.000
15	0.447	0.000	9.010	9.580	3.740	0.000	6.710	11.468	11.110	2.844	0.052	1.658	9.788	0.000	4.003	0.000	8.490	1.993	0.728	0.834	1.030	0.000
16	0.477	0.161	10.248	9.801	3.645	0.000	6.665	12.862	12.240	2.053	0.953	2.339	10.779	0.000	3.569	0.377	9.393	2.250	0.651	1.325	1.292	0.000
17	0.507	5.411	11.330	9.575	3.626	0.000	6.622	14.604	12.426	2.372	1.821	4.282	11.784	0.000	3.520	1.196	8.889	2.611	0.629	2.174	1.457	1.468
18	0.537	6.342	12.186	9.094	3.648	0.000	6.896	15.226	11.830	3.608	2.057	7.196	12.684	6.466E-6	3.831	2.335	7.572	3.197	0.616	2.862	1.614	1.240
19	0.567	7.122	12.836	8.644	3.760	0.000	7.300	13.756	11.244	3.803	2.259	8.651	12.740	3.999E-4	4.413	3.597	6.357	4.019	0.655	2.830	2.026	1.174
20	0.596	6.710	13.296	8.140	4.172	0.000	7.345	11.565	11.187	4.034	2.074	7.683	11.754	0.007	5.392	5.055	5.715	4.791	0.891	2.415	2.770	1.227
21	0.626	5.255	13.471	7.838	4.920	0.000	6.766	10.186	11.445	4.065	1.695	6.079	10.428	0.017	6.484	5.716	5.468	5.175	1.308	2.162	3.493	1.435
22	0.656	4.211	13.311	8.085	5.852	0.000	6.104	9.554	11.192	3.797	1.411	5.217	9.544	0.008	7.358	5.592	5.433	5.448	1.794	2.174	3.866	1.956
23	0.686	3.961	12.720	8.537	6.958	0.000	5.866	9.152	10.254	3.732	1.151	5.638	9.043	0.002	7.655	5.299	5.510	5.981	2.318	2.361	3.946	2.602
24	0.716	4.233	11.610	8.560	8.119	0.000	6.137	8.934	9.031	3.584	0.966	6.908	8.457	0.014	7.578	5.181	5.887	6.936	2.867	2.862	4.058	2.654
25	0.745	4.589	10.439	8.287	8.909	0.000	6.680	8.783	7.827	3.133	1.107	8.079	7.757	0.044	7.609	5.032	6.572	7.877	3.490	3.562	4.442	2.072
26	0.775	4.439	9.739	8.012	9.025	0.000	7.209	8.743	6.755	2.780	1.691	8.673	7.263	0.100	7.617	4.615	7.193	8.089	4.221	4.068	5.045	1.456
