 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	0.384	5.505	6.773	0.000	0.000	12.341	4.160	3.008	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.475	5.856	6.549	0.000	0.000	11.923	5.608	2.801	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.588	6.437	6.658	0.000	0.000	10.167	6.526	2.889	0.211	0.000	1.852E-4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.119	0.700	7.569	7.013	0.000	0.000	8.014	6.869	3.455	0.264	0.000	0.008	0.000	0.000	0.000	0.000	0.002	4.370E-5	0.000	0.000	0.000	0.000
5	0.149	0.833	8.333	7.525	0.000	0.000	6.587	6.984	4.135	0.200	0.000	0.006	0.000	0.000	0.000	0.000	0.106	0.005	0.000	0.000	0.088	0.000
6	0.179	0.970	7.984	7.469	0.000	0.000	6.347	7.490	4.148	0.129	0.000	0.026	0.053	0.000	0.000	0.000	0.483	0.017	0.000	0.000	0.171	0.000
7	0.209	1.004	7.409	6.348	0.000	0.000	7.073	8.480	3.772	0.124	0.000	0.016	1.657	0.000	0.000	0.000	1.000	0.021	1.092E-8	4.199E-7	0.309	0.000
8	0.239	0.939	7.290	5.073	0.000	0.000	7.687	9.250	3.780	0.222	0.000	0.012	5.190	0.000	0.000	0.000	1.184	0.040	1.678E-5	0.003	0.568	0.000
9	0.268	0.905	7.314	4.563	0.157	0.000	7.620	9.849	4.122	0.352	0.000	0.039	6.977	0.000	0.019	0.000	1.143	0.076	0.001	0.009	0.749	0.000
10	0.298	0.858	6.879	4.995	2.363	0.000	7.042	10.892	4.459	0.385	0.000	0.112	7.593	0.000	0.426	0.000	1.116	0.057	0.014	0.009	0.711	0.000
11	0.328	0.673	6.363	6.013	3.832	0.000	6.185	12.242	4.580	0.401	0.000	0.224	7.257	0.000	1.202	0.000	1.157	0.066	0.058	0.023	0.813	0.000
12	0.358	0.473	6.241	6.922	5.382	0.000	5.282	13.384	4.983	0.693	0.000	0.306	6.524	0.000	2.154	0.000	1.512	0.067	0.104	0.066	1.225	0.000
13	0.388	0.413	6.639	7.125	6.505	0.000	4.717	14.149	6.278	1.420	0.000	0.409	6.027	0.000	3.273	0.000	2.131	0.038	0.068	0.142	1.830	0.000
14	0.417	0.496	6.990	6.419	6.380	0.000	4.645	13.976	8.736	2.191	0.000	0.733	6.436	0.000	3.580	0.026	2.413	0.055	0.017	0.281	2.386	0.000
15	0.447	0.202	7.200	5.314	5.461	0.000	4.621	13.099	11.745	2.095	0.098	1.666	7.306	0.000	3.418	0.142	2.248	0.132	0.014	0.727	2.514	0.000
16	0.477	0.427	7.232	4.596	4.379	0.000	4.281	12.530	13.960	1.658	0.751	4.257	8.519	0.000	3.244	0.553	2.167	0.210	0.052	1.682	2.177	0.000
17	0.507	5.007	6.928	4.572	3.516	0.000	3.727	11.894	13.774	2.785	1.503	9.691	10.003	0.000	3.282	1.077	2.464	0.272	0.143	2.488	1.917	1.794
18	0.537	5.007	6.375	5.215	3.299	0.000	3.438	9.719	11.812	3.594	1.759	15.711	11.220	0.000	3.762	1.731	3.317	0.381	0.259	2.548	2.101	1.597
19	0.567	4.663	6.115	6.051	4.125	0.000	3.451	6.692	9.370	3.688	2.097	17.113	11.529	0.000	5.000	2.701	4.702	0.567	0.418	2.401	2.994	1.507
20	0.596	4.091	6.391	6.318	5.945	0.000	3.478	4.633	8.272	3.807	2.076	14.082	11.058	0.000	6.390	3.985	5.858	0.838	0.667	2.375	4.569	1.451
21	0.626	3.537	7.103	6.008	7.934	0.000	3.246	3.908	8.351	3.635	1.738	9.898	10.583	0.000	6.852	5.290	5.248	1.183	1.232	2.334	5.953	1.457
22	0.656	3.304	7.851	5.756	9.226	0.000	3.067	4.226	9.015	3.449	1.447	6.267	10.606	1.863E-7	5.761	6.521	3.654	1.474	2.281	2.213	6.437	1.728
23	0.686	3.237	8.180	5.783	9.901	0.000	3.268	5.099	9.774	3.508	1.226	4.404	11.019	7.971E-5	4.371	7.336	2.322	1.651	3.338	2.537	6.409	2.202
24	0.716	3.144	8.169	5.749	10.616	0.000	4.002	5.616	9.898	3.367	1.067	4.707	11.433	0.002	3.702	7.542	1.782	1.869	3.842	3.463	6.445	2.307
25	0.745	3.208	7.910	5.504	11.733	0.000	5.185	5.475	8.828	3.140	1.121	6.890	11.696	0.018	3.904	7.270	1.744	2.423	4.070	4.492	6.868	1.913
26	0.775	3.573	7.808	5.137	12.712	0.000	6.382	5.330	6.908	3.170	1.593	9.604	12.223	0.075	4.390	6.685	2.053	3.168	4.135	5.261	7.532	1.469
27	0.805	3.968	7.722	4.415	12.581	0.698	6.919	5.538	5.242	3.878	2.375	10.607	12.807	0.221	4.380	5.658	2.651	3.693	3.760	5.706	7.927	1.435
28	0.835	3.984	7.719	3.383	11.683	2.478	6.464	5.757	4.195	5.276	2.661	9.616	11.987	0.510	4.046	4.706	3.536	3.991	3.161	6.173	7.642	2.005
29	0.865	3.748	7.795	2.630	10.992	5.442	5.467	5.769	3.678	6.978	2.194	7.827	9.977	0.966	3.617	4.476	4.508	4.162	2.834	6.920	6.508	2.773
30	0.895	3.646	7.886	2.529	10.896	7.475	4.593	5.761	3.586	7.871	1.855	6.197	7.938	1.531	3.454	5.102	5.091	4.292	2.827	7.797	4.949	2.787
31	0.924	3.859	8.182	3.128	11.177	7.898	4.362	6.019	3.865	7.279	2.115	5.176	6.580	2.079	3.323	6.358	5.385	4.447	3.162	8.626	3.617	2.243
32	0.954	4.263	8.568	4.079	11.138	7.376	4.622	6.523	4.280	6.087	2.723	5.013	5.597	2.563	3.042	7.525	5.901	4.494	3.524	8.529	2.971	1.922
33	0.984	4.677	8.938	4.434	10.231	6.948	5.218	6.910	4.362	5.643	3.116	5.701	4.863	3.015	2.674	8.054	6.665	4.447	3.404	7.189	3.010	1.909
34	1.014	5.719	9.349	3.847	8.886	6.743	5.693	6.709	3.971	6.396	3.325	7.050	4.414	3.217	2.318	8.460	7.370	4.395	3.009	5.560	3.397	2.002
35	1.044	8.400	9.878	3.438	8.089	6.340	6.110	6.334	3.485	7.947	3.530	8.905	4.175	3.399	2.192	9.731	7.703	4.434	2.922	4.585	3.702	2.097
36	1.073	11.283	10.567	4.380	8.101	5.805	6.502	6.659	3.411	9.180	3.335	10.663	3.972	3.999	2.350	11.393	7.691	4.496	3.327	4.155	3.507	2.033
