 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0.030	0.000	2.915	6.461	0.135	0.000	2.410	2.210	3.695	0.301	0.000	0.000	4.631	0.000	1.064E-4	0.000	0.000	0.000	0.592	0.000	0.000	0.000
2	0.060	0.000	3.449	7.758	0.199	0.000	2.464	1.951	3.549	0.139	0.000	0.000	4.840	0.000	0.008	0.000	0.000	0.000	0.644	0.000	0.000	0.000
3	0.089	0.000	4.275	8.910	0.205	0.000	2.295	1.960	3.396	0.125	0.000	4.716E-4	4.815	0.000	0.099	0.000	0.000	0.050	0.906	0.000	0.000	0.000
4	0.119	0.000	4.663	9.591	0.164	0.000	2.345	2.149	3.884	0.193	0.000	0.090	4.844	0.000	0.211	0.000	0.000	0.301	1.488	0.000	0.000	0.000
5	0.149	0.000	4.696	9.842	0.183	0.000	2.672	2.373	5.018	0.275	0.000	0.277	5.147	0.000	0.272	0.000	0.000	0.636	2.331	0.000	0.037	0.000
6	0.179	0.000	4.657	9.423	0.343	0.000	3.250	2.951	6.074	0.292	0.000	0.470	5.719	0.000	0.491	0.000	0.014	0.965	2.581	0.000	0.182	0.000
7	0.209	0.000	4.614	8.147	0.672	0.000	3.982	3.638	6.933	0.235	0.000	0.562	6.360	0.000	0.967	0.000	0.232	1.076	2.270	0.000	0.164	0.000
8	0.239	0.000	4.575	6.613	1.129	0.000	4.965	4.209	7.768	0.283	0.000	0.713	6.962	0.000	2.214	0.000	0.915	1.032	1.873	0.026	0.261	0.000
9	0.268	0.000	4.619	5.689	1.459	0.000	5.401	5.030	8.641	0.458	0.000	0.792	7.355	0.000	4.476	0.000	1.590	0.917	1.752	0.149	0.584	0.000
10	0.298	0.000	4.948	5.719	1.659	0.000	5.753	6.115	9.542	0.578	0.000	0.804	7.759	0.000	6.080	0.000	1.850	0.944	1.968	0.242	1.063	0.000
11	0.328	0.000	5.317	6.531	2.074	0.000	6.072	7.236	10.235	0.655	0.000	0.764	8.410	0.000	6.634	0.000	1.970	1.142	2.288	0.264	1.380	0.000
12	0.358	0.000	6.019	7.631	2.092	0.000	6.505	7.799	10.574	1.075	0.000	0.790	9.196	0.000	6.417	0.000	2.602	1.415	2.576	0.396	1.260	0.000
13	0.388	0.000	7.162	8.607	2.055	0.000	7.170	7.814	10.809	2.358	0.000	0.987	9.962	0.000	6.175	0.000	4.249	1.612	2.710	0.599	0.825	0.000
14	0.417	0.000	8.684	9.431	1.974	0.000	7.701	7.877	11.260	4.537	0.000	1.318	10.808	0.000	5.667	0.000	6.775	1.735	2.814	0.813	0.509	0.000
15	0.447	0.000	10.165	10.199	2.048	0.000	8.206	8.588	11.734	5.282	0.000	1.608	11.815	0.000	4.945	0.000	9.784	1.901	3.040	1.005	0.508	0.000
16	0.477	0.082	11.112	10.701	2.280	0.000	8.738	10.418	11.908	4.258	0.041	1.958	12.788	0.000	4.432	0.413	12.198	2.173	3.301	1.352	0.841	0.000
