 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	0.858	0.000	0.000	1.104E-4	3.532	3.948E-6	0.000	0.000	0.000	0.049	0.000	0.000	0.000
2	0.060	0.000	0.000	0.777	0.000	0.000	0.002	3.491	2.936E-5	0.000	0.000	0.000	0.096	0.000	0.000	0.000
3	0.089	0.000	0.000	0.480	0.000	0.000	0.013	3.652	4.870E-5	0.000	0.028	0.000	0.141	0.000	0.000	0.000
4	0.119	0.000	0.000	0.165	0.000	0.000	0.045	4.033	5.477E-6	0.000	0.197	0.000	0.114	0.000	0.000	0.000
5	0.149	0.000	0.000	0.029	0.000	0.000	0.167	4.498	2.100E-5	0.000	0.082	0.000	0.109	0.000	0.000	0.000
6	0.179	0.000	6.406E-5	0.006	0.000	0.000	0.485	4.714	5.059E-5	0.021	0.006	0.000	0.216	0.000	0.000	0.000
7	0.209	0.000	0.003	0.005	0.000	0.004	1.071	4.536	1.543E-4	0.862	1.172E-4	0.002	0.559	0.000	0.000	0.000
8	0.239	0.000	0.033	0.010	0.000	0.203	1.750	4.595	7.070E-4	2.303	1.439E-6	0.008	1.256	0.000	0.000	0.000
9	0.268	0.000	0.050	0.053	0.000	0.847	2.298	5.364	0.003	2.256	6.185E-8	0.020	2.267	0.000	4.761E-4	0.000
10	0.298	0.000	0.013	0.274	0.000	1.739	2.375	6.058	0.021	1.701	0.000	0.084	3.356	0.000	0.008	0.000
11	0.328	2.501E-7	5.908E-4	0.400	0.000	1.943	2.022	5.889	0.042	1.359	0.000	0.409	4.141	1.217E-5	0.092	0.000
12	0.358	7.135E-5	6.700E-6	0.478	0.000	2.027	1.686	4.992	0.042	1.131	2.829E-7	1.335	4.534	0.010	0.660	0.000
13	0.388	0.002	0.000	0.699	0.000	2.038	1.658	4.212	0.063	0.850	1.937E-4	2.215	4.610	0.043	1.895	0.000
14	0.417	0.008	0.000	1.216	0.000	1.917	2.146	3.821	0.143	0.553	0.005	2.166	4.802	0.053	2.497	0.000
