 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	0.905	0.000	0.000	1.364E-4	3.393	0.006	0.000	0.000	0.000	0.007	0.000	0.000	0.000
2	0.060	0.000	0.000	0.875	0.000	0.000	0.003	3.162	0.026	0.000	0.021	0.000	0.013	0.000	0.000	0.000
3	0.089	0.000	0.000	0.592	0.000	0.000	0.014	3.202	0.058	0.000	0.159	0.000	0.019	0.000	0.000	0.000
4	0.119	0.000	0.000	0.241	0.000	0.000	0.047	3.563	0.053	0.000	0.285	0.000	0.024	0.000	0.000	0.000
5	0.149	0.000	0.000	0.063	0.000	0.000	0.158	4.129	0.039	0.000	0.377	0.000	0.028	0.000	0.000	0.000
6	0.179	0.000	2.912E-5	0.015	0.000	0.000	0.497	4.494	0.051	0.004	0.462	0.000	0.054	0.000	0.000	0.000
7	0.209	0.000	0.001	0.008	0.000	0.007	1.160	4.412	0.097	0.295	0.565	0.001	0.194	0.000	0.057	0.000
8	0.239	0.000	0.015	0.014	0.000	0.110	1.870	4.383	0.163	0.817	0.600	0.006	0.493	0.000	0.244	0.000
9	0.268	0.000	0.023	0.053	0.000	0.401	2.382	4.930	0.200	0.887	0.421	0.015	1.073	0.000	0.258	0.000
10	0.298	0.000	0.006	0.233	0.000	0.805	2.381	5.494	0.222	1.195	0.159	0.069	1.984	1.082E-4	0.282	0.000
11	0.328	1.104E-6	2.686E-4	0.336	0.000	1.241	1.974	5.431	0.305	1.375	0.063	0.355	2.363	4.229E-4	0.290	0.000
12	0.358	5.094E-4	4.743E-6	0.392	0.000	1.521	1.642	4.823	0.499	1.551	0.040	1.115	2.527	0.002	0.419	0.000
13	0.388	0.009	1.905E-4	0.555	0.000	1.404	1.683	4.299	0.857	1.596	0.025	1.833	2.615	0.011	0.719	0.000
14	0.417	0.036	0.003	1.036	5.205E-8	1.242	2.372	4.095	1.217	1.525	0.013	1.912	2.746	0.020	0.991	0.000
