 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	2.250	0.000	0.000	0.003	2.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.000	2.125	0.000	0.000	0.014	2.588	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0.000	1.428	0.000	0.000	0.075	3.201	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.119	0.000	0.000	0.655	0.000	0.000	0.176	4.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.149	0.000	0.000	0.232	0.000	0.000	0.346	5.335	1.086E-6	0.000	6.732E-5	0.000	7.878E-5	0.000	0.000	0.000
6	0.179	0.000	5.088E-7	0.078	0.000	0.000	0.627	5.818	6.688E-4	0.000	2.674E-5	2.565E-6	0.002	0.000	0.000	0.000
7	0.209	0.000	5.231E-6	0.048	0.000	0.000	1.063	5.327	0.014	0.000	2.232E-6	2.108E-5	0.024	0.000	0.000	0.000
8	0.239	0.000	3.887E-5	0.067	0.000	0.000	1.535	4.787	0.023	0.000	0.000	2.571E-5	0.227	0.000	1.878E-5	0.000
9	0.268	0.000	4.193E-6	0.162	0.000	0.000	1.702	4.487	0.007	0.081	0.000	0.003	0.320	0.000	1.590E-5	0.000
10	0.298	0.000	2.506E-6	0.436	0.000	0.000	1.667	4.305	6.998E-4	0.374	0.000	0.032	0.110	0.000	2.670E-4	0.000
11	0.328	0.000	1.117E-4	0.605	0.000	0.759	1.612	3.981	5.360E-4	0.274	0.000	0.130	0.047	0.000	0.030	0.000
12	0.358	3.295E-5	0.001	0.627	0.000	1.916	1.580	3.764	2.056E-4	0.168	0.000	0.330	0.060	0.000	0.041	0.000
13	0.388	0.002	0.012	0.764	0.000	1.710	1.615	3.885	0.002	0.385	0.000	0.579	0.094	7.774E-7	0.031	0.000
14	0.417	0.036	0.031	1.258	1.796E-7	1.347	1.811	4.469	0.025	0.762	0.000	0.967	0.157	3.571E-6	0.054	0.000
15	0.447	0.099	0.032	2.293	6.955E-5	1.335	2.375	5.203	0.114	0.994	0.000	1.627	0.351	5.390E-4	0.123	0.000
16	0.477	0.054	0.017	4.007	0.002	1.701	2.817	5.322	0.328	1.044	3.542E-6	2.044	0.883	0.010	0.274	0.234
