 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.030	0.000	0.000	2.291	0.000	3.934E-4	1.902E-4	2.606	1.117E-4	0.000	0.000	0.000	0.007	0.000	0.000	0.000
2	0.060	0.000	0.000	1.942	0.000	0.000	0.003	2.880	2.166E-4	0.000	0.000	0.000	0.014	0.000	0.000	0.000
3	0.089	0.000	0.000	1.237	0.000	0.000	0.022	3.457	1.760E-4	0.000	0.004	0.000	0.018	0.000	0.000	0.000
4	0.119	0.000	0.000	0.580	0.000	0.000	0.078	4.179	1.041E-4	0.000	0.046	0.000	0.022	0.000	0.000	0.000
5	0.149	0.000	1.247E-6	0.229	0.000	0.000	0.217	4.837	6.013E-5	0.000	0.027	0.000	0.029	0.000	0.000	0.000
6	0.179	0.000	5.737E-4	0.094	0.000	0.000	0.519	5.098	5.380E-4	0.000	0.003	1.220E-4	0.086	0.000	0.021	0.000
7	0.209	0.000	0.009	0.060	0.000	0.000	1.030	4.825	0.006	0.119	3.471E-4	0.002	0.250	0.000	0.213	0.000
8	0.239	0.000	0.023	0.068	0.000	0.026	1.565	4.787	0.008	0.688	3.808E-4	0.003	0.538	0.000	0.246	0.000
9	0.268	0.000	0.012	0.137	0.000	0.183	1.694	5.077	0.004	0.850	3.626E-6	0.007	0.980	0.000	0.218	0.000
10	0.298	0.000	0.001	0.351	0.000	0.492	1.599	5.246	0.015	0.759	0.000	0.055	1.259	0.000	0.197	0.000
11	0.328	0.000	1.461E-4	0.509	0.000	0.936	1.574	4.870	0.043	0.666	0.000	0.269	1.383	6.995E-5	0.245	0.000
12	0.358	7.715E-6	0.008	0.591	0.000	1.362	1.647	4.434	0.034	0.681	3.391E-8	0.666	1.501	0.004	0.482	0.000
13	0.388	0.001	0.044	0.762	0.000	1.322	1.762	4.273	0.050	0.679	1.876E-5	0.930	1.671	0.017	0.785	0.000
14	0.417	0.015	0.053	1.278	1.932E-7	1.154	2.021	4.516	0.107	0.587	8.183E-4	1.120	1.826	0.016	1.021	0.000
15	0.447	0.041	0.027	2.311	8.252E-5	1.071	2.675	4.883	0.233	0.544	0.011	1.516	1.960	0.007	1.213	0.000
16	0.477	0.021	0.018	3.939	0.002	1.173	3.167	4.771	0.426	0.628	0.025	1.739	2.120	0.003	1.378	0.077
17	0.507	0.008	0.080	6.239	0.012	1.400	3.030	3.936	0.718	0.747	0.024	1.448	2.109	0.005	1.414	1.592
18	0.537	0.023	0.254	8.696	0.012	1.633	2.532	2.938	1.154	0.851	0.026	1.032	1.960	0.011	1.523	2.499
19	0.567	0.086	0.657	10.711	0.008	1.787	2.379	2.319	1.716	0.940	0.030	0.792	1.741	0.016	1.942	3.227
20	0.596	0.218	1.573	11.800	0.022	1.808	2.575	2.017	2.284	1.117	0.032	0.686	1.555	0.020	2.538	3.410
21	0.626	0.421	2.713	12.072	0.038	1.702	2.829	1.854	2.759	1.322	0.045	0.700	1.467	0.045	2.864	3.267
22	0.656	0.879	3.017	11.757	0.049	1.600	3.124	1.786	3.125	1.377	0.108	0.898	1.505	0.101	2.815	3.080
23	0.686	1.788	2.475	10.642	0.096	1.627	3.639	1.899	3.551	1.586	0.303	1.290	1.681	0.086	2.700	2.616
24	0.716	2.776	1.949	8.059	0.284	1.788	4.049	2.009	3.872	1.993	0.784	1.678	1.938	0.122	2.759	1.979
25	0.745	3.249	1.783	4.763	0.772	2.055	4.011	1.976	3.683	2.542	1.679	1.852	2.215	0.268	2.901	1.559
26	0.775	3.250	1.849	2.333	1.563	2.401	3.573	1.931	3.313	3.087	2.804	1.893	2.495	0.467	3.131	1.439
27	0.805	3.116	2.124	1.108	2.322	2.738	3.204	2.070	3.430	3.541	3.577	2.055	2.721	0.867	3.452	1.483
28	0.835	3.076	2.801	0.539	2.742	2.926	2.816	2.419	3.840	3.567	3.725	2.444	2.912	1.530	3.578	1.693
29	0.865	3.208	3.445	0.232	2.712	3.016	2.410	2.831	3.913	3.158	3.608	2.843	3.055	2.381	3.281	2.107
30	0.895	3.544	3.510	0.082	2.433	3.149	2.323	3.129	3.612	2.657	3.593	3.010	3.127	3.311	2.971	2.605
31	0.924	3.851	3.409	0.049	2.268	3.341	2.519	3.264	3.234	2.394	3.618	2.993	3.145	3.979	2.936	2.883
