 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1	0.030	0.000	0	2.564	0.000	0.000	0.000	0.000	76.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	31.893	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0	0.931	0.000	0.000	0.000	0.000	47.870	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	0	0.938	0.000	0.000	0.342	1.554	21.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.266	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.000
4	0.119	0.000	0	0.000	0.000	0.000	3.264	12.214	8.049	0.000	0.000	0.000	0.000	2.295	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.647	0.000	0.000	0.000	0.000	0.000	0.973	0.000	0.000	0.000	0.000	0.000	0.000
5	0.149	0.000	0	0.000	0.675	0.000	6.600	19.994	2.911	0.000	0.000	0.588	0.000	7.916	0.000	0.000	0.285	0.214	0.000	0.000	0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.667	0.000	2.472	0.738	0.000	0.000	0.000	0.000	0.000
6	0.179	0.000	0	0.000	1.937	1.534	14.053	27.424	0.258	0.000	0.000	1.868	0.210	13.626	0.000	0.836	1.599	3.941	0.000	0.000	0.784	0.000	0.000	0.000	1.693	1.671	0.000	0.080	2.040	0.000	4.914	2.840	0.000	0.000	0.792	0.000	0.000
7	0.209	0.000	0	0.000	2.314	22.249	27.370	32.560	0.853	0.000	0.000	3.935	0.644	29.148	0.252	2.101	3.736	12.465	0.000	0.000	1.563	0.000	0.000	0.000	6.867	7.258	0.000	1.688	3.639	0.905	7.577	7.165	0.000	0.000	1.183	0.000	0.000
8	0.239	0.000	0	1.123	4.020	24.608	44.221	34.990	3.852	0.000	3.365	8.179	2.595	49.695	1.248	2.816	9.557	20.626	0.000	0.315	2.297	0.451	0.787	0.000	9.291	11.504	0.000	6.940	6.514	4.033	14.038	15.206	0.000	0.000	1.680	0.000	6.513E-4
9	0.268	0.000	0	2.537	6.713	20.759	52.216	35.780	7.276	0.000	8.632	17.189	5.474	59.403	3.980	5.459	18.655	28.422	3.699	2.513	4.866	3.778	2.328	0.000	17.196	15.676	0.000	18.741	11.425	7.887	19.946	24.585	0.000	0.830	2.282	5.404	2.911
10	0.298	2.291	0	5.046	11.093	13.061	49.689	34.920	13.264	0.730	14.992	29.808	10.112	54.130	9.964	12.757	29.246	34.255	11.865	5.704	9.172	11.736	5.002	0.162	24.945	17.821	0.456	33.032	19.105	11.520	33.163	29.259	0.000	7.302	3.131	12.053	6.232
