 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1	0.030	0.000	11.554	44.195	0.000	0.000	5.994	7.655	0.000	0.000	0.000	6.930	0.000	20.691	0.000	0.000	0.000	0.000	0.000	0.066	0.000	0.000	0.000	15.587	1.079	0.000	0.000	4.077	0.000	0.000	0.000	0.000	2.570	0.000	0.000	0.000	0.000
2	0.060	0.000	21.542	37.212	0.405	0.000	9.830	16.504	0.000	0.000	0.000	10.801	0.423	25.730	0.000	0.015	0.000	0.000	0.000	1.795	1.855	0.000	0.714	25.192	1.202	1.288	0.000	7.478	0.196	0.000	0.007	0.000	5.383	0.000	0.000	0.000	0.000
3	0.089	0.000	32.475	30.900	6.109	0.000	13.736	38.362	0.335	0.000	0.000	19.521	2.724	28.516	0.000	1.306	0.001	0.000	0.000	5.772	7.790	0.000	4.044	42.829	0.000	5.031	0.000	10.199	7.767	0.040	0.700	0.000	11.054	0.000	0.000	0.000	0.000
4	0.119	0.000	42.907	25.846	14.553	0.000	21.795	69.630	2.026	0.000	0.000	39.273	9.985	31.243	0.363	4.174	0.482	0.000	0.000	15.574	16.141	0.000	9.053	61.119	0.442	9.599	0.008	9.899	10.831	2.308	1.461	0.015	27.363	0.000	0.000	0.000	0.000
5	0.149	0.000	50.293	21.287	21.052	0.000	35.728	88.692	4.692	0.000	0.000	73.396	29.901	35.826	3.474	8.250	2.609	0.000	0.000	32.566	34.103	0.000	23.958	65.236	8.127	21.889	0.939	8.444	12.955	6.773	4.256	1.502	51.921	0.923	1.341	0.000	0.000
6	0.179	0.000	54.116	16.303	32.754	0.000	53.305	82.250	9.372	0.000	0.000	99.094	60.974	43.016	8.380	18.103	8.886	6.680	0.000	46.289	60.988	0.000	51.125	55.960	15.056	40.863	3.905	10.080	21.514	10.791	11.621	5.708	62.654	4.788	4.373	0.000	0.000
7	0.209	0.000	54.751	14.677	50.057	0.000	70.714	64.793	20.078	0.000	0.314	93.039	78.031	50.710	21.273	40.712	26.183	17.669	0.000	44.416	83.714	0.000	70.475	46.338	19.864	55.891	11.456	13.302	43.840	20.687	21.433	13.330	53.288	12.118	9.279	0.000	0.000
8	0.239	0.000	55.573	16.190	64.294	7.919	85.253	52.460	38.890	0.000	9.853	66.554	67.373	56.753	41.041	72.582	52.995	17.865	0.000	33.594	92.098	1.509	67.160	42.323	30.097	58.127	29.191	24.913	74.978	40.632	30.749	26.594	40.997	28.869	21.325	0.000	0.184
9	0.268	6.171	56.022	24.532	66.210	39.649	94.637	45.810	61.401	0.000	17.086	46.674	47.270	60.616	51.336	89.918	70.534	21.280	1.497	26.396	90.173	8.299	56.741	44.127	48.699	54.150	50.426	44.061	90.682	61.589	38.890	41.736	36.447	48.301	44.282	5.246	6.147
10	0.298	10.594	53.235	41.981	59.502	59.567	98.923	40.081	73.912	3.590	26.674	37.984	35.055	63.663	46.367	79.394	65.635	32.362	13.708	25.704	89.165	10.669	51.611	48.517	69.391	50.435	56.262	54.765	78.720	65.845	49.587	48.099	42.075	54.185	61.184	12.347	10.509
11	0.328	21.588	45.560	59.882	56.417	64.778	102.564	35.469	68.727	16.780	40.718	37.425	30.335	68.349	36.614	55.992	53.319	50.735	21.886	28.260	94.646	18.568	51.797	52.508	77.567	50.042	46.980	49.660	56.991	57.764	61.810	42.849	58.058	48.276	57.094	25.859	22.055
12	0.358	42.982	38.867	64.186	63.621	62.531	111.557	35.131	55.006	23.418	57.255	40.193	29.635	75.791	29.007	36.087	45.656	64.798	28.603	29.513	99.465	36.483	52.672	55.910	71.157	51.691	38.500	40.435	40.629	48.223	69.860	33.555	79.331	45.288	44.561	40.928	50.253
13	0.388	67.441	40.308	59.022	74.659	65.220	119.435	38.438	45.494	28.350	65.409	40.415	31.595	83.854	25.956	24.549	45.210	67.437	31.232	28.981	94.381	54.592	53.534	60.259	60.620	50.691	36.906	36.632	33.176	45.736	69.585	27.799	88.109	50.431	36.328	43.472	79.947
14	0.417	81.468	52.037	56.372	73.795	69.459	115.403	43.727	42.137	31.175	52.051	38.020	37.175	88.164	29.246	19.773	50.953	67.109	28.967	29.016	76.970	51.608	56.700	63.714	52.825	43.931	40.206	40.320	32.127	50.384	63.613	27.228	76.376	55.194	34.830	30.949	54.841
15	0.447	75.816	70.592	62.316	58.214	66.922	97.892	51.536	41.028	27.474	27.748	37.214	49.695	84.861	39.736	20.452	61.753	66.007	25.676	32.394	54.572	32.298	64.675	58.945	50.753	35.849	43.370	49.846	32.710	59.615	55.099	32.851	55.239	45.686	40.962	17.575	12.611
16	0.477	39.800	84.641	68.096	39.896	53.122	76.576	62.393	38.978	21.182	11.554	41.981	67.704	76.632	51.573	27.755	70.049	56.457	23.402	41.991	36.695	16.058	77.407	44.459	50.037	35.105	39.844	57.307	32.221	64.990	47.212	43.708	38.395	25.671	54.169	10.094	6.823
17	0.507	39.800	82.186	42.629	27.381	32.237	59.764	68.331	37.955	19.595	5.100	53.661	71.209	69.878	52.275	44.122	61.615	39.086	17.762	52.851	27.003	8.985	86.490	26.706	43.862	42.871	27.786	47.916	30.706	56.247	42.654	50.164	25.659	11.511	63.434	6.430	0.000
18	0.537	0.000	69.347	42.629	22.185	15.626	50.966	60.450	41.379	26.620	1.107	67.642	49.251	64.296	39.692	64.071	35.202	22.959	12.549	47.487	21.596	4.931	80.568	14.504	29.365	54.814	15.722	24.944	30.088	34.450	40.967	39.958	14.465	5.565	53.470	0.000	0.000
19	0.567	0.000	56.342	0.000	23.292	7.062	52.569	41.849	49.997	42.940	0.000	68.092	23.223	60.664	24.983	64.023	12.674	15.083	16.817	26.471	16.302	0.172	63.316	9.126	15.746	59.106	9.331	8.983	32.534	15.071	41.526	20.538	5.131	0.680	30.290	0.000	0.000
20	0.596	0.000	51.429	0.000	27.802	3.445	60.141	25.943	61.207	58.189	0.000	45.312	10.015	52.422	16.898	39.294	3.625	12.797	21.319	10.806	6.374	0.000	47.469	5.757	8.966	54.100	4.661	2.952	35.052	5.721	46.397	8.358	0.581	0.000	13.570	0.000	0.000
21	0.626	0.000	53.942	0.000	29.402	1.456	66.275	17.168	69.573	61.003	0.000	18.902	5.783	42.317	13.587	16.835	0.988	6.116	28.752	5.403	0.975	0.000	37.962	2.058	4.155	51.446	0.677	0.268	29.966	2.080	58.413	3.322	0.000	0.025	7.049	0.000	0.000
22	0.656	0.000	57.724	0.000	24.732	0.155	56.954	12.300	66.301	49.470	0.000	6.217	1.664	32.895	5.936	6.947	0.024	0.523	35.800	1.995	0.000	0.000	32.590	0.000	0.020	56.208	0.000	0.000	17.119	0.338	73.558	0.604	0.000	1.486	3.071	0.000	0.000
23	0.686	0.000	56.248	0.000	16.690	1.416E-4	35.156	5.684	46.310	33.986	0.000	3.156	0.000	24.396	0.045	3.529	0.000	0.000	43.553	0.000	0.000	0.000	27.807	0.000	0.000	60.016	0.000	0.000	7.579	0.000	74.628	0.000	0.000	10.846	0.041	0.000	0.000
24	0.716	0.000	45.074	0.000	10.920	0.000	15.827	0.124	22.636	21.947	0.000	1.507	0.000	16.218	0.000	0.919	0.000	0.000	51.215	0.000	0.005	0.000	21.763	0.000	0.000	48.661	1.441	0.000	2.283	0.000	53.425	0.000	0.000	17.200	0.000	0.000	0.000
25	0.745	0.000	29.453	0.000	2.076	0.000	6.370	0.000	9.182	14.751	0.000	0.000	0.000	8.896	0.000	0.000	0.000	0.000	59.718	0.000	0.000	0.000	16.996	0.000	0.000	26.201	5.966	0.000	0.076	0.000	28.403	0.000	0.000	24.136	0.000	0.000	0.000
26	0.775	0.000	17.700	0.000	0.000	0.000	3.380	0.000	2.952	10.106	0.000	0.000	0.000	4.215	0.000	0.000	0.000	0.000	66.302	0.000	0.000	0.000	5.418	0.000	0.000	9.777	10.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
