 	X	Y	Angle	Area	LenEll	WidEll	LenSke
1	16.507	3.124	72.326	0.245	0.740	0.422	0.348
2	8.649	4.657	129.820	0.234	0.654	0.455	0.169
3	24.888	4.863	26.064	0.114	0.409	0.354	0.000
4	14.759	5.875	53.784	0.362	1.060	0.435	0.655
5	13.277	7.591	75.853	0.368	0.940	0.499	0.581
6	14.252	7.253	56.990	0.027	0.239	0.142	0.072
7	13.896	7.826	67.034	0.116	0.419	0.351	0.072
8	9.788	8.721	20.735	0.249	0.997	0.318	2.625
9	12.261	12.032	64.528	0.446	1.546	0.368	1.284
10	29.829	11.658	154.241	0.649	1.224	0.675	0.683
11	10.991	13.780	46.535	0.116	0.437	0.339	0.084
12	8.660	19.647	70.174	2.105	6.588	0.407	6.853
13	7.921	20.219	74.554	0.469	2.122	0.281	1.736
14	6.206	26.331	67.935	0.489	1.751	0.356	1.361
15	4.967	30.463	4.694	0.027	0.218	0.155	0.060
