 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
1	0.030	0.000	0.000	56.041	0.000	0.000	0.242	0.000	56.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.591	0.000	0.000	0.000	0.000	0.000	0.000	0.278	20.870	0.000	58.212	0.000	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000
2	0.060	0.000	0.035	62.697	0.000	0.000	0.398	0.000	46.535	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.768	0.000	44.380	0.000	0.000	0.307	0.000	0.000	0.000	0.000	0.000	0.000
3	0.089	0.000	6.297	68.047	0.268	0.000	0.662	0.000	34.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.973	0.000	24.561	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
4	0.119	0.000	14.173	68.355	8.828	0.000	1.102	0.000	25.436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	26.648	0.000	0.000	0.000	0.000	1.158	0.000	0.000	4.080	0.000	12.201	0.000	0.000	1.864	0.000	0.000	0.000	0.000	0.000	0.000
5	0.149	0.000	17.427	60.988	13.016	0.000	1.066	0.000	19.060	0.000	0.000	0.000	0.000	0.109	0.000	0.069	0.000	27.985	0.000	0.000	0.246	0.000	8.518	0.000	0.000	0.257	0.000	7.194	0.000	0.000	4.242	0.000	0.000	0.000	0.000	0.000	0.000
6	0.179	0.000	22.860	48.603	14.199	0.000	2.104	0.321	13.525	0.000	0.000	0.800	0.002	0.579	0.000	2.399	0.096	27.346	0.000	0.000	1.250	0.000	15.503	0.000	1.164	0.000	0.000	3.642	1.272	1.201	8.587	0.000	0.027	0.000	0.006	0.000	0.000
7	0.209	0.000	27.827	36.679	23.983	0.000	1.985	1.634	14.367	0.000	0.000	2.439	0.193	0.969	0.000	4.894	1.000	24.368	0.000	0.000	2.025	0.000	16.700	0.000	4.191	0.000	0.000	0.507	2.986	5.174	14.414	0.569	2.050	0.000	0.666	0.000	0.000
8	0.239	0.000	26.580	27.977	36.352	0.000	1.383	2.949	20.218	0.000	0.434	4.091	0.473	1.661	0.710	7.948	2.620	20.541	0.000	0.418	3.714	0.526	19.776	0.000	5.579	0.167	9.752E-6	2.878	5.540	13.218	22.693	2.655	6.234	0.000	5.024	0.000	0.108
9	0.268	0.000	21.771	23.297	42.840	0.000	0.473	6.743	27.782	0.000	8.448	6.498	0.836	2.191	3.001	12.245	7.929	13.302	0.054	1.528	8.348	3.595	25.695	0.024	7.112	2.856	1.664	5.046	7.860	28.043	30.233	5.126	12.169	0.000	10.712	2.714	1.964
10	0.298	1.476	20.001	21.381	40.364	8.455	0.000	12.139	36.851	6.546	13.325	8.990	2.648	3.237	8.214	18.157	16.988	11.052	5.588	3.974	12.192	5.437	32.752	2.125	9.304	8.056	5.497	8.091	11.098	43.375	33.776	8.582	24.256	0.000	17.394	5.995	3.753
11	0.328	4.069	25.785	20.107	35.498	36.152	0.000	19.788	41.713	17.309	19.482	13.898	6.562	4.204	18.283	25.208	24.756	12.959	15.956	8.633	15.695	10.006	38.109	2.955	13.340	14.954	12.721	9.514	17.062	51.176	33.037	14.472	38.955	0.000	24.788	11.329	8.316
12	0.358	7.718	39.592	19.311	34.336	50.797	0.000	27.589	42.658	21.071	27.905	21.014	11.373	4.830	29.844	30.861	29.700	17.969	24.438	14.776	20.800	20.559	38.137	6.389	18.387	28.579	21.627	11.105	24.522	50.858	30.607	22.816	46.727	0.105	33.248	17.445	19.220
13	0.388	16.093	54.597	20.376	37.915	47.992	0.000	31.127	42.352	26.129	36.798	25.776	18.788	5.969	36.652	35.010	30.103	24.761	28.898	21.549	28.240	30.393	35.114	11.064	24.891	43.589	29.778	10.519	33.811	46.399	27.563	30.375	48.588	0.336	41.448	18.519	31.556
14	0.417	29.259	61.309	24.101	30.951	33.725	0.000	33.572	42.891	29.316	35.500	26.956	27.123	5.347	35.640	38.634	25.422	27.580	26.957	29.185	37.459	27.541	29.794	17.500	29.144	51.361	37.220	8.002	39.836	37.143	22.991	32.438	49.990	0.572	41.316	12.801	21.989
15	0.447	40.769	57.884	31.664	30.510	23.079	0.000	38.404	42.134	27.543	22.474	27.229	32.575	3.991	28.937	39.485	18.965	24.566	22.771	34.409	43.797	17.122	24.673	24.346	28.523	56.320	42.181	4.449	40.869	22.891	17.695	28.663	52.438	0.816	31.796	6.979	4.420
16	0.477	28.302	49.085	39.555	24.410	17.056	0.123	44.295	36.977	22.134	10.833	26.636	29.437	3.007	18.418	34.976	12.227	17.970	20.205	33.455	43.402	8.498	19.644	33.626	22.550	60.837	37.320	1.699	37.927	10.180	14.030	20.684	50.345	0.863	18.627	3.957	2.102
17	0.507	20.479	37.467	27.472	16.363	10.455	0.257	44.252	27.968	19.334	5.707	21.596	18.920	3.350	10.182	25.985	7.358	11.078	20.106	24.823	37.709	3.423	15.275	41.837	14.934	55.406	23.028	0.424	33.461	2.560	11.856	11.720	38.787	0.308	7.999	2.436	0.000
18	0.537	0.000	25.759	27.472	10.959	0.596	0.706	35.648	17.615	23.531	2.394	12.288	9.749	3.467	5.635	14.793	3.158	4.880	18.531	12.801	30.755	0.641	11.366	40.669	9.847	36.574	10.377	0.101	28.263	0.201	8.715	5.095	22.172	0.000	1.650	0.000	0.000
19	0.567	0.000	16.869	0.000	9.058	0.000	1.409	22.670	9.516	36.601	0.082	4.578	5.133	3.121	3.466	7.236	1.250	1.385	22.450	5.508	23.934	0.000	7.361	27.375	4.865	18.367	4.195	0.000	21.811	0.000	8.181	1.680	8.596	0.000	0.000	0.000	0.000
20	0.596	0.000	10.205	0.000	9.111	0.000	1.434	11.846	3.866	52.936	0.000	3.265	2.985	1.904	1.474	3.276	0.251	1.656	36.910	1.434	17.869	0.000	2.802	12.777	0.499	8.221	0.449	0.000	15.070	0.000	3.502	0.261	1.190	0.009	0.000	0.000	0.000
21	0.626	0.000	5.334	0.000	8.869	0.000	2.297	3.908	0.440	61.603	0.000	4.997	0.764	0.975	0.041	1.235	0.000	6.247	55.813	0.000	12.502	0.000	0.419	4.926	0.000	4.141	0.000	0.000	8.750	0.000	0.000	0.000	0.000	1.860	0.000	0.000	0.000
22	0.656	0.000	0.962	0.000	3.507	0.717	1.604	0.000	0.000	58.181	0.000	8.910	0.000	0.602	0.000	0.000	0.000	14.807	64.555	0.000	6.458	0.000	0.000	1.147	0.000	1.152	0.000	0.000	4.241	0.000	0.000	0.000	0.000	9.456	0.000	0.000	0.000
23	0.686	0.000	0.209	0.000	0.000	5.657	0.829	0.000	0.000	49.303	0.000	15.621	0.000	0.414	0.000	0.000	0.000	23.390	62.350	0.000	0.057	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.717	0.000	0.000	0.000	0.000	11.654	0.000	0.000	0.000
24	0.716	0.000	0.000	0.000	0.000	10.252	0.314	4.468	0.000	38.260	0.000	23.456	0.000	0.000	0.000	0.000	0.000	29.812	60.392	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.948	0.000	0.000	0.000
25	0.745	0.000	0.000	0.000	0.000	13.446	0.000	9.209	0.000	27.468	0.000	29.008	0.000	0.000	0.000	0.000	0.000	34.145	62.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37.637	0.000	0.000	0.000
26	0.775	0.000	0.000	0.000	0.000	18.568	0.000	0.000	0.000	18.655	0.000	31.452	0.000	0.000	0.000	0.000	0.000	35.845	64.856	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
