 	X	Y	Angle	Area	LenEll	WidEll	LenSke	MitoSkelPos
1	0.753	2.093	154.433	0.402	1.899	0.269	1.868	1
2	1.537	2.061	173.719	0.041	0.259	0.200	0.025	8
3	0.038	2.241	90.000	0.009	0.141	0.085	0.050	2
4	0.531	2.404	168.452	0.026	0.238	0.141	0.111	5
5	0.247	2.510	154.419	0.023	0.219	0.135	0.060	4
6	0.714	2.567	0.000	0.013	0.129	0.129	0.025	7
7	3.941	2.615	174.016	0.020	0.189	0.136	0.050	11
8	6.412	2.746	165.748	0.148	0.540	0.349	0.035	14
9	8.462	2.782	173.655	0.487	1.931	0.321	1.838	16
10	0.533	2.703	42.195	0.031	0.214	0.186	0.025	7
11	5.338	2.709	174.634	0.090	0.571	0.201	0.307	13
12	0.148	3.561	88.851	0.325	1.826	0.227	1.510	3
13	5.570	3.167	177.921	0.583	2.556	0.290	2.847	12
14	2.322	3.343	72.273	0.149	0.726	0.261	0.463	9
15	11.183	3.210	0.150	0.040	0.291	0.175	0.075	18
16	14.047	3.644	160.767	0.565	1.216	0.592	0.951	19
17	7.449	3.405	0.000	0.024	0.187	0.162	0.025	15
18	8.517	3.430	40.037	0.020	0.170	0.150	0.035	17
19	4.039	3.918	65.619	0.277	1.025	0.344	1.163	10
20	23.300	4.144	145.879	0.318	1.920	0.211	1.719	23
21	16.319	4.405	3.012	1.687	2.328	0.923	3.519	21
22	15.471	5.330	45.001	0.019	0.163	0.146	0.000	0
23	14.611	6.197	0.000	0.013	0.129	0.129	0.025	20
