 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.025	0.000	49.664	0.000	11.337	54.262	7.000	0.000	50.298	0.000	39.648	66.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.502	0.000	0.000
2	0.050	0.000	47.014	0.000	12.672	54.335	2.000	0.000	50.422	0.000	38.387	55.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.289	0.000	0.000
3	0.075	0.000	40.303	0.000	14.093	51.420	0.000	0.000	46.574	0.000	35.213	42.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.682	0.000	0.000
4	0.100	0.000	32.468	0.000	15.285	45.515	0.000	0.000	37.158	0.000	30.477	28.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80.088	0.000	0.000
5	0.125	0.000	24.789	0.000	15.449	37.013	7.500	0.000	24.722	0.000	25.009	17.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	81.696	0.000	0.000
6	0.150	0.000	18.580	0.000	15.156	28.570	10.300	0.000	11.478	0.000	17.633	5.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82.805	0.000	0.000
7	0.175	0.000	11.596	0.000	14.540	22.172	10.500	0.000	2.851	0.000	10.708	0.000	0.000	0.000	0.000	0.000	1.521	0.000	0.000	0.000	0.000	84.330	0.000	0.000
8	0.200	0.000	4.970	0.000	13.818	11.817	10.600	0.000	0.000	0.000	5.712	0.000	0.000	0.000	0.000	0.000	3.721	0.000	0.000	0.000	0.000	85.339	0.000	0.000
9	0.225	0.000	0.000	0.000	13.620	0.451	10.400	0.000	0.000	0.000	3.833	0.000	0.000	0.414	0.000	0.000	3.829	0.000	0.967	0.000	0.000	83.075	0.024	0.000
10	0.250	0.989	0.000	0.000	13.537	0.000	10.100	0.000	1.081	0.000	6.060	0.193	2.799	11.498	1.099	0.000	6.483	0.000	3.451	0.874	0.000	74.503	1.342	0.000
11	0.275	8.489	0.946	0.000	12.474	0.378	14.100	0.000	10.223	0.284	9.168	1.088	2.948	22.192	9.163	4.700	9.344	7.500	7.875	7.601	1.683	59.788	3.432	0.000
12	0.301	19.245	11.069	0.000	10.748	6.724	14.000	0.670	20.268	1.193	12.721	2.764	6.224	36.355	17.200	13.000	10.138	9.700	16.476	18.243	3.934	42.115	5.979	8.200
13	0.326	29.863	15.606	42.700	13.218	16.207	14.000	8.307	30.023	1.718	15.630	5.313	8.446	49.390	26.522	24.500	12.200	13.900	28.866	26.721	5.427	26.907	9.948	9.300
14	0.351	41.808	20.646	42.700	13.464	22.378	14.500	14.219	39.908	3.278	16.189	10.313	9.382	57.557	34.624	39.300	13.479	19.200	38.875	33.549	6.446	16.040	14.541	10.900
15	0.376	50.982	24.957	46.400	13.938	23.607	14.500	21.986	45.947	4.157	15.630	18.004	9.055	58.322	39.198	50.300	15.119	22.900	41.114	39.219	6.587	5.399	16.847	13.600
16	0.401	56.261	26.810	33.600	14.050	22.520	14.500	28.573	46.387	5.125	14.498	25.272	8.096	52.819	38.992	51.000	17.044	22.500	34.452	45.207	5.630	0.396	17.103	16.600
17	0.426	55.739	25.304	21.400	13.189	19.331	13.900	29.491	41.361	5.622	13.007	31.643	6.368	42.492	34.251	41.300	16.503	18.700	24.048	51.775	3.974	0.007	15.301	17.700
18	0.451	49.407	21.645	15.400	12.851	15.125	13.200	24.206	33.678	5.491	11.686	34.511	4.844	30.809	26.369	27.800	15.238	13.200	13.680	57.327	2.534	0.000	11.372	15.100
19	0.476	38.970	17.163	0.000	12.193	14.808	12.700	16.155	25.177	4.707	8.391	31.868	2.118	20.992	18.445	16.200	12.834	8.500	6.239	59.863	1.113	0.000	6.584	10.500
20	0.501	27.817	12.937	0.000	11.271	15.375	6.400	9.234	17.453	3.611	5.220	24.946	1.445	13.819	11.109	8.800	9.978	5.300	2.409	56.363	0.460	0.000	3.468	5.500
21	0.526	19.078	9.354	0.000	8.464	13.342	6.200	4.447	11.472	2.735	2.370	16.722	0.000	3.954	4.779	0.700	7.368	0.000	0.505	45.990	0.000	0.000	1.194	0.000
22	0.551	12.137	4.896	0.000	0.649	13.299	5.800	0.122	5.749	1.560	0.287	8.066	0.000	0.000	1.963	0.000	4.897	0.000	0.000	31.553	0.000	0.000	0.000	0.000
23	0.576	6.360	0.499	0.000	0.000	15.138	5.500	0.000	1.952	0.000	0.000	0.051	0.000	0.000	0.274	0.000	2.990	0.000	0.000	17.737	0.000	0.000	0.000	0.000
24	0.601	0.035	0.000	0.000	1.019	16.721	4.900	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.778	0.000	0.000	8.157	0.000	0.000	0.000	0.000
25	0.626	0.000	0.000	0.000	7.530	18.134	2.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.750	0.000	0.000	2.361	0.000	0.000	0.000	0.000
26	0.651	0.000	0.000	0.000	21.947	18.979	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000
27	0.676	0.000	0.000	0.000	34.831	17.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.701	1.416	0.000	0.000	44.682	8.842	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
