 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.025	15.289	80.152	0.000	14.098	50.603	19.600	0.000	55.600	0.000	17.385	50.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	28.408	0.000	0.000
2	0.050	15.797	76.176	0.000	15.239	59.422	12.100	0.000	44.462	0.000	17.964	49.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	45.521	0.000	0.000
3	0.075	15.982	70.457	0.000	16.564	66.212	2.600	0.000	32.548	0.000	18.980	47.772	0.000	0.000	0.000	0.000	2.976	0.000	0.000	0.000	0.000	64.151	0.000	0.000
4	0.100	15.940	62.213	0.000	17.387	67.909	0.000	0.000	19.147	0.000	19.301	43.065	0.000	0.000	0.000	0.000	14.868	0.000	0.000	0.000	0.000	77.021	0.000	0.000
5	0.125	15.046	52.477	0.000	17.166	61.917	1.400	0.000	3.435	0.000	18.690	34.280	0.000	0.000	0.000	0.000	24.897	0.000	0.000	1.220	0.000	80.406	0.000	0.000
6	0.150	10.320	40.361	0.000	15.898	49.896	4.000	0.000	0.000	0.000	16.234	21.146	0.000	0.000	0.000	0.000	38.807	0.000	0.000	9.592	0.000	77.796	0.000	0.000
7	0.175	0.924	29.243	0.000	14.458	35.971	4.100	0.000	2.322	0.000	11.468	6.281	0.000	0.000	0.000	0.000	53.233	0.000	0.000	17.428	0.000	73.022	0.000	0.000
8	0.200	0.000	19.398	0.000	13.768	25.022	4.300	0.000	15.045	0.000	6.217	0.000	0.000	0.432	3.267	0.000	62.775	0.000	0.000	29.192	0.000	70.124	0.000	0.000
9	0.225	0.000	0.799	0.000	12.565	16.117	4.300	0.000	27.450	0.000	5.840	0.580	11.300	14.746	12.829	0.000	64.930	0.000	0.611	44.429	0.011	69.248	0.008	0.000
10	0.250	4.498	1.371	0.000	10.288	2.341	4.200	0.000	40.585	0.000	11.969	17.041	11.300	25.198	24.756	0.125	60.866	0.000	4.660	57.959	2.450	68.880	2.692	0.000
11	0.275	22.879	19.551	0.000	3.306	3.886	14.500	0.664	51.992	0.000	12.695	30.050	34.500	38.120	41.899	14.044	54.660	10.200	10.715	64.847	8.771	68.212	6.513	0.000
12	0.301	33.306	27.112	0.000	9.898	16.160	14.400	10.975	57.870	4.957	14.409	43.550	52.800	51.050	59.792	25.650	49.890	13.800	20.550	64.603	17.566	66.896	9.439	9.800
13	0.326	43.954	35.098	52.700	12.999	24.800	14.600	18.292	58.546	17.594	16.448	56.976	65.600	62.997	71.311	40.917	48.557	20.400	36.678	61.608	32.210	65.951	12.448	11.500
14	0.351	55.195	43.528	52.700	14.748	32.189	15.100	29.535	57.448	29.643	18.043	66.260	73.700	72.543	75.055	55.450	49.295	27.600	54.665	59.356	49.845	66.929	15.780	13.400
15	0.376	65.308	50.048	59.200	16.410	38.221	15.100	41.067	56.945	45.393	18.391	69.182	77.100	77.902	74.435	65.533	50.828	31.800	65.376	57.837	63.689	70.299	17.582	16.000
16	0.401	72.066	54.114	44.500	17.967	41.203	14.800	46.316	56.716	61.867	17.637	67.250	75.600	78.314	71.808	67.633	51.858	31.000	63.298	53.419	69.694	75.589	17.306	17.700
17	0.426	74.421	54.114	27.700	18.680	38.709	13.700	41.184	56.703	74.206	16.378	62.080	67.700	74.309	66.022	61.371	51.072	25.200	49.492	43.559	68.145	81.254	15.553	17.900
18	0.451	71.376	48.733	18.900	18.673	32.330	12.700	29.412	58.612	79.740	14.787	54.780	53.700	66.733	54.379	47.639	48.671	16.900	31.495	29.517	60.196	87.459	13.002	14.800
19	0.476	62.060	38.014	0.000	18.147	24.586	11.400	16.918	62.678	79.573	13.069	44.435	36.500	56.390	37.989	31.237	46.125	9.900	16.891	17.487	46.749	92.513	10.321	9.800
20	0.501	48.627	25.316	0.000	17.709	18.846	1.200	9.022	66.202	74.767	11.201	31.763	22.100	43.952	22.417	18.197	44.386	6.100	7.921	9.640	31.116	95.048	7.686	5.100
21	0.526	35.330	15.932	0.000	15.442	14.893	1.100	0.668	66.277	65.955	9.344	19.797	1.600	30.541	11.336	10.609	43.495	0.000	2.398	4.059	17.910	92.844	3.442	0.000
22	0.551	25.655	10.240	0.000	2.158	3.997	1.000	0.000	59.997	52.308	2.962	2.651	0.000	19.309	1.899	0.393	44.882	0.000	0.030	0.486	9.404	86.468	0.046	0.000
23	0.576	16.329	0.940	0.000	0.000	0.000	1.000	0.000	47.508	35.456	0.000	0.000	0.000	7.971	0.000	0.000	49.100	0.000	0.000	0.000	1.907	78.583	0.000	0.000
24	0.601	2.510	0.000	0.000	0.000	0.922	0.900	0.000	33.085	20.205	0.000	0.000	0.000	0.000	0.000	0.000	55.403	0.000	0.000	0.000	0.000	72.388	0.000	0.000
