 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	0.025	0.000	63.911	0.000	5.231	23.717	42.900	0.000	31.898	0.000	7.203	58.007	0.000	37.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	78.818	0.000	0.000
2	0.050	0.000	70.033	0.000	5.059	35.746	34.500	0.000	18.555	0.000	11.185	56.622	0.000	20.896	0.000	0.000	0.000	0.000	0.000	0.000	0.000	82.010	0.000	0.000
3	0.075	0.000	72.779	0.000	5.648	41.115	21.900	0.000	3.109	0.000	15.340	52.733	0.000	10.598	0.000	0.000	0.000	0.000	0.000	0.000	0.000	78.345	0.000	0.000
4	0.100	0.000	71.142	0.000	5.987	48.573	13.400	0.000	0.000	0.000	18.277	44.602	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.580	0.000	0.000
5	0.125	0.000	64.875	0.000	6.124	45.471	2.400	0.000	0.000	0.000	18.931	32.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.942	0.000	0.000
6	0.150	0.000	54.421	0.000	8.054	38.163	0.000	0.000	0.000	0.000	18.052	21.533	0.000	0.298	0.000	0.000	0.000	0.000	0.000	0.000	0.000	49.511	0.000	0.000
7	0.175	0.000	41.780	0.000	14.050	28.264	0.000	0.000	0.000	0.000	16.340	13.447	0.000	12.319	0.000	0.000	0.000	0.000	0.000	1.389	0.000	42.825	0.000	0.000
8	0.200	0.000	30.399	0.000	13.180	11.668	0.000	0.000	1.185	0.006	13.676	0.459	12.600	21.541	0.000	0.000	0.000	0.000	0.000	3.425	0.000	39.248	0.000	0.000
9	0.225	0.000	8.846	0.000	11.483	1.679	0.000	0.000	4.132	7.375	9.569	0.000	12.600	34.600	0.607	0.000	3.691	0.000	0.050	2.866	0.000	38.976	0.000	0.000
10	0.250	0.000	0.000	0.000	10.127	0.422	0.000	0.000	9.182	19.120	7.778	0.000	19.100	48.950	5.083	0.000	14.088	0.000	1.476	1.792	0.000	40.891	0.594	0.000
11	0.275	0.000	5.507	0.000	11.065	6.117	7.500	1.163E-4	14.531	28.649	8.195	0.471	19.500	58.591	6.957	6.800	25.602	4.200	4.852	0.884	0.000	45.905	2.110	0.000
12	0.301	0.000	16.721	0.000	15.112	13.752	9.900	4.576	20.281	42.118	9.585	10.638	16.600	59.615	9.806	11.600	43.762	6.800	10.910	1.842	0.958	54.023	4.403	4.800
13	0.326	0.000	22.006	36.300	16.029	18.538	9.700	8.778	26.304	55.790	13.474	18.487	13.700	51.815	13.833	15.300	63.741	8.800	19.941	2.283	2.758	61.673	7.770	7.100
14	0.351	0.000	24.340	36.300	16.274	24.893	9.400	12.845	31.769	65.480	14.113	24.846	13.300	38.563	18.693	18.600	78.450	11.400	29.087	2.739	5.374	66.677	11.643	7.300
15	0.376	0.000	26.568	44.400	15.528	30.432	9.200	18.361	36.394	68.265	13.837	32.229	15.800	25.725	24.476	20.800	83.035	13.000	34.304	4.940	7.425	66.864	13.805	7.400
