 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.550	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.437	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7	0.175	0.000	0.000	2.352	0.000	0.000	0.000	0.005	2.251	0.393	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.200	0.000	0.000	12.455	0.000	0.000	0.000	0.640	1.189	3.824	1.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.642
9	0.225	0.000	0.058	24.138	0.000	0.000	0.982	3.935	0.060	4.728	10.666	0.000	0.000	0.000	0.982	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.980
10	0.250	0.694	2.288	41.686	0.000	0.006	4.191	9.536	0.000	5.585	16.615	0.283	0.000	0.126	4.825	10.146	1.764	0.000	2.779	0.000	0.592	0.000	0.000	0.387	12.811
11	0.275	6.587	6.930	61.939	0.131	4.101	8.085	16.954	0.900	6.502	22.552	1.638	1.924	1.785	10.342	16.840	7.500	0.000	9.428	0.000	6.082	0.000	0.832	3.410	19.161
12	0.300	15.927	15.091	77.328	6.907	10.411	12.229	25.445	9.079	7.440	30.776	4.005	6.488	5.243	17.756	23.292	13.761	0.000	19.069	0.000	16.033	0.000	5.230	8.283	26.996
13	0.325	25.890	25.654	84.976	19.955	23.584	16.457	32.993	18.633	8.804	36.653	6.978	9.821	10.954	25.078	31.027	22.036	0.000	33.131	15.500	28.652	0.000	9.153	17.682	32.052
14	0.350	35.217	34.353	85.041	33.868	42.161	20.045	38.245	24.848	10.166	38.241	9.921	13.570	18.511	31.515	39.683	32.679	0.000	47.298	22.000	41.684	4.013	15.229	30.885	35.437
15	0.375	40.797	36.027	78.167	44.609	55.752	22.580	40.376	31.946	11.663	35.780	12.704	17.860	25.492	36.472	45.185	43.147	0.000	55.871	29.500	48.608	14.144	22.351	42.065	37.059
16	0.400	41.886	30.861	64.813	51.889	54.906	23.331	38.813	37.048	12.713	30.203	14.666	20.237	28.863	40.960	44.983	51.489	0.000	55.830	33.800	47.157	21.847	27.867	45.157	35.956
17	0.425	36.395	21.565	46.899	51.955	39.093	21.157	33.492	36.634	12.125	23.007	15.572	19.323	29.062	42.297	38.121	55.195	0.000	46.613	31.100	39.098	31.781	30.922	38.330	31.845
18	0.450	26.889	11.751	29.053	43.326	20.332	15.822	24.871	30.381	11.654	15.346	15.136	16.621	25.408	40.608	28.298	54.752	0.000	34.062	22.600	27.764	47.188	30.455	25.993	24.722
19	0.475	16.558	4.982	14.525	29.472	8.471	9.545	14.769	20.935	12.822	9.175	13.369	12.390	18.641	34.835	18.790	50.603	0.000	23.124	12.700	17.340	64.507	26.149	12.339	16.593
20	0.500	9.032	1.413	4.043	17.407	0.304	4.411	7.230	12.044	13.665	3.615	8.051	6.650	12.516	25.120	6.087	43.821	0.000	7.111	0.000	9.207	78.722	19.850	3.098	8.742
21	0.525	3.734	5.711	0.000	10.322	0.000	1.160	1.273	6.272	14.162	0.554	3.025	2.148	7.700	15.072	0.000	32.970	0.000	0.000	0.000	3.851	86.394	13.840	0.093	3.341
22	0.550	0.490	14.787	0.000	3.158	0.000	0.000	0.000	1.258	12.600	0.000	0.098	0.000	3.846	7.277	0.000	18.143	2.062	0.000	0.000	0.232	87.895	8.538	0.000	0.833
23	0.575	0.000	27.548	0.000	0.077	0.000	0.000	0.000	0.000	2.333	0.000	0.000	0.000	0.486	3.387	0.000	4.527	4.923	0.000	0.000	0.000	83.919	3.756	0.000	0.000
24	0.600	0.000	46.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	10.056	0.000	0.000	0.000	73.218	0.401	0.000	0.000
25	0.625	0.000	64.896	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.223	0.000	0.000	0.000	57.102	0.000	0.000	0.000
26	0.650	0.000	76.718	0.000	0.000	0.000	0.000	0.000	0.000	1.704	0.000	0.000	0.000	0.000	0.000	0.000	0.000	27.499	0.000	0.000	0.000	39.558	0.000	0.000	0.000
27	0.675	0.000	78.782	0.000	0.000	0.000	0.000	0.000	0.000	8.897	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.990	0.000	0.000	0.000	25.452	0.000	0.000	0.000
28	0.700	0.000	75.618	0.000	0.000	0.000	0.000	0.000	0.000	17.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	51.707	0.000	0.000	0.000	15.599	0.000	0.000	0.000
29	0.725	0.000	71.533	0.000	0.000	0.000	0.000	0.000	0.000	22.581	0.000	0.000	0.000	0.000	0.000	0.000	0.000	63.716	0.000	0.000	0.000	2.639	0.000	0.000	0.000
30	0.750	0.000	67.799	0.000	0.000	0.000	0.000	0.000	0.000	30.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.439	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.775	0.000	60.193	0.000	0.000	0.000	0.000	0.000	0.000	36.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	77.785	0.000	0.000	0.000	0.000	0.000	0.000	0.000
32	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
