 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.932	0.000	0.000	0.000	64.428	0.000	0.000	0.000
2	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22.445	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	38.778	0.000	0.000	0.000	66.276	0.000	0.000	0.000
3	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	21.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.109	0.000	0.000	0.000	66.601	0.000	0.000	0.000
4	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.844	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	65.295	0.000	0.000	0.000	66.914	0.000	0.000	0.000
5	0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	73.045	0.000	0.000	0.000	68.805	0.000	0.000	0.000
6	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.393	77.509	0.000	0.000	0.000	71.920	0.000	0.000	0.000
7	0.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.962	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.076	81.452	0.000	0.000	0.000	74.931	0.000	0.000	0.000
8	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	15.465	0.399	0.000	0.000	0.000	0.000	0.600	0.000	32.872	85.775	0.000	0.000	0.000	75.826	0.438	0.000	0.581
9	0.225	0.136	0.000	0.438	0.000	0.000	0.016	4.397	13.063	7.921	0.000	1.198	0.218	0.010	6.833	0.000	51.174	89.199	0.986	0.000	0.000	74.573	10.038	1.571	17.649
10	0.250	3.615	0.208	12.826	0.855	0.000	7.742	16.440	8.156	16.879	1.260	6.841	5.350	4.694	23.773	0.447	70.167	90.898	13.166	0.000	1.310	71.910	22.819	12.012	36.721
11	0.275	14.303	5.032	25.432	12.186	0.167	14.859	24.355	11.512	19.641	7.345	11.360	11.728	10.952	41.688	14.667	84.674	91.612	29.589	1.100	9.913	68.568	36.998	21.025	57.446
12	0.300	30.699	11.752	39.736	23.436	15.766	18.017	36.268	18.204	23.275	17.580	16.991	15.630	17.123	57.713	24.328	90.877	93.318	49.042	4.400	21.987	64.768	55.032	35.120	71.577
13	0.325	49.185	23.004	58.023	35.459	29.575	22.842	48.499	23.690	27.433	25.424	22.791	19.207	27.405	72.303	33.712	89.176	97.377	65.689	20.400	40.572	60.301	71.707	52.120	74.916
14	0.350	63.203	39.008	74.570	53.475	48.332	29.392	56.205	32.750	30.984	36.666	27.009	22.228	39.901	82.869	45.074	83.133	101.392	75.876	30.000	60.101	55.852	82.070	65.768	70.031
15	0.375	67.607	55.440	85.226	73.807	64.670	36.234	58.565	44.705	32.409	49.486	29.384	23.414	50.140	89.473	54.021	77.541	101.694	79.824	39.700	73.392	54.810	85.701	71.703	62.793
16	0.400	65.732	66.848	87.616	87.266	67.969	41.162	57.820	54.847	31.466	59.430	29.573	22.538	52.938	92.424	57.064	75.020	99.136	78.195	44.900	77.013	59.045	84.762	69.729	57.949
17	0.425	59.513	69.056	85.686	88.392	56.041	42.557	56.404	57.115	28.266	64.208	27.679	20.318	46.520	92.361	51.510	75.593	96.120	70.019	41.200	71.332	68.557	81.689	60.134	57.213
18	0.450	48.120	61.156	83.218	74.866	35.188	38.787	52.567	49.016	24.188	62.557	23.611	17.235	35.358	89.047	40.410	75.666	94.956	56.214	30.300	58.353	83.147	75.524	45.513	59.779
19	0.475	33.798	46.248	80.358	53.691	16.898	31.031	43.060	34.749	20.537	55.325	18.017	13.613	25.020	81.489	27.656	72.226	95.502	40.548	17.200	41.191	99.117	64.208	28.721	62.159
20	0.500	20.052	29.533	74.012	33.688	6.533	21.527	28.579	19.400	17.837	43.721	12.636	9.904	18.955	69.456	17.910	62.353	95.712	27.509	0.000	25.730	112.577	47.671	15.515	59.815
21	0.525	9.082	17.376	60.320	20.575	0.241	12.842	14.677	7.268	16.003	30.393	8.834	2.380	16.029	54.920	5.124	47.756	94.291	18.516	0.000	11.971	118.695	30.122	5.849	50.610
22	0.550	1.268	8.256	41.173	11.098	0.000	5.437	5.336	0.677	9.045	18.610	2.998	0.000	4.993	41.452	0.000	32.368	91.074	3.801	0.000	1.528	114.982	16.631	0.088	35.369
23	0.575	0.000	3.468	22.083	1.643	0.000	1.376	0.157	0.000	1.834	9.701	0.027	0.000	0.000	22.146	0.000	19.654	86.220	0.000	0.000	0.000	104.634	2.864	0.000	19.523
24	0.600	0.000	15.272	7.201	0.000	0.000	0.035	0.000	0.000	0.424	1.259	0.000	0.000	0.000	0.300	0.000	7.398	79.860	0.000	0.000	0.000	91.892	0.000	0.000	0.890
25	0.625	0.000	27.576	1.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.092	70.445	0.000	0.000	0.000	79.347	0.000	0.000	0.000
26	0.650	0.000	44.532	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	56.171	0.000	0.000	0.000	66.029	0.000	0.000	0.000
27	0.675	0.000	61.312	0.000	0.000	0.000	0.000	0.000	0.000	1.383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.747	0.000	0.000	0.000	50.398	0.000	0.000	0.000
28	0.700	0.000	71.308	0.000	0.000	0.000	0.000	0.000	0.000	5.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.934	0.000	0.000	0.000	33.714	0.000	0.000	0.000
29	0.725	0.000	74.516	0.000	0.000	0.000	0.000	0.000	0.000	8.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.316	0.000	0.000	0.000	10.501	0.000	0.000	0.000
30	0.750	0.000	75.696	0.000	0.000	0.000	0.000	0.000	0.000	13.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.000	0.000	77.188	0.000	0.000	0.000	0.000	0.000	0.000	18.476	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
